YouTube Search interest: britney spears
United States; Jan 2008 - Jul 2015

Interest over time
Week,britney spears
2011-11-27 - 2011-12-03,21
2011-12-04 - 2011-12-10,20
2011-12-11 - 2011-12-17,20
2011-12-18 - 2011-12-24,18
2011-12-25 - 2011-12-31,18
2012-01-01 - 2012-01-07,17
2012-01-08 - 2012-01-14,16
2012-01-15 - 2012-01-21,16
2012-01-22 - 2012-01-28,14
2012-01-29 - 2012-02-04,14
2012-02-05 - 2012-02-11,14
2012-02-12 - 2012-02-18,13
2012-02-19 - 2012-02-25,13
2012-02-26 - 2012-03-03,12
2012-03-04 - 2012-03-10,12
2012-03-11 - 2012-03-17,12
2012-03-18 - 2012-03-24,11
2012-03-25 - 2012-03-31,10
2012-04-01 - 2012-04-07,11
2012-04-08 - 2012-04-14,12
2012-04-15 - 2012-04-21,12
2012-04-22 - 2012-04-28,11
2012-04-29 - 2012-05-05,11
2012-05-06 - 2012-05-12,10
2012-05-13 - 2012-05-19,10
2012-05-20 - 2012-05-26,11
2012-05-27 - 2012-06-02,11
2012-06-03 - 2012-06-09,10
2012-06-10 - 2012-06-16,11
2012-06-17 - 2012-06-23,11
2012-06-24 - 2012-06-30,10
2012-07-01 - 2012-07-07,10
2012-07-08 - 2012-07-14,11
2012-07-15 - 2012-07-21,11
2012-07-22 - 2012-07-28,10
2012-07-29 - 2012-08-04,10
2012-08-05 - 2012-08-11,9
2012-08-12 - 2012-08-18,10
2012-08-19 - 2012-08-25,10
2012-08-26 - 2012-09-01,9
2012-09-02 - 2012-09-08,10
2012-09-09 - 2012-09-15,18
2012-09-16 - 2012-09-22,17
2012-09-23 - 2012-09-29,14
2012-09-30 - 2012-10-06,13
2012-10-07 - 2012-10-13,11
2012-10-14 - 2012-10-20,11
2012-10-21 - 2012-10-27,10
2012-10-28 - 2012-11-03,10
2012-11-04 - 2012-11-10,10
2012-11-11 - 2012-11-17,10
2012-11-18 - 2012-11-24,12
2012-11-25 - 2012-12-01,26
2012-12-02 - 2012-12-08,27
2012-12-09 - 2012-12-15,21
2012-12-16 - 2012-12-22,27
2012-12-23 - 2012-12-29,31
2012-12-30 - 2013-01-05,28
2013-01-06 - 2013-01-12,26
2013-01-13 - 2013-01-19,29
2013-01-20 - 2013-01-26,27
2013-01-27 - 2013-02-02,28
2013-02-03 - 2013-02-09,28
2013-02-10 - 2013-02-16,29
2013-02-17 - 2013-02-23,28
2013-02-24 - 2013-03-02,25
2013-03-03 - 2013-03-09,24
2013-03-10 - 2013-03-16,24
2013-03-17 - 2013-03-23,22
2013-03-24 - 2013-03-30,22
2013-03-31 - 2013-04-06,17
2013-04-07 - 2013-04-13,16
2013-04-14 - 2013-04-20,15
2013-04-21 - 2013-04-27,15
2013-04-28 - 2013-05-04,14
2013-05-05 - 2013-05-11,13
2013-05-12 - 2013-05-18,13
2013-05-19 - 2013-05-25,12
2013-05-26 - 2013-06-01,12
2013-06-02 - 2013-06-08,11
2013-06-09 - 2013-06-15,10
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,13
2013-06-30 - 2013-07-06,13
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,14
2013-07-21 - 2013-07-27,12
2013-07-28 - 2013-08-03,12
2013-08-04 - 2013-08-10,11
2013-08-11 - 2013-08-17,10
2013-08-18 - 2013-08-24,11
2013-08-25 - 2013-08-31,12
2013-09-01 - 2013-09-07,9
2013-09-08 - 2013-09-14,11
2013-09-15 - 2013-09-21,20
2013-09-22 - 2013-09-28,13
2013-09-29 - 2013-10-05,32
2013-10-06 - 2013-10-12,21
2013-10-13 - 2013-10-19,15
2013-10-20 - 2013-10-26,13
2013-10-27 - 2013-11-02,13
2013-11-03 - 2013-11-09,15
2013-11-10 - 2013-11-16,13
2013-11-17 - 2013-11-23,12
2013-11-24 - 2013-11-30,12
2013-12-01 - 2013-12-07,16
2013-12-08 - 2013-12-14,16
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,14
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,13
2014-01-12 - 2014-01-18,11
2014-01-19 - 2014-01-25,10
2014-01-26 - 2014-02-01,10
2014-02-02 - 2014-02-08,9
2014-02-09 - 2014-02-15,9
2014-02-16 - 2014-02-22,9
2014-02-23 - 2014-03-01,8
2014-03-02 - 2014-03-08,8
2014-03-09 - 2014-03-15,7
2014-03-16 - 2014-03-22,7
2014-03-23 - 2014-03-29,7
2014-03-30 - 2014-04-05,7
2014-04-06 - 2014-04-12,7
2014-04-13 - 2014-04-19,7
2014-04-20 - 2014-04-26,7
2014-04-27 - 2014-05-03,7
2014-05-04 - 2014-05-10,7
2014-05-11 - 2014-05-17,6
2014-05-18 - 2014-05-24,7
2014-05-25 - 2014-05-31,6
2014-06-01 - 2014-06-07,7
2014-06-08 - 2014-06-14,6
2014-06-15 - 2014-06-21,7
2014-06-22 - 2014-06-28,6
2014-06-29 - 2014-07-05,6
2014-07-06 - 2014-07-12,12
2014-07-13 - 2014-07-19,7
2014-07-20 - 2014-07-26,6
2014-07-27 - 2014-08-02,6
2014-08-03 - 2014-08-09,6
2014-08-10 - 2014-08-16,6
2014-08-17 - 2014-08-23,6
2014-08-24 - 2014-08-30,6
2014-08-31 - 2014-09-06,6
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,6
2014-09-21 - 2014-09-27,6
2014-09-28 - 2014-10-04,5
2014-10-05 - 2014-10-11,5
2014-10-12 - 2014-10-18,5
2014-10-19 - 2014-10-25,6
2014-10-26 - 2014-11-01,5
2014-11-02 - 2014-11-08,6
2014-11-09 - 2014-11-15,6
2014-11-16 - 2014-11-22,5
2014-11-23 - 2014-11-29,6
2014-11-30 - 2014-12-06,5
2014-12-07 - 2014-12-13,6
2014-12-14 - 2014-12-20,5
2014-12-21 - 2014-12-27,5
2014-12-28 - 2015-01-03,5
2015-01-04 - 2015-01-10,4
2015-01-11 - 2015-01-17,5
2015-01-18 - 2015-01-24,5
2015-01-25 - 2015-01-31,5
2015-02-01 - 2015-02-07,6
2015-02-08 - 2015-02-14,5
2015-02-15 - 2015-02-21,5
2015-02-22 - 2015-02-28,7
2015-03-01 - 2015-03-07,6
2015-03-08 - 2015-03-14,6
2015-03-15 - 2015-03-21,5
2015-03-22 - 2015-03-28,5
2015-03-29 - 2015-04-04,6
2015-04-05 - 2015-04-11,6
2015-04-12 - 2015-04-18,6
2015-04-19 - 2015-04-25,5
2015-04-26 - 2015-05-02,6
2015-05-03 - 2015-05-09,9
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,11
2015-05-24 - 2015-05-30,7
2015-05-31 - 2015-06-06,6
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,6
2015-06-21 - 2015-06-27,5
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,5
2015-07-12 - 2015-07-18,5
2015-07-19 - 2015-07-25,5
2015-07-26 - 2015-08-01,5


Top sub-regions for britney spears
Sub-region,britney spears
California,100
New York,97
Florida,94
South Dakota,94
Massachusetts,93
Pennsylvania,93
Virginia,92
New Jersey,91
Texas,90
Connecticut,89
Arizona,88
North Dakota,87
District of Columbia,86
Illinois,86
Ohio,86
Rhode Island,85
New Mexico,84
Nevada,84
Wisconsin,84
Missouri,82
Colorado,82
Louisiana,82
Michigan,82
New Hampshire,82
Iowa,81
Utah,81
Wyoming,80
Kentucky,80
Minnesota,80
Maine,80
West Virginia,79
Oklahoma,78
Indiana,78
Washington,78
Nebraska,77
Montana,77
Idaho,75
Maryland,74
North Carolina,74
Kansas,74
Georgia,73
Mississippi,70
Tennessee,70
South Carolina,69
Arkansas,68
Hawaii,68
Delaware,68
Vermont,67
Alabama,67
Oregon,65
Alaska,65


Top metros for britney spears
Metro,britney spears
Rapid City SD,100
Los Angeles CA,87
Laredo TX,84
New York NY,83
Boston MA-Manchester NH,83
Washington DC (Hagerstown MD),82
Sioux City IA,82
Rochester MN-Mason City IA-Austin MN,82
Minot-Bismarck-Dickinson(Williston) ND,81
San Francisco-Oakland-San Jose CA,80
Springfield-Holyoke MA,79
Tucson (Sierra Vista) AZ,79
Chicago IL,78
New Orleans LA,78
Sioux Falls(Mitchell) SD,77
Miami-Ft. Lauderdale FL,77
Fargo-Valley City ND,76
San Antonio TX,75
Lexington KY,75
Philadelphia PA,74
El Paso TX,74
Toledo OH,74
Reno NV,74
Biloxi-Gulfport MS,74
Denver CO,74
Johnstown-Altoona PA,74
Salt Lake City UT,74
Harrisburg-Lancaster-Lebanon-York PA,74
Erie PA,74
Hartford & New Haven CT,73
Missoula MT,73
Portland-Auburn ME,73
Wausau-Rhinelander WI,73
Wilkes Barre-Scranton PA,73
Youngstown OH,73
Dallas-Ft. Worth TX,73
Odessa-Midland TX,73
Madison WI,73
Syracuse NY,72
Orlando-Daytona Beach-Melbourne FL,72
Austin TX,72
Charleston-Huntington WV,72
La Crosse-Eau Claire WI,71
South Bend-Elkhart IN,71
Idaho Falls-Pocatello ID,71
Rochester NY,71
Davenport IA-Rock Island-Moline IL,71
Pittsburgh PA,70
Grand Rapids-Kalamazoo-Battle Creek MI,70
Providence RI-New Bedford MA,70
Bangor ME,70
Duluth MN-Superior WI,70
Palm Springs CA,70
Green Bay-Appleton WI,70
Dayton OH,70
Buffalo NY,69
Albuquerque-Santa Fe NM,69
Houston TX,69
San Diego CA,69
Detroit MI,69
Cleveland-Akron (Canton) OH,69
Des Moines-Ames IA,69
Corpus Christi TX,69
Fresno-Visalia CA,69
Louisville KY,69
Sacramento-Stockton-Modesto CA,69
Bakersfield CA,69
Minneapolis-St. Paul MN,69
Peoria-Bloomington IL,68
Flint-Saginaw-Bay City MI,68
Rockford IL,68
Champaign & Springfield-Decatur IL,68
Tri-Cities TN-VA,68
Santa Barbara-Santa Maria-San Luis Obispo CA,68
Tampa-St. Petersburg (Sarasota) FL,68
Phoenix AZ,67
Jackson MS,67
Seattle-Tacoma WA,67
Medford-Klamath Falls OR,67
Gainesville FL,67
Oklahoma City OK,67
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,67
Wilmington NC,67
St. Louis MO,67
Las Vegas NV,66
Harlingen-Weslaco-Brownsville-McAllen TX,66
Columbus OH,66
Monterey-Salinas CA,66
Atlanta GA,66
Raleigh-Durham (Fayetteville) NC,66
Waco-Temple-Bryan TX,66
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,66
Kansas City MO,65
Baton Rouge LA,65
Colorado Springs-Pueblo CO,64
Binghamton NY,64
Lubbock TX,64
Wichita-Hutchinson KS,64
Boise ID,64
Milwaukee WI,64
Chico-Redding CA,63
Spokane WA,63
Albany-Schenectady-Troy NY,63
Omaha NE,63
Baltimore MD,63
Charleston SC,63
Anchorage AK,63
Cincinnati OH,62
Lincoln & Hastings-Kearney NE,62
Shreveport LA,62
Roanoke-Lynchburg VA,62
Lansing MI,62
Honolulu HI,62
Indianapolis IN,62
Burlington VT-Plattsburgh NY,61
Columbia-Jefferson City MO,61
West Palm Beach-Ft. Pierce FL,61
Lafayette LA,60
Little Rock-Pine Bluff AR,60
Charlotte NC,60
Mobile AL-Pensacola (Ft. Walton Beach) FL,60
Topeka KS,60
Charlottesville VA,60
Greenville-Spartanburg SC-Asheville NC-Anderson SC,59
Springfield MO,59
Yakima-Pasco-Richland-Kennewick WA,59
Eugene OR,59
Ft. Smith-Fayetteville-Springdale-Rogers AR,58
Huntsville-Decatur (Florence) AL,58
Chattanooga TN,58
Greenville-New Bern-Washington NC,58
Florence-Myrtle Beach SC,58
Traverse City-Cadillac MI,56
Richmond-Petersburg VA,56
Greensboro-High Point-Winston Salem NC,56
Tyler-Longview(Lufkin & Nacogdoches) TX,56
Jacksonville FL,56
Albany GA,55
Portland OR,55
Birmingham AL,55
Ft. Wayne IN,55
Savannah GA,54
Nashville TN,54
Evansville IN,54
Columbia SC,54
Norfolk-Portsmouth-Newport News VA,52
Tallahassee FL-Thomasville GA,52
Macon GA,52
Ft. Myers-Naples FL,52
Tulsa OK,51
Augusta GA,51
Knoxville TN,49
Memphis TN,49
Montgomery (Selma) AL,49
Columbus GA,47
Utica NY,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Beaumont-Port Arthur TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for britney spears
Town/City,britney spears
Milpitas,100
Miami,100
Los Angeles,98
Sterling,97
Richardson,94
New York,92
Irvine,89
Orlando,85
Boston,84
Las Vegas,83
Pleasanton,83
Phoenix,83
St. Louis,82
Tampa,81
San Antonio,80



Top searches for britney spears
britney spears lyrics,100
scream and shout,45
3 britney spears,45
circus,45
circus britney spears,40
toxic britney spears,40
toxic,40
womanizer,35
womanizer britney spears,35
womanizer britney,35
lady gaga,30
rihanna,30
britney spears live,25
beyonce,25
britney spears songs,20
nicki minaj,20
katy perry,20
criminal,20
britney spears criminal,20
christina aguilera,15
piece of me,15
kesha,15
britney spears everytime,15
miley cyrus,15
britney spears amy,15
britney spears 2011,10
glee,10
crazy britney spears,10
glee britney spears,10
gimme more,10
britney spears lucky,10
lucky,10
selena gomez,10
madonna,10
pink,10
britney spears radar,10
britney spears work,10
shakira,10
justin timberlake,10
pitbull,10
britney spears stronger,10
britney spears vma,10
jennifer lopez,5
avril lavigne,5
britney spears interview,5
123 britney spears,5
black eyed peas,5



Rising searches for britney spears
circus,Breakout
circus britney spears,Breakout
lady gaga,Breakout
scream and shout,Breakout
womanizer,Breakout
womanizer britney,Breakout
womanizer britney spears,Breakout
britney spears lyrics,+2,750%
3 britney spears,+1,450%
rihanna,+350%



