YouTube Search interest: drake
United States; Jan 2008 - Jul 2015

Interest over time
Week,drake
2012-07-08 - 2012-07-14,39
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,33
2012-07-29 - 2012-08-04,33
2012-08-05 - 2012-08-11,37
2012-08-12 - 2012-08-18,32
2012-08-19 - 2012-08-25,31
2012-08-26 - 2012-09-01,29
2012-09-02 - 2012-09-08,29
2012-09-09 - 2012-09-15,28
2012-09-16 - 2012-09-22,28
2012-09-23 - 2012-09-29,27
2012-09-30 - 2012-10-06,26
2012-10-07 - 2012-10-13,25
2012-10-14 - 2012-10-20,25
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,23
2012-11-04 - 2012-11-10,24
2012-11-11 - 2012-11-17,25
2012-11-18 - 2012-11-24,25
2012-11-25 - 2012-12-01,23
2012-12-02 - 2012-12-08,21
2012-12-09 - 2012-12-15,20
2012-12-16 - 2012-12-22,21
2012-12-23 - 2012-12-29,22
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,19
2013-01-13 - 2013-01-19,19
2013-01-20 - 2013-01-26,19
2013-01-27 - 2013-02-02,21
2013-02-03 - 2013-02-09,27
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,43
2013-02-24 - 2013-03-02,40
2013-03-03 - 2013-03-09,40
2013-03-10 - 2013-03-16,40
2013-03-17 - 2013-03-23,36
2013-03-24 - 2013-03-30,34
2013-03-31 - 2013-04-06,31
2013-04-07 - 2013-04-13,30
2013-04-14 - 2013-04-20,36
2013-04-21 - 2013-04-27,34
2013-04-28 - 2013-05-04,33
2013-05-05 - 2013-05-11,29
2013-05-12 - 2013-05-18,29
2013-05-19 - 2013-05-25,30
2013-05-26 - 2013-06-01,27
2013-06-02 - 2013-06-08,25
2013-06-09 - 2013-06-15,25
2013-06-16 - 2013-06-22,25
2013-06-23 - 2013-06-29,31
2013-06-30 - 2013-07-06,29
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,27
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,28
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,31
2013-08-18 - 2013-08-24,31
2013-08-25 - 2013-08-31,33
2013-09-01 - 2013-09-07,30
2013-09-08 - 2013-09-14,30
2013-09-15 - 2013-09-21,51
2013-09-22 - 2013-09-28,54
2013-09-29 - 2013-10-05,46
2013-10-06 - 2013-10-12,41
2013-10-13 - 2013-10-19,39
2013-10-20 - 2013-10-26,38
2013-10-27 - 2013-11-02,36
2013-11-03 - 2013-11-09,34
2013-11-10 - 2013-11-16,36
2013-11-17 - 2013-11-23,35
2013-11-24 - 2013-11-30,32
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,32
2013-12-15 - 2013-12-21,34
2013-12-22 - 2013-12-28,30
2013-12-29 - 2014-01-04,29
2014-01-05 - 2014-01-11,28
2014-01-12 - 2014-01-18,28
2014-01-19 - 2014-01-25,32
2014-01-26 - 2014-02-01,34
2014-02-02 - 2014-02-08,28
2014-02-09 - 2014-02-15,27
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,23
2014-03-09 - 2014-03-15,22
2014-03-16 - 2014-03-22,22
2014-03-23 - 2014-03-29,22
2014-03-30 - 2014-04-05,25
2014-04-06 - 2014-04-12,25
2014-04-13 - 2014-04-19,23
2014-04-20 - 2014-04-26,22
2014-04-27 - 2014-05-03,23
2014-05-04 - 2014-05-10,24
2014-05-11 - 2014-05-17,23
2014-05-18 - 2014-05-24,22
2014-05-25 - 2014-05-31,21
2014-06-01 - 2014-06-07,25
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,20
2014-06-22 - 2014-06-28,21
2014-06-29 - 2014-07-05,20
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,22
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,18
2014-08-03 - 2014-08-09,19
2014-08-10 - 2014-08-16,18
2014-08-17 - 2014-08-23,19
2014-08-24 - 2014-08-30,20
2014-08-31 - 2014-09-06,20
2014-09-07 - 2014-09-13,20
2014-09-14 - 2014-09-20,20
2014-09-21 - 2014-09-27,20
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,24
2014-10-26 - 2014-11-01,26
2014-11-02 - 2014-11-08,24
2014-11-09 - 2014-11-15,23
2014-11-16 - 2014-11-22,22
2014-11-23 - 2014-11-29,21
2014-11-30 - 2014-12-06,21
2014-12-07 - 2014-12-13,23
2014-12-14 - 2014-12-20,21
2014-12-21 - 2014-12-27,18
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,17
2015-01-25 - 2015-01-31,18
2015-02-01 - 2015-02-07,17
2015-02-08 - 2015-02-14,24
2015-02-15 - 2015-02-21,31
2015-02-22 - 2015-02-28,27
2015-03-01 - 2015-03-07,26
2015-03-08 - 2015-03-14,26
2015-03-15 - 2015-03-21,24
2015-03-22 - 2015-03-28,23
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,20
2015-04-12 - 2015-04-18,26
2015-04-19 - 2015-04-25,22
2015-04-26 - 2015-05-02,21
2015-05-03 - 2015-05-09,22
2015-05-10 - 2015-05-16,21
2015-05-17 - 2015-05-23,21
2015-05-24 - 2015-05-30,21
2015-05-31 - 2015-06-06,20
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,19
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,20
2015-07-05 - 2015-07-11,20
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,36


Top sub-regions for drake
Sub-region,drake
New York,100
Florida,93
Rhode Island,93
Louisiana,90
New Jersey,88
Texas,88
North Carolina,88
Georgia,87
Delaware,86
Maryland,86
Connecticut,85
Mississippi,83
Illinois,83
Pennsylvania,82
South Carolina,81
Massachusetts,79
Michigan,79
Ohio,78
Alabama,73
District of Columbia,72
Indiana,72
Arizona,71
California,71
Nevada,65
Kentucky,65
Missouri,64
New Mexico,64
Tennessee,62
Wisconsin,60
Arkansas,60
Oklahoma,59
Iowa,56
Virginia,55
West Virginia,55
Kansas,54
Minnesota,54
South Dakota,50
Colorado,49
New Hampshire,49
Nebraska,48
Vermont,48
Washington,46
North Dakota,42
Maine,42
Hawaii,40
Oregon,35
Idaho,33
Wyoming,32
Alaska,32
Montana,32
Utah,29


Top metros for drake
Metro,drake
Greenwood-Greenville MS,100
Tallahassee FL-Thomasville GA,79
New York NY,78
Miami-Ft. Lauderdale FL,77
Providence RI-New Bedford MA,75
Corpus Christi TX,74
Raleigh-Durham (Fayetteville) NC,73
Houston TX,73
Victoria TX,72
Beaumont-Port Arthur TX,72
Albany GA,71
West Palm Beach-Ft. Pierce FL,71
Florence-Myrtle Beach SC,70
Norfolk-Portsmouth-Newport News VA,70
Monroe LA-El Dorado AR,69
Yuma AZ-El Centro CA,69
New Orleans LA,69
Montgomery (Selma) AL,68
San Antonio TX,68
Alexandria LA,68
Philadelphia PA,67
Odessa-Midland TX,67
Meridian MS,67
Augusta GA,66
Columbia SC,66
Atlanta GA,66
Chicago IL,66
Greenville-New Bern-Washington NC,66
Macon GA,65
Utica NY,65
Abilene-Sweetwater TX,65
Tampa-St. Petersburg (Sarasota) FL,64
El Paso TX,64
Hartford & New Haven CT,64
Los Angeles CA,64
Detroit MI,64
Baton Rouge LA,63
Laredo TX,63
Bakersfield CA,63
Columbus-Tupelo-West Point MS,63
Baltimore MD,63
Jackson MS,63
Cleveland-Akron (Canton) OH,62
Rockford IL,62
Shreveport LA,62
Palm Springs CA,61
Columbus GA,61
Charlotte NC,61
Hattiesburg-Laurel MS,61
Buffalo NY,61
Springfield-Holyoke MA,60
Salisbury MD,60
Memphis TN,60
Amarillo TX,60
Dallas-Ft. Worth TX,60
Orlando-Daytona Beach-Melbourne FL,60
Waco-Temple-Bryan TX,59
Lafayette LA,59
Milwaukee WI,59
Richmond-Petersburg VA,58
Fresno-Visalia CA,58
Phoenix AZ,57
Lubbock TX,57
Toledo OH,57
Youngstown OH,56
Savannah GA,56
Greensboro-High Point-Winston Salem NC,56
Tyler-Longview(Lufkin & Nacogdoches) TX,55
Boston MA-Manchester NH,55
Cincinnati OH,55
Harlingen-Weslaco-Brownsville-McAllen TX,55
Syracuse NY,54
San Angelo TX,54
Elmira NY,54
Ft. Myers-Naples FL,54
Wilkes Barre-Scranton PA,54
Tucson (Sierra Vista) AZ,54
Wilmington NC,54
Wichita Falls TX & Lawton OK,53
Champaign & Springfield-Decatur IL,53
Jacksonville FL,53
Albany-Schenectady-Troy NY,52
Biloxi-Gulfport MS,52
Louisville KY,52
Ft. Wayne IN,52
St. Joseph MO,52
Las Vegas NV,52
Rochester NY,52
Lansing MI,52
Grand Rapids-Kalamazoo-Battle Creek MI,51
Charleston SC,51
Harrisburg-Lancaster-Lebanon-York PA,51
Little Rock-Pine Bluff AR,51
Dothan AL,51
Sacramento-Stockton-Modesto CA,51
Columbus OH,51
Birmingham AL,50
Lake Charles LA,50
Mobile AL-Pensacola (Ft. Walton Beach) FL,50
Dayton OH,50
Pittsburgh PA,50
Wheeling WV-Steubenville OH,49
Indianapolis IN,49
Lima OH,49
Gainesville FL,49
St. Louis MO,48
Austin TX,48
Panama City FL,48
Peoria-Bloomington IL,48
San Diego CA,47
Quincy IL-Hannibal MO-Keokuk IA,47
Jonesboro AR,47
Albuquerque-Santa Fe NM,47
Flint-Saginaw-Bay City MI,47
Erie PA,47
Nashville TN,47
Davenport IA-Rock Island-Moline IL,47
Columbia-Jefferson City MO,46
Terre Haute IN,46
Bowling Green KY,46
Watertown NY,45
Evansville IN,45
Sioux City IA,44
Roanoke-Lynchburg VA,44
Harrisonburg VA,44
Washington DC (Hagerstown MD),44
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,44
Yakima-Pasco-Richland-Kennewick WA,44
Kansas City MO,43
Binghamton NY,43
Oklahoma City OK,43
Greenville-Spartanburg SC-Asheville NC-Anderson SC,43
Jackson TN,43
Charleston-Huntington WV,43
Wichita-Hutchinson KS,43
Monterey-Salinas CA,42
Sherman TX-Ada OK,42
South Bend-Elkhart IN,42
Santa Barbara-Santa Maria-San Luis Obispo CA,42
Des Moines-Ames IA,41
Chattanooga TN,41
Lafayette IN,41
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,41
Minneapolis-St. Paul MN,40
Parkersburg WV,40
Topeka KS,40
Huntsville-Decatur (Florence) AL,40
Lexington KY,40
Bluefield-Beckley-Oak Hill WV,40
Burlington VT-Plattsburgh NY,39
Colorado Springs-Pueblo CO,39
Sioux Falls(Mitchell) SD,39
Madison WI,39
Charlottesville VA,37
Reno NV,37
Omaha NE,37
Ft. Smith-Fayetteville-Springdale-Rogers AR,37
Rapid City SD,37
Tulsa OK,36
Joplin MO-Pittsburg KS,36
Denver CO,36
Seattle-Tacoma WA,36
Clarksburg-Weston WV,36
Chico-Redding CA,36
Minot-Bismarck-Dickinson(Williston) ND,35
Green Bay-Appleton WI,35
Tri-Cities TN-VA,35
Johnstown-Altoona PA,35
Mankato MN,35
Knoxville TN,34
Portland-Auburn ME,34
Traverse City-Cadillac MI,34
Eureka CA,33
Marquette MI,32
Fargo-Valley City ND,32
Lincoln & Hastings-Kearney NE,32
Honolulu HI,32
Rochester MN-Mason City IA-Austin MN,31
Grand Junction-Montrose CO,31
Duluth MN-Superior WI,31
Springfield MO,31
La Crosse-Eau Claire WI,30
Cheyenne WY-Scottsbluff NE,30
Spokane WA,29
Bangor ME,29
Boise ID,28
San Francisco-Oakland-San Jose CA,28
Eugene OR,28
Portland OR,27
Anchorage AK,27
Billings MT,26
Wausau-Rhinelander WI,26
Medford-Klamath Falls OR,24
Salt Lake City UT,23
Missoula MT,21
Idaho Falls-Pocatello ID,20
Presque Isle ME,0
Alpena MI,0
Zanesville OH,0
Ottumwa IA-Kirksville MO,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Glendive MT,0
Bend OR,0


Top cities for drake
Town/City,drake
New York,100
Philadelphia,93
Houston,89
San Antonio,83
Chicago,78
Charlotte,69
Los Angeles,68
Miami,67
Washington,66
Dallas,65
Atlanta,65
Orlando,63
Phoenix,62
Las Vegas,62
Tampa,60



Top searches for drake
lil wayne drake,100
drake lyrics,95
lil wayne,95
new drake,35
nicki minaj,30
drake motto,30
chris brown,30
drake headlines,25
forever,25
drake take care,25
take care,25
drake forever,25
rihanna,25
over,25
over drake,25
the motto,20
the motto drake,20
eminem,20
wiz khalifa,20
drake instrumental,15
rick ross,15
on one drake,15
kanye west,15
trey songz,15
drake marvins room,15
marvins room,15
tyga,15
all me drake,15
beyonce,15
drake beyonce,15
drake trust issues,10
im on one,10
justin bieber,10
miss me drake,10
big sean,10
drake 2011,10
jay z,10
j cole,10
drake hyfr,10
drake freestyle,10
drake she will,10
2 chainz,5
kendrick lamar,5
motto drake lyrics,5
drake versace,5
drake practice,5
drake and josh,5
drake say something,5
drake crew love,5
drake successful,5



Rising searches for drake
drake forever,Breakout
drake headlines,Breakout
drake motto,Breakout
drake take care,Breakout
forever,Breakout
lil wayne,Breakout
lil wayne drake,Breakout
nicki minaj,Breakout
rihanna,Breakout
take care,Breakout



