YouTube Search interest: david guetta
United States; Jan 2008 - Jul 2015

Interest over time
Week,david guetta
2010-02-28 - 2010-03-06,40
2010-03-07 - 2010-03-13,38
2010-03-14 - 2010-03-20,42
2010-03-21 - 2010-03-27,42
2010-03-28 - 2010-04-03,42
2010-04-04 - 2010-04-10,39
2010-04-11 - 2010-04-17,44
2010-04-18 - 2010-04-24,44
2010-04-25 - 2010-05-01,42
2010-05-02 - 2010-05-08,44
2010-05-09 - 2010-05-15,44
2010-05-16 - 2010-05-22,49
2010-05-23 - 2010-05-29,55
2010-05-30 - 2010-06-05,51
2010-06-06 - 2010-06-12,51
2010-06-13 - 2010-06-19,49
2010-06-20 - 2010-06-26,54
2010-06-27 - 2010-07-03,57
2010-07-04 - 2010-07-10,58
2010-07-11 - 2010-07-17,60
2010-07-18 - 2010-07-24,66
2010-07-25 - 2010-07-31,66
2010-08-01 - 2010-08-07,65
2010-08-08 - 2010-08-14,59
2010-08-15 - 2010-08-21,60
2010-08-22 - 2010-08-28,63
2010-08-29 - 2010-09-04,62
2010-09-05 - 2010-09-11,62
2010-09-12 - 2010-09-18,58
2010-09-19 - 2010-09-25,61
2010-09-26 - 2010-10-02,55
2010-10-03 - 2010-10-09,56
2010-10-10 - 2010-10-16,56
2010-10-17 - 2010-10-23,59
2010-10-24 - 2010-10-30,54
2010-10-31 - 2010-11-06,55
2010-11-07 - 2010-11-13,56
2010-11-14 - 2010-11-20,61
2010-11-21 - 2010-11-27,56
2010-11-28 - 2010-12-04,55
2010-12-05 - 2010-12-11,53
2010-12-12 - 2010-12-18,48
2010-12-19 - 2010-12-25,50
2010-12-26 - 2011-01-01,50
2011-01-02 - 2011-01-08,34
2011-01-09 - 2011-01-15,30
2011-01-16 - 2011-01-22,29
2011-01-23 - 2011-01-29,40
2011-01-30 - 2011-02-05,32
2011-02-06 - 2011-02-12,28
2011-02-13 - 2011-02-19,25
2011-02-20 - 2011-02-26,24
2011-02-27 - 2011-03-05,23
2011-03-06 - 2011-03-12,22
2011-03-13 - 2011-03-19,21
2011-03-20 - 2011-03-26,21
2011-03-27 - 2011-04-02,23
2011-04-03 - 2011-04-09,23
2011-04-10 - 2011-04-16,22
2011-04-17 - 2011-04-23,22
2011-04-24 - 2011-04-30,24
2011-05-01 - 2011-05-07,24
2011-05-08 - 2011-05-14,25
2011-05-15 - 2011-05-21,25
2011-05-22 - 2011-05-28,25
2011-05-29 - 2011-06-04,26
2011-06-05 - 2011-06-11,26
2011-06-12 - 2011-06-18,26
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,44
2011-07-03 - 2011-07-09,41
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,48
2011-07-24 - 2011-07-30,42
2011-07-31 - 2011-08-06,33
2011-08-07 - 2011-08-13,36
2011-08-14 - 2011-08-20,40
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,64
2011-09-18 - 2011-09-24,70
2011-09-25 - 2011-10-01,76
2011-10-02 - 2011-10-08,81
2011-10-09 - 2011-10-15,100
2011-10-16 - 2011-10-22,83
2011-10-23 - 2011-10-29,80
2011-10-30 - 2011-11-05,78
2011-11-06 - 2011-11-12,80
2011-11-13 - 2011-11-19,78
2011-11-20 - 2011-11-26,80
2011-11-27 - 2011-12-03,72
2011-12-04 - 2011-12-10,69
2011-12-11 - 2011-12-17,67
2011-12-18 - 2011-12-24,63
2011-12-25 - 2011-12-31,64
2012-01-01 - 2012-01-07,61
2012-01-08 - 2012-01-14,69
2012-01-15 - 2012-01-21,78
2012-01-22 - 2012-01-28,78
2012-01-29 - 2012-02-04,98
2012-02-05 - 2012-02-11,88
2012-02-12 - 2012-02-18,89
2012-02-19 - 2012-02-25,75
2012-02-26 - 2012-03-03,65
2012-03-04 - 2012-03-10,59
2012-03-11 - 2012-03-17,55
2012-03-18 - 2012-03-24,55
2012-03-25 - 2012-03-31,57
2012-04-01 - 2012-04-07,57
2012-04-08 - 2012-04-14,61
2012-04-15 - 2012-04-21,53
2012-04-22 - 2012-04-28,48
2012-04-29 - 2012-05-05,49
2012-05-06 - 2012-05-12,46
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,52
2012-05-27 - 2012-06-02,57
2012-06-03 - 2012-06-09,64
2012-06-10 - 2012-06-16,67
2012-06-17 - 2012-06-23,65
2012-06-24 - 2012-06-30,62
2012-07-01 - 2012-07-07,78
2012-07-08 - 2012-07-14,67
2012-07-15 - 2012-07-21,67
2012-07-22 - 2012-07-28,63
2012-07-29 - 2012-08-04,59
2012-08-05 - 2012-08-11,58
2012-08-12 - 2012-08-18,58
2012-08-19 - 2012-08-25,57
2012-08-26 - 2012-09-01,56
2012-09-02 - 2012-09-08,53
2012-09-09 - 2012-09-15,52
2012-09-16 - 2012-09-22,46
2012-09-23 - 2012-09-29,46
2012-09-30 - 2012-10-06,50
2012-10-07 - 2012-10-13,53
2012-10-14 - 2012-10-20,53
2012-10-21 - 2012-10-27,49
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,43
2012-11-11 - 2012-11-17,44
2012-11-18 - 2012-11-24,41
2012-11-25 - 2012-12-01,34
2012-12-02 - 2012-12-08,42
2012-12-09 - 2012-12-15,44
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,39
2012-12-30 - 2013-01-05,40
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,45
2013-01-20 - 2013-01-26,41
2013-01-27 - 2013-02-02,42
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,39
2013-02-17 - 2013-02-23,36
2013-02-24 - 2013-03-02,39
2013-03-03 - 2013-03-09,36
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,38
2013-03-24 - 2013-03-30,37
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,32
2013-04-14 - 2013-04-20,32
2013-04-21 - 2013-04-27,40
2013-04-28 - 2013-05-04,36
2013-05-05 - 2013-05-11,35
2013-05-12 - 2013-05-18,33
2013-05-19 - 2013-05-25,48
2013-05-26 - 2013-06-01,66
2013-06-02 - 2013-06-08,48
2013-06-09 - 2013-06-15,36
2013-06-16 - 2013-06-22,34
2013-06-23 - 2013-06-29,37
2013-06-30 - 2013-07-06,39
2013-07-07 - 2013-07-13,37
2013-07-14 - 2013-07-20,34
2013-07-21 - 2013-07-27,33
2013-07-28 - 2013-08-03,35
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,29
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,28
2013-09-01 - 2013-09-07,27
2013-09-08 - 2013-09-14,27
2013-09-15 - 2013-09-21,25
2013-09-22 - 2013-09-28,25
2013-09-29 - 2013-10-05,25
2013-10-06 - 2013-10-12,22
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,19
2013-11-03 - 2013-11-09,21
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,20
2013-11-24 - 2013-11-30,18
2013-12-01 - 2013-12-07,18
2013-12-08 - 2013-12-14,17
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,18
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,17
2014-01-12 - 2014-01-18,17
2014-01-19 - 2014-01-25,19
2014-01-26 - 2014-02-01,18
2014-02-02 - 2014-02-08,17
2014-02-09 - 2014-02-15,18
2014-02-16 - 2014-02-22,17
2014-02-23 - 2014-03-01,18
2014-03-02 - 2014-03-08,18
2014-03-09 - 2014-03-15,17
2014-03-16 - 2014-03-22,18
2014-03-23 - 2014-03-29,16
2014-03-30 - 2014-04-05,20
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,19
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,17
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,18
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,17
2014-06-01 - 2014-06-07,21
2014-06-08 - 2014-06-14,18
2014-06-15 - 2014-06-21,18
2014-06-22 - 2014-06-28,19
2014-06-29 - 2014-07-05,21
2014-07-06 - 2014-07-12,20
2014-07-13 - 2014-07-19,19
2014-07-20 - 2014-07-26,18
2014-07-27 - 2014-08-02,21
2014-08-03 - 2014-08-09,19
2014-08-10 - 2014-08-16,18
2014-08-17 - 2014-08-23,19
2014-08-24 - 2014-08-30,20
2014-08-31 - 2014-09-06,20
2014-09-07 - 2014-09-13,18
2014-09-14 - 2014-09-20,20
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,21
2014-10-26 - 2014-11-01,21
2014-11-02 - 2014-11-08,25
2014-11-09 - 2014-11-15,23
2014-11-16 - 2014-11-22,24
2014-11-23 - 2014-11-29,26
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,25
2014-12-21 - 2014-12-27,22
2014-12-28 - 2015-01-03,20
2015-01-04 - 2015-01-10,23
2015-01-11 - 2015-01-17,21
2015-01-18 - 2015-01-24,20
2015-01-25 - 2015-01-31,18
2015-02-01 - 2015-02-07,17
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,16
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,17
2015-03-22 - 2015-03-28,20
2015-03-29 - 2015-04-04,24
2015-04-05 - 2015-04-11,22
2015-04-12 - 2015-04-18,25
2015-04-19 - 2015-04-25,26
2015-04-26 - 2015-05-02,28
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,29
2015-05-17 - 2015-05-23,34
2015-05-24 - 2015-05-30,31
2015-05-31 - 2015-06-06,28
2015-06-07 - 2015-06-13,28
2015-06-14 - 2015-06-20,24
2015-06-21 - 2015-06-27,23
2015-06-28 - 2015-07-04,21
2015-07-05 - 2015-07-11,21
2015-07-12 - 2015-07-18,18
2015-07-19 - 2015-07-25,17
2015-07-26 - 2015-08-01,17


Top sub-regions for david guetta
Sub-region,david guetta
Virginia,100
California,94
New Jersey,84
New York,82
Massachusetts,75
Illinois,75
Florida,75
Connecticut,72
Wisconsin,71
North Dakota,70
Rhode Island,70
Iowa,69
New Hampshire,69
Utah,68
Idaho,65
South Dakota,65
Arizona,64
Texas,64
Pennsylvania,64
New Mexico,64
Hawaii,64
Nevada,63
Colorado,63
Minnesota,62
Vermont,62
Michigan,61
Maine,61
Montana,60
Maryland,59
Indiana,59
Wyoming,57
Delaware,57
Washington,57
Nebraska,56
Oregon,56
Ohio,52
Kansas,52
District of Columbia,51
North Carolina,49
Missouri,48
Alaska,47
West Virginia,47
Georgia,45
South Carolina,43
Kentucky,42
Oklahoma,42
Arkansas,40
Tennessee,39
Louisiana,36
Alabama,36
Mississippi,33


Top metros for david guetta
Metro,david guetta
Harlingen-Weslaco-Brownsville-McAllen TX,100
Miami-Ft. Lauderdale FL,98
San Francisco-Oakland-San Jose CA,97
El Paso TX,96
Washington DC (Hagerstown MD),88
New York NY,79
Los Angeles CA,77
Green Bay-Appleton WI,76
Palm Springs CA,74
Springfield-Holyoke MA,71
San Diego CA,70
Chicago IL,70
Santa Barbara-Santa Maria-San Luis Obispo CA,69
Reno NV,68
Fargo-Valley City ND,68
Davenport IA-Rock Island-Moline IL,66
Boston MA-Manchester NH,66
Providence RI-New Bedford MA,65
Madison WI,65
Syracuse NY,64
Hartford & New Haven CT,64
West Palm Beach-Ft. Pierce FL,63
Bakersfield CA,63
Harrisburg-Lancaster-Lebanon-York PA,63
Salt Lake City UT,62
Gainesville FL,62
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,61
Lincoln & Hastings-Kearney NE,61
Fresno-Visalia CA,61
Orlando-Daytona Beach-Melbourne FL,60
Monterey-Salinas CA,60
Albuquerque-Santa Fe NM,60
La Crosse-Eau Claire WI,60
Burlington VT-Plattsburgh NY,60
Ft. Myers-Naples FL,59
Spokane WA,59
Milwaukee WI,59
Johnstown-Altoona PA,59
Des Moines-Ames IA,59
Las Vegas NV,59
Tampa-St. Petersburg (Sarasota) FL,59
San Antonio TX,59
Philadelphia PA,59
Eugene OR,58
Denver CO,58
Wilkes Barre-Scranton PA,58
Detroit MI,57
Portland-Auburn ME,57
Sioux Falls(Mitchell) SD,57
Minneapolis-St. Paul MN,57
Phoenix AZ,56
Honolulu HI,55
Tucson (Sierra Vista) AZ,54
Sacramento-Stockton-Modesto CA,54
Houston TX,54
Boise ID,53
Waco-Temple-Bryan TX,53
South Bend-Elkhart IN,52
Portland OR,52
Albany-Schenectady-Troy NY,52
Grand Rapids-Kalamazoo-Battle Creek MI,52
Wichita-Hutchinson KS,52
Lansing MI,51
Peoria-Bloomington IL,51
Buffalo NY,50
Pittsburgh PA,50
Indianapolis IN,50
Champaign & Springfield-Decatur IL,50
Baltimore MD,49
Rochester NY,49
Dallas-Ft. Worth TX,48
Seattle-Tacoma WA,48
Toledo OH,47
Austin TX,47
Tallahassee FL-Thomasville GA,46
Springfield MO,46
Cleveland-Akron (Canton) OH,45
Cincinnati OH,45
Tulsa OK,45
Dayton OH,45
Colorado Springs-Pueblo CO,45
St. Louis MO,44
Flint-Saginaw-Bay City MI,44
Charlotte NC,43
Richmond-Petersburg VA,43
Atlanta GA,43
Lexington KY,42
Raleigh-Durham (Fayetteville) NC,42
Norfolk-Portsmouth-Newport News VA,42
Omaha NE,42
Savannah GA,42
Columbus OH,42
Huntsville-Decatur (Florence) AL,42
Jacksonville FL,41
Greensboro-High Point-Winston Salem NC,40
Charleston-Huntington WV,40
Roanoke-Lynchburg VA,39
Little Rock-Pine Bluff AR,39
Oklahoma City OK,39
Kansas City MO,38
Nashville TN,38
Greenville-Spartanburg SC-Asheville NC-Anderson SC,37
Mobile AL-Pensacola (Ft. Walton Beach) FL,36
New Orleans LA,35
Louisville KY,34
Columbia SC,34
Birmingham AL,33
Memphis TN,30
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for david guetta
Town/City,david guetta
Milpitas,100
Sterling,98
El Paso,59
McAllen,58
Miami,45
Los Angeles,42
New York,42
San Diego,37
Irvine,34
San Antonio,34
Las Vegas,33
Boston,32
Chicago,32
Denver,31
San Francisco,29



Top searches for david guetta
david guetta titanium,100
titanium,100
without you,60
memories,45
david guetta memories,45
turn me on,35
nicki minaj,35
titanium lyrics,30
david guetta usher,30
usher,25
rihanna,25
akon david guetta,20
akon,20
usher without you,20
bad david guetta,20
pitbull,15
kid cudi,15
dj david guetta,15
flo rida,15
lmfao,10
kid cudi memories,10
one love,10
david guetta fergie,10
fergie,10
david guetta 2010,10
david guetta 2011,10
david guetta live,10
love is gone,10
calvin harris,10
david guetta mix,5
avicii,5
tiesto,5
sia,5
afrojack,5
hey mama,5
dangerous david guetta,5
we found love,5



Rising searches for david guetta
akon,Breakout
akon david guetta,Breakout
david guetta memories,Breakout
david guetta titanium,Breakout
david guetta usher,Breakout
memories,Breakout
nicki minaj,Breakout
rihanna,Breakout
titanium,Breakout
titanium lyrics,Breakout



