YouTube Search interest: new boyz
United States; Jan 2008 - Jul 2015

Interest over time
Week,new boyz
2009-08-09 - 2009-08-15,40
2009-08-16 - 2009-08-22,37
2009-08-23 - 2009-08-29,36
2009-08-30 - 2009-09-05,39
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,56
2009-09-20 - 2009-09-26,73
2009-09-27 - 2009-10-03,74
2009-10-04 - 2009-10-10,76
2009-10-11 - 2009-10-17,82
2009-10-18 - 2009-10-24,95
2009-10-25 - 2009-10-31,89
2009-11-01 - 2009-11-07,88
2009-11-08 - 2009-11-14,91
2009-11-15 - 2009-11-21,86
2009-11-22 - 2009-11-28,100
2009-11-29 - 2009-12-05,83
2009-12-06 - 2009-12-12,85
2009-12-13 - 2009-12-19,92
2009-12-20 - 2009-12-26,99
2009-12-27 - 2010-01-02,89
2010-01-03 - 2010-01-09,82
2010-01-10 - 2010-01-16,78
2010-01-17 - 2010-01-23,82
2010-01-24 - 2010-01-30,79
2010-01-31 - 2010-02-06,77
2010-02-07 - 2010-02-13,79
2010-02-14 - 2010-02-20,77
2010-02-21 - 2010-02-27,73
2010-02-28 - 2010-03-06,76
2010-03-07 - 2010-03-13,74
2010-03-14 - 2010-03-20,81
2010-03-21 - 2010-03-27,75
2010-03-28 - 2010-04-03,78
2010-04-04 - 2010-04-10,68
2010-04-11 - 2010-04-17,64
2010-04-18 - 2010-04-24,61
2010-04-25 - 2010-05-01,61
2010-05-02 - 2010-05-08,64
2010-05-09 - 2010-05-15,59
2010-05-16 - 2010-05-22,56
2010-05-23 - 2010-05-29,57
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,52
2010-06-13 - 2010-06-19,50
2010-06-20 - 2010-06-26,47
2010-06-27 - 2010-07-03,46
2010-07-04 - 2010-07-10,55
2010-07-11 - 2010-07-17,48
2010-07-18 - 2010-07-24,50
2010-07-25 - 2010-07-31,51
2010-08-01 - 2010-08-07,47
2010-08-08 - 2010-08-14,46
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,46
2010-08-29 - 2010-09-04,45
2010-09-05 - 2010-09-11,42
2010-09-12 - 2010-09-18,44
2010-09-19 - 2010-09-25,43
2010-09-26 - 2010-10-02,45
2010-10-03 - 2010-10-09,40
2010-10-10 - 2010-10-16,37
2010-10-17 - 2010-10-23,37
2010-10-24 - 2010-10-30,33
2010-10-31 - 2010-11-06,33
2010-11-07 - 2010-11-13,32
2010-11-14 - 2010-11-20,34
2010-11-21 - 2010-11-27,35
2010-11-28 - 2010-12-04,30
2010-12-05 - 2010-12-11,29
2010-12-12 - 2010-12-18,31
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,31
2011-01-02 - 2011-01-08,31
2011-01-09 - 2011-01-15,37
2011-01-16 - 2011-01-22,37
2011-01-23 - 2011-01-29,38
2011-01-30 - 2011-02-05,37
2011-02-06 - 2011-02-12,39
2011-02-13 - 2011-02-19,46
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,51
2011-03-06 - 2011-03-12,61
2011-03-13 - 2011-03-19,64
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,66
2011-04-03 - 2011-04-09,66
2011-04-10 - 2011-04-16,71
2011-04-17 - 2011-04-23,72
2011-04-24 - 2011-04-30,66
2011-05-01 - 2011-05-07,72
2011-05-08 - 2011-05-14,77
2011-05-15 - 2011-05-21,81
2011-05-22 - 2011-05-28,75
2011-05-29 - 2011-06-04,70
2011-06-05 - 2011-06-11,71
2011-06-12 - 2011-06-18,71
2011-06-19 - 2011-06-25,68
2011-06-26 - 2011-07-02,72
2011-07-03 - 2011-07-09,69
2011-07-10 - 2011-07-16,71
2011-07-17 - 2011-07-23,71
2011-07-24 - 2011-07-30,76
2011-07-31 - 2011-08-06,75
2011-08-07 - 2011-08-13,70
2011-08-14 - 2011-08-20,65
2011-08-21 - 2011-08-27,63
2011-08-28 - 2011-09-03,65
2011-09-04 - 2011-09-10,64
2011-09-11 - 2011-09-17,65
2011-09-18 - 2011-09-24,66
2011-09-25 - 2011-10-01,65
2011-10-02 - 2011-10-08,69
2011-10-09 - 2011-10-15,68
2011-10-16 - 2011-10-22,63
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,55
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,46
2011-11-20 - 2011-11-26,45
2011-11-27 - 2011-12-03,39
2011-12-04 - 2011-12-10,36
2011-12-11 - 2011-12-17,36
2011-12-18 - 2011-12-24,36
2011-12-25 - 2011-12-31,34
2012-01-01 - 2012-01-07,29
2012-01-08 - 2012-01-14,29
2012-01-15 - 2012-01-21,29
2012-01-22 - 2012-01-28,28
2012-01-29 - 2012-02-04,27
2012-02-05 - 2012-02-11,23
2012-02-12 - 2012-02-18,22
2012-02-19 - 2012-02-25,26
2012-02-26 - 2012-03-03,25
2012-03-04 - 2012-03-10,23
2012-03-11 - 2012-03-17,21
2012-03-18 - 2012-03-24,22
2012-03-25 - 2012-03-31,20
2012-04-01 - 2012-04-07,22
2012-04-08 - 2012-04-14,19
2012-04-15 - 2012-04-21,19
2012-04-22 - 2012-04-28,18
2012-04-29 - 2012-05-05,18
2012-05-06 - 2012-05-12,19
2012-05-13 - 2012-05-19,18
2012-05-20 - 2012-05-26,17
2012-05-27 - 2012-06-02,16
2012-06-03 - 2012-06-09,17
2012-06-10 - 2012-06-16,18
2012-06-17 - 2012-06-23,16
2012-06-24 - 2012-06-30,15
2012-07-01 - 2012-07-07,16
2012-07-08 - 2012-07-14,17
2012-07-15 - 2012-07-21,16
2012-07-22 - 2012-07-28,13
2012-07-29 - 2012-08-04,16
2012-08-05 - 2012-08-11,14
2012-08-12 - 2012-08-18,13
2012-08-19 - 2012-08-25,13
2012-08-26 - 2012-09-01,13
2012-09-02 - 2012-09-08,12
2012-09-09 - 2012-09-15,11
2012-09-16 - 2012-09-22,11
2012-09-23 - 2012-09-29,12
2012-09-30 - 2012-10-06,12
2012-10-07 - 2012-10-13,13
2012-10-14 - 2012-10-20,13
2012-10-21 - 2012-10-27,12
2012-10-28 - 2012-11-03,11
2012-11-04 - 2012-11-10,11
2012-11-11 - 2012-11-17,12
2012-11-18 - 2012-11-24,10
2012-11-25 - 2012-12-01,10
2012-12-02 - 2012-12-08,10
2012-12-09 - 2012-12-15,10
2012-12-16 - 2012-12-22,10
2012-12-23 - 2012-12-29,11
2012-12-30 - 2013-01-05,9
2013-01-06 - 2013-01-12,9
2013-01-13 - 2013-01-19,9
2013-01-20 - 2013-01-26,10
2013-01-27 - 2013-02-02,10
2013-02-03 - 2013-02-09,9
2013-02-10 - 2013-02-16,9
2013-02-17 - 2013-02-23,9
2013-02-24 - 2013-03-02,8
2013-03-03 - 2013-03-09,8
2013-03-10 - 2013-03-16,8
2013-03-17 - 2013-03-23,8
2013-03-24 - 2013-03-30,8
2013-03-31 - 2013-04-06,8
2013-04-07 - 2013-04-13,8
2013-04-14 - 2013-04-20,8
2013-04-21 - 2013-04-27,7
2013-04-28 - 2013-05-04,9
2013-05-05 - 2013-05-11,8
2013-05-12 - 2013-05-18,8
2013-05-19 - 2013-05-25,8
2013-05-26 - 2013-06-01,7
2013-06-02 - 2013-06-08,8
2013-06-09 - 2013-06-15,7
2013-06-16 - 2013-06-22,7
2013-06-23 - 2013-06-29,7
2013-06-30 - 2013-07-06,6
2013-07-07 - 2013-07-13,7
2013-07-14 - 2013-07-20,6
2013-07-21 - 2013-07-27,6
2013-07-28 - 2013-08-03,5
2013-08-04 - 2013-08-10,5
2013-08-11 - 2013-08-17,6
2013-08-18 - 2013-08-24,5
2013-08-25 - 2013-08-31,5
2013-09-01 - 2013-09-07,4
2013-09-08 - 2013-09-14,4
2013-09-15 - 2013-09-21,4
2013-09-22 - 2013-09-28,5
2013-09-29 - 2013-10-05,6
2013-10-06 - 2013-10-12,6
2013-10-13 - 2013-10-19,5
2013-10-20 - 2013-10-26,4
2013-10-27 - 2013-11-02,5
2013-11-03 - 2013-11-09,4
2013-11-10 - 2013-11-16,4
2013-11-17 - 2013-11-23,5
2013-11-24 - 2013-11-30,7
2013-12-01 - 2013-12-07,6
2013-12-08 - 2013-12-14,6
2013-12-15 - 2013-12-21,5
2013-12-22 - 2013-12-28,4
2013-12-29 - 2014-01-04,5
2014-01-05 - 2014-01-11,4
2014-01-12 - 2014-01-18,5
2014-01-19 - 2014-01-25,4
2014-01-26 - 2014-02-01,5
2014-02-02 - 2014-02-08,5
2014-02-09 - 2014-02-15,7
2014-02-16 - 2014-02-22,7
2014-02-23 - 2014-03-01,8
2014-03-02 - 2014-03-08,8
2014-03-09 - 2014-03-15,9
2014-03-16 - 2014-03-22,8
2014-03-23 - 2014-03-29,7
2014-03-30 - 2014-04-05,7
2014-04-06 - 2014-04-12,6
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,6
2014-04-27 - 2014-05-03,6
2014-05-04 - 2014-05-10,6
2014-05-11 - 2014-05-17,6
2014-05-18 - 2014-05-24,6
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,5
2014-06-08 - 2014-06-14,5
2014-06-15 - 2014-06-21,5
2014-06-22 - 2014-06-28,6
2014-06-29 - 2014-07-05,5
2014-07-06 - 2014-07-12,5
2014-07-13 - 2014-07-19,5
2014-07-20 - 2014-07-26,6
2014-07-27 - 2014-08-02,6
2014-08-03 - 2014-08-09,4
2014-08-10 - 2014-08-16,4
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,4
2014-08-31 - 2014-09-06,5
2014-09-07 - 2014-09-13,4
2014-09-14 - 2014-09-20,4
2014-09-21 - 2014-09-27,4
2014-09-28 - 2014-10-04,4
2014-10-05 - 2014-10-11,5
2014-10-12 - 2014-10-18,4
2014-10-19 - 2014-10-25,4
2014-10-26 - 2014-11-01,4
2014-11-02 - 2014-11-08,4
2014-11-09 - 2014-11-15,4
2014-11-16 - 2014-11-22,4
2014-11-23 - 2014-11-29,3
2014-11-30 - 2014-12-06,3
2014-12-07 - 2014-12-13,4
2014-12-14 - 2014-12-20,3
2014-12-21 - 2014-12-27,3
2014-12-28 - 2015-01-03,3
2015-01-04 - 2015-01-10,3
2015-01-11 - 2015-01-17,3
2015-01-18 - 2015-01-24,3
2015-01-25 - 2015-01-31,3
2015-02-01 - 2015-02-07,3
2015-02-08 - 2015-02-14,3
2015-02-15 - 2015-02-21,3
2015-02-22 - 2015-02-28,3
2015-03-01 - 2015-03-07,4
2015-03-08 - 2015-03-14,3
2015-03-15 - 2015-03-21,3
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,2
2015-04-12 - 2015-04-18,3
2015-04-19 - 2015-04-25,2
2015-04-26 - 2015-05-02,3
2015-05-03 - 2015-05-09,3
2015-05-10 - 2015-05-16,3
2015-05-17 - 2015-05-23,2
2015-05-24 - 2015-05-30,3
2015-05-31 - 2015-06-06,2
2015-06-07 - 2015-06-13,2
2015-06-14 - 2015-06-20,2
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,2
2015-07-05 - 2015-07-11,2
2015-07-12 - 2015-07-18,2
2015-07-19 - 2015-07-25,3
2015-07-26 - 2015-08-01,2


Top sub-regions for new boyz
Sub-region,new boyz
Hawaii,100
Louisiana,99
Arizona,99
Rhode Island,97
New Mexico,94
California,93
North Carolina,92
South Dakota,91
Nevada,90
Nebraska,89
Georgia,87
South Carolina,86
Missouri,86
Michigan,86
Florida,86
Pennsylvania,85
Connecticut,84
Oklahoma,83
Massachusetts,83
Ohio,82
Colorado,82
Kentucky,81
Wisconsin,81
Idaho,81
Mississippi,81
Washington,79
Arkansas,78
Minnesota,78
North Dakota,78
District of Columbia,77
Iowa,76
Indiana,76
Delaware,74
Maryland,74
Alabama,74
Wyoming,74
Kansas,73
New York,73
Utah,73
Texas,72
New Jersey,72
West Virginia,69
New Hampshire,68
Illinois,67
Tennessee,67
Alaska,66
Oregon,65
Virginia,62
Montana,62
Vermont,59
Maine,59


Top metros for new boyz
Metro,new boyz
Bakersfield CA,100
Fresno-Visalia CA,87
Sacramento-Stockton-Modesto CA,77
Tucson (Sierra Vista) AZ,69
Reno NV,68
Phoenix AZ,66
West Palm Beach-Ft. Pierce FL,66
Honolulu HI,65
Louisville KY,65
Greenville-Spartanburg SC-Asheville NC-Anderson SC,64
Jackson MS,64
Boise ID,63
Colorado Springs-Pueblo CO,63
New Orleans LA,63
Albuquerque-Santa Fe NM,62
Omaha NE,62
Hartford & New Haven CT,61
Wichita-Hutchinson KS,61
San Diego CA,60
Baton Rouge LA,60
Cleveland-Akron (Canton) OH,60
Philadelphia PA,59
Detroit MI,59
Providence RI-New Bedford MA,59
Green Bay-Appleton WI,59
Los Angeles CA,59
Charlotte NC,58
Flint-Saginaw-Bay City MI,58
Raleigh-Durham (Fayetteville) NC,58
Columbia SC,57
Ft. Myers-Naples FL,56
Tampa-St. Petersburg (Sarasota) FL,56
Grand Rapids-Kalamazoo-Battle Creek MI,56
Rochester NY,56
Boston MA-Manchester NH,55
Las Vegas NV,55
Orlando-Daytona Beach-Melbourne FL,55
Mobile AL-Pensacola (Ft. Walton Beach) FL,55
Chattanooga TN,54
Kansas City MO,53
Richmond-Petersburg VA,53
Salt Lake City UT,53
Albany-Schenectady-Troy NY,53
El Paso TX,53
Seattle-Tacoma WA,53
Charleston-Huntington WV,52
Atlanta GA,52
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,52
Oklahoma City OK,52
Denver CO,52
Springfield-Holyoke MA,51
New York NY,51
Greensboro-High Point-Winston Salem NC,51
Des Moines-Ames IA,51
Syracuse NY,51
San Antonio TX,51
Milwaukee WI,51
Tulsa OK,50
Minneapolis-St. Paul MN,50
Jacksonville FL,50
Wilkes Barre-Scranton PA,50
Baltimore MD,50
Champaign & Springfield-Decatur IL,50
Harrisburg-Lancaster-Lebanon-York PA,49
St. Louis MO,49
Toledo OH,49
Norfolk-Portsmouth-Newport News VA,49
Dayton OH,49
Little Rock-Pine Bluff AR,49
Birmingham AL,49
Columbus OH,49
Roanoke-Lynchburg VA,48
Madison WI,48
Memphis TN,48
Lexington KY,47
Santa Barbara-Santa Maria-San Luis Obispo CA,47
Spokane WA,45
Buffalo NY,45
Dallas-Ft. Worth TX,45
Harlingen-Weslaco-Brownsville-McAllen TX,44
Cincinnati OH,44
Indianapolis IN,43
Miami-Ft. Lauderdale FL,43
Pittsburgh PA,43
Chicago IL,42
Washington DC (Hagerstown MD),42
Portland OR,42
Portland-Auburn ME,41
San Francisco-Oakland-San Jose CA,38
Houston TX,38
Nashville TN,37
Austin TX,35
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Johnstown-Altoona PA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for new boyz
Town/City,new boyz
Stockton,100
Fresno,96
Sacramento,84
Phoenix,84
Irvine,81
Las Vegas,77
Reston,77
Richardson,75
Los Angeles,75
St. Louis,72
Atlanta,71
Herndon,70
Tampa,70
San Diego,70
Orlando,70



Top searches for new boyz
the new boyz,100
new boyz jerk,50
jerk,50
down,50
tie me down,35
backseat,25
backseat new boyz,25
your a jerk,20
new boy,15
how to jerk,10
dougie,10
new girl,10
new boyz crickets,10
new boys,10
how to dougie,10
break my bank,5
new boyz jerkin,5
jerkin,5
you a jerk,5
jerk dance,5
back seat,5
rangers,5
bunz new boyz,5
down on me,5
new boyz cricketz,5
cat daddy,5
ray j,5
new boyz cashmere,5
dot com,5
so dope,5
new girl-new boyz,5
bedrock,5
the rangers,5
new songs 2011,5
new edition,5



Rising searches for new boyz
backseat,Breakout
backseat new boyz,Breakout
dougie,Breakout
down,Breakout
how to jerk,Breakout
jerk,Breakout
new boyz jerk,Breakout
tie me down,Breakout
your a jerk,Breakout
the new boyz,+120%



