YouTube Search interest: avril lavigne
United States; Jan 2008 - Jul 2015

Interest over time
Week,avril lavigne
2010-05-09 - 2010-05-15,29
2010-05-16 - 2010-05-22,28
2010-05-23 - 2010-05-29,29
2010-05-30 - 2010-06-05,29
2010-06-06 - 2010-06-12,28
2010-06-13 - 2010-06-19,29
2010-06-20 - 2010-06-26,26
2010-06-27 - 2010-07-03,25
2010-07-04 - 2010-07-10,27
2010-07-11 - 2010-07-17,28
2010-07-18 - 2010-07-24,26
2010-07-25 - 2010-07-31,26
2010-08-01 - 2010-08-07,24
2010-08-08 - 2010-08-14,24
2010-08-15 - 2010-08-21,25
2010-08-22 - 2010-08-28,23
2010-08-29 - 2010-09-04,23
2010-09-05 - 2010-09-11,22
2010-09-12 - 2010-09-18,21
2010-09-19 - 2010-09-25,21
2010-09-26 - 2010-10-02,23
2010-10-03 - 2010-10-09,23
2010-10-10 - 2010-10-16,23
2010-10-17 - 2010-10-23,23
2010-10-24 - 2010-10-30,23
2010-10-31 - 2010-11-06,24
2010-11-07 - 2010-11-13,22
2010-11-14 - 2010-11-20,24
2010-11-21 - 2010-11-27,23
2010-11-28 - 2010-12-04,23
2010-12-05 - 2010-12-11,22
2010-12-12 - 2010-12-18,23
2010-12-19 - 2010-12-25,22
2010-12-26 - 2011-01-01,28
2011-01-02 - 2011-01-08,36
2011-01-09 - 2011-01-15,39
2011-01-16 - 2011-01-22,43
2011-01-23 - 2011-01-29,87
2011-01-30 - 2011-02-05,94
2011-02-06 - 2011-02-12,77
2011-02-13 - 2011-02-19,77
2011-02-20 - 2011-02-26,82
2011-02-27 - 2011-03-05,77
2011-03-06 - 2011-03-12,100
2011-03-13 - 2011-03-19,87
2011-03-20 - 2011-03-26,73
2011-03-27 - 2011-04-02,69
2011-04-03 - 2011-04-09,66
2011-04-10 - 2011-04-16,62
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,56
2011-05-01 - 2011-05-07,50
2011-05-08 - 2011-05-14,46
2011-05-15 - 2011-05-21,50
2011-05-22 - 2011-05-28,55
2011-05-29 - 2011-06-04,53
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,48
2011-06-19 - 2011-06-25,50
2011-06-26 - 2011-07-02,48
2011-07-03 - 2011-07-09,46
2011-07-10 - 2011-07-16,53
2011-07-17 - 2011-07-23,55
2011-07-24 - 2011-07-30,54
2011-07-31 - 2011-08-06,75
2011-08-07 - 2011-08-13,64
2011-08-14 - 2011-08-20,51
2011-08-21 - 2011-08-27,45
2011-08-28 - 2011-09-03,41
2011-09-04 - 2011-09-10,57
2011-09-11 - 2011-09-17,69
2011-09-18 - 2011-09-24,47
2011-09-25 - 2011-10-01,43
2011-10-02 - 2011-10-08,41
2011-10-09 - 2011-10-15,40
2011-10-16 - 2011-10-22,37
2011-10-23 - 2011-10-29,38
2011-10-30 - 2011-11-05,37
2011-11-06 - 2011-11-12,45
2011-11-13 - 2011-11-19,41
2011-11-20 - 2011-11-26,43
2011-11-27 - 2011-12-03,42
2011-12-04 - 2011-12-10,41
2011-12-11 - 2011-12-17,42
2011-12-18 - 2011-12-24,44
2011-12-25 - 2011-12-31,40
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,37
2012-01-15 - 2012-01-21,41
2012-01-22 - 2012-01-28,35
2012-01-29 - 2012-02-04,33
2012-02-05 - 2012-02-11,31
2012-02-12 - 2012-02-18,30
2012-02-19 - 2012-02-25,28
2012-02-26 - 2012-03-03,28
2012-03-04 - 2012-03-10,29
2012-03-11 - 2012-03-17,27
2012-03-18 - 2012-03-24,26
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,22
2012-04-15 - 2012-04-21,22
2012-04-22 - 2012-04-28,23
2012-04-29 - 2012-05-05,22
2012-05-06 - 2012-05-12,21
2012-05-13 - 2012-05-19,21
2012-05-20 - 2012-05-26,19
2012-05-27 - 2012-06-02,22
2012-06-03 - 2012-06-09,22
2012-06-10 - 2012-06-16,24
2012-06-17 - 2012-06-23,23
2012-06-24 - 2012-06-30,25
2012-07-01 - 2012-07-07,24
2012-07-08 - 2012-07-14,23
2012-07-15 - 2012-07-21,23
2012-07-22 - 2012-07-28,23
2012-07-29 - 2012-08-04,23
2012-08-05 - 2012-08-11,23
2012-08-12 - 2012-08-18,23
2012-08-19 - 2012-08-25,23
2012-08-26 - 2012-09-01,21
2012-09-02 - 2012-09-08,21
2012-09-09 - 2012-09-15,20
2012-09-16 - 2012-09-22,19
2012-09-23 - 2012-09-29,19
2012-09-30 - 2012-10-06,20
2012-10-07 - 2012-10-13,19
2012-10-14 - 2012-10-20,19
2012-10-21 - 2012-10-27,17
2012-10-28 - 2012-11-03,16
2012-11-04 - 2012-11-10,19
2012-11-11 - 2012-11-17,19
2012-11-18 - 2012-11-24,17
2012-11-25 - 2012-12-01,16
2012-12-02 - 2012-12-08,16
2012-12-09 - 2012-12-15,15
2012-12-16 - 2012-12-22,19
2012-12-23 - 2012-12-29,17
2012-12-30 - 2013-01-05,16
2013-01-06 - 2013-01-12,15
2013-01-13 - 2013-01-19,15
2013-01-20 - 2013-01-26,16
2013-01-27 - 2013-02-02,16
2013-02-03 - 2013-02-09,15
2013-02-10 - 2013-02-16,15
2013-02-17 - 2013-02-23,15
2013-02-24 - 2013-03-02,14
2013-03-03 - 2013-03-09,15
2013-03-10 - 2013-03-16,14
2013-03-17 - 2013-03-23,15
2013-03-24 - 2013-03-30,15
2013-03-31 - 2013-04-06,15
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,17
2013-04-21 - 2013-04-27,20
2013-04-28 - 2013-05-04,21
2013-05-05 - 2013-05-11,22
2013-05-12 - 2013-05-18,23
2013-05-19 - 2013-05-25,19
2013-05-26 - 2013-06-01,19
2013-06-02 - 2013-06-08,19
2013-06-09 - 2013-06-15,18
2013-06-16 - 2013-06-22,17
2013-06-23 - 2013-06-29,16
2013-06-30 - 2013-07-06,16
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,16
2013-07-21 - 2013-07-27,15
2013-07-28 - 2013-08-03,17
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,16
2013-08-18 - 2013-08-24,23
2013-08-25 - 2013-08-31,18
2013-09-01 - 2013-09-07,16
2013-09-08 - 2013-09-14,16
2013-09-15 - 2013-09-21,15
2013-09-22 - 2013-09-28,17
2013-09-29 - 2013-10-05,15
2013-10-06 - 2013-10-12,17
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,18
2013-10-27 - 2013-11-02,17
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,20
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,17
2013-12-01 - 2013-12-07,16
2013-12-08 - 2013-12-14,16
2013-12-15 - 2013-12-21,16
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,16
2014-01-05 - 2014-01-11,15
2014-01-12 - 2014-01-18,14
2014-01-19 - 2014-01-25,14
2014-01-26 - 2014-02-01,13
2014-02-02 - 2014-02-08,13
2014-02-09 - 2014-02-15,13
2014-02-16 - 2014-02-22,12
2014-02-23 - 2014-03-01,13
2014-03-02 - 2014-03-08,13
2014-03-09 - 2014-03-15,13
2014-03-16 - 2014-03-22,12
2014-03-23 - 2014-03-29,12
2014-03-30 - 2014-04-05,12
2014-04-06 - 2014-04-12,12
2014-04-13 - 2014-04-19,11
2014-04-20 - 2014-04-26,59
2014-04-27 - 2014-05-03,31
2014-05-04 - 2014-05-10,26
2014-05-11 - 2014-05-17,23
2014-05-18 - 2014-05-24,22
2014-05-25 - 2014-05-31,21
2014-06-01 - 2014-06-07,19
2014-06-08 - 2014-06-14,19
2014-06-15 - 2014-06-21,17
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,15
2014-07-06 - 2014-07-12,15
2014-07-13 - 2014-07-19,13
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,13
2014-08-03 - 2014-08-09,13
2014-08-10 - 2014-08-16,13
2014-08-17 - 2014-08-23,11
2014-08-24 - 2014-08-30,10
2014-08-31 - 2014-09-06,11
2014-09-07 - 2014-09-13,10
2014-09-14 - 2014-09-20,11
2014-09-21 - 2014-09-27,10
2014-09-28 - 2014-10-04,11
2014-10-05 - 2014-10-11,11
2014-10-12 - 2014-10-18,10
2014-10-19 - 2014-10-25,9
2014-10-26 - 2014-11-01,9
2014-11-02 - 2014-11-08,11
2014-11-09 - 2014-11-15,10
2014-11-16 - 2014-11-22,9
2014-11-23 - 2014-11-29,10
2014-11-30 - 2014-12-06,9
2014-12-07 - 2014-12-13,9
2014-12-14 - 2014-12-20,9
2014-12-21 - 2014-12-27,9
2014-12-28 - 2015-01-03,9
2015-01-04 - 2015-01-10,8
2015-01-11 - 2015-01-17,9
2015-01-18 - 2015-01-24,9
2015-01-25 - 2015-01-31,8
2015-02-01 - 2015-02-07,9
2015-02-08 - 2015-02-14,10
2015-02-15 - 2015-02-21,10
2015-02-22 - 2015-02-28,10
2015-03-01 - 2015-03-07,9
2015-03-08 - 2015-03-14,10
2015-03-15 - 2015-03-21,8
2015-03-22 - 2015-03-28,9
2015-03-29 - 2015-04-04,10
2015-04-05 - 2015-04-11,10
2015-04-12 - 2015-04-18,10
2015-04-19 - 2015-04-25,9
2015-04-26 - 2015-05-02,8
2015-05-03 - 2015-05-09,8
2015-05-10 - 2015-05-16,9
2015-05-17 - 2015-05-23,8
2015-05-24 - 2015-05-30,8
2015-05-31 - 2015-06-06,7
2015-06-07 - 2015-06-13,7
2015-06-14 - 2015-06-20,7
2015-06-21 - 2015-06-27,7
2015-06-28 - 2015-07-04,8
2015-07-05 - 2015-07-11,8
2015-07-12 - 2015-07-18,7
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,9


Top sub-regions for avril lavigne
Sub-region,avril lavigne
Wyoming,100
South Dakota,95
Iowa,92
West Virginia,92
Ohio,91
Idaho,89
North Dakota,89
Kentucky,86
Nebraska,86
Utah,85
Montana,85
Pennsylvania,85
Maine,84
Missouri,84
Indiana,83
Kansas,83
Wisconsin,83
New Hampshire,81
Michigan,80
Oklahoma,78
Virginia,77
Texas,77
Minnesota,75
Arkansas,75
Tennessee,75
Colorado,74
Arizona,74
Nevada,74
New Mexico,72
Illinois,71
North Carolina,71
Vermont,71
Florida,69
Alabama,68
South Carolina,68
Connecticut,68
Washington,67
California,67
Massachusetts,66
New Jersey,66
Georgia,65
New York,65
Louisiana,64
Delaware,64
Rhode Island,63
Mississippi,63
Oregon,62
Alaska,61
Maryland,59
Hawaii,51
District of Columbia,48


Top metros for avril lavigne
Metro,avril lavigne
Sioux City IA,100
Youngstown OH,96
South Bend-Elkhart IN,96
Wilkes Barre-Scranton PA,93
Charleston-Huntington WV,93
Corpus Christi TX,89
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,88
Erie PA,87
Green Bay-Appleton WI,86
Dayton OH,86
Lincoln & Hastings-Kearney NE,86
Traverse City-Cadillac MI,85
Springfield MO,84
Wichita-Hutchinson KS,83
Tri-Cities TN-VA,82
Johnstown-Altoona PA,82
Sioux Falls(Mitchell) SD,82
Ft. Wayne IN,81
Grand Rapids-Kalamazoo-Battle Creek MI,81
Evansville IN,80
Harrisburg-Lancaster-Lebanon-York PA,79
Portland-Auburn ME,79
Boise ID,78
Toledo OH,77
Salt Lake City UT,77
Cleveland-Akron (Canton) OH,76
Flint-Saginaw-Bay City MI,76
Indianapolis IN,76
Des Moines-Ames IA,76
Fargo-Valley City ND,76
Cincinnati OH,76
Harlingen-Weslaco-Brownsville-McAllen TX,75
Shreveport LA,75
Champaign & Springfield-Decatur IL,75
Yakima-Pasco-Richland-Kennewick WA,75
Lexington KY,74
Buffalo NY,74
Pittsburgh PA,74
St. Louis MO,73
Louisville KY,73
Davenport IA-Rock Island-Moline IL,73
Fresno-Visalia CA,73
Columbus OH,73
Reno NV,73
Chattanooga TN,73
Ft. Smith-Fayetteville-Springdale-Rogers AR,72
Columbia-Jefferson City MO,72
Topeka KS,72
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,72
Kansas City MO,71
Spokane WA,71
La Crosse-Eau Claire WI,71
Syracuse NY,70
Albany-Schenectady-Troy NY,70
Bakersfield CA,70
El Paso TX,69
Lansing MI,69
Mobile AL-Pensacola (Ft. Walton Beach) FL,69
Peoria-Bloomington IL,69
Milwaukee WI,69
Washington DC (Hagerstown MD),69
Albuquerque-Santa Fe NM,69
Tulsa OK,69
Omaha NE,69
Las Vegas NV,68
Greenville-Spartanburg SC-Asheville NC-Anderson SC,68
Colorado Springs-Pueblo CO,67
Denver CO,67
Chico-Redding CA,67
Waco-Temple-Bryan TX,66
Tampa-St. Petersburg (Sarasota) FL,66
Springfield-Holyoke MA,66
Tucson (Sierra Vista) AZ,66
Minneapolis-St. Paul MN,65
Oklahoma City OK,65
Phoenix AZ,65
Jackson MS,65
Little Rock-Pine Bluff AR,65
Huntsville-Decatur (Florence) AL,65
San Francisco-Oakland-San Jose CA,64
Philadelphia PA,64
Knoxville TN,64
New York NY,64
Tyler-Longview(Lufkin & Nacogdoches) TX,64
San Antonio TX,63
Orlando-Daytona Beach-Melbourne FL,63
Madison WI,63
Houston TX,63
Hartford & New Haven CT,62
Boston MA-Manchester NH,62
Nashville TN,62
Jacksonville FL,62
Dallas-Ft. Worth TX,62
Raleigh-Durham (Fayetteville) NC,62
Providence RI-New Bedford MA,62
Greenville-New Bern-Washington NC,61
Birmingham AL,61
Charlotte NC,60
Burlington VT-Plattsburgh NY,60
Florence-Myrtle Beach SC,60
Lafayette LA,60
Rochester NY,60
Ft. Myers-Naples FL,59
Macon GA,58
Savannah GA,58
Charleston SC,58
Chicago IL,58
Detroit MI,58
Miami-Ft. Lauderdale FL,58
Atlanta GA,58
Seattle-Tacoma WA,57
Anchorage AK,57
Greensboro-High Point-Winston Salem NC,57
Gainesville FL,56
Sacramento-Stockton-Modesto CA,56
Roanoke-Lynchburg VA,55
Columbia SC,54
Augusta GA,54
Baltimore MD,53
Los Angeles CA,53
Austin TX,53
New Orleans LA,53
Eugene OR,52
Norfolk-Portsmouth-Newport News VA,52
Baton Rouge LA,51
Portland OR,51
San Diego CA,50
Richmond-Petersburg VA,49
Santa Barbara-Santa Maria-San Luis Obispo CA,48
Honolulu HI,47
Memphis TN,47
Monterey-Salinas CA,47
West Palm Beach-Ft. Pierce FL,47
Tallahassee FL-Thomasville GA,42
Binghamton NY,0
Columbus GA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for avril lavigne
Town/City,avril lavigne
Sterling,100
Milpitas,98
San Antonio,75
Las Vegas,74
Phoenix,73
St. Louis,72
Richardson,69
Columbus,69
Denver,69
Herndon,66
Houston,65
Orlando,63
Los Angeles,62
Dallas,61
Philadelphia,60



Top searches for avril lavigne
avril lavigne lyrics,100
what the hell,55
avril lavigne girlfriend,45
girlfriend,45
smile,30
smile avril lavigne,30
complicated,25
avril lavigne complicated,25
when your gone,20
alice avril lavigne,15
hot avril lavigne,15
alice,15
skater boy,10
avril lavigne songs,10
girlfriend lyrics,10
happy ending,10
hello kitty,10
keep holding on,10
avril lavigne live,10
kesha,5
kelly clarkson,5
avril lavigne innocence,5
avril lavigne goodbye,5
i miss you,5
paramore,5
lil mama,5
im with you,5
why avril lavigne,5
sk8er boi,5
evanescence,5
i will be,5
alice in wonderland,5



Rising searches for avril lavigne
alice,Breakout
alice avril lavigne,Breakout
katy perry,Breakout
smile,Breakout
what the hell,Breakout
smile avril lavigne,+3,700%
avril lavigne lyrics,+750%
complicated,+300%
avril lavigne complicated,+250%
when your gone,+80%



