YouTube Search interest: colbie caillat
United States; Jan 2008 - Jul 2015

Interest over time
Week,colbie caillat
2013-10-27 - 2013-11-02,22
2013-11-03 - 2013-11-09,22
2013-11-10 - 2013-11-16,20
2013-11-17 - 2013-11-23,25
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,23
2013-12-08 - 2013-12-14,22
2013-12-15 - 2013-12-21,26
2013-12-22 - 2013-12-28,20
2013-12-29 - 2014-01-04,21
2014-01-05 - 2014-01-11,25
2014-01-12 - 2014-01-18,26
2014-01-19 - 2014-01-25,27
2014-01-26 - 2014-02-01,29
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,25
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,23
2014-03-02 - 2014-03-08,24
2014-03-09 - 2014-03-15,21
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,19
2014-03-30 - 2014-04-05,17
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,21
2014-04-20 - 2014-04-26,17
2014-04-27 - 2014-05-03,17
2014-05-04 - 2014-05-10,14
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,16
2014-06-01 - 2014-06-07,16
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,22
2014-06-22 - 2014-06-28,18
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,30
2014-07-13 - 2014-07-19,77
2014-07-20 - 2014-07-26,36
2014-07-27 - 2014-08-02,30
2014-08-03 - 2014-08-09,29
2014-08-10 - 2014-08-16,30
2014-08-17 - 2014-08-23,31
2014-08-24 - 2014-08-30,29
2014-08-31 - 2014-09-06,33
2014-09-07 - 2014-09-13,31
2014-09-14 - 2014-09-20,33
2014-09-21 - 2014-09-27,35
2014-09-28 - 2014-10-04,37
2014-10-05 - 2014-10-11,43
2014-10-12 - 2014-10-18,38
2014-10-19 - 2014-10-25,40
2014-10-26 - 2014-11-01,37
2014-11-02 - 2014-11-08,42
2014-11-09 - 2014-11-15,43
2014-11-16 - 2014-11-22,37
2014-11-23 - 2014-11-29,34
2014-11-30 - 2014-12-06,32
2014-12-07 - 2014-12-13,31
2014-12-14 - 2014-12-20,29
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,26
2015-01-04 - 2015-01-10,28
2015-01-11 - 2015-01-17,30
2015-01-18 - 2015-01-24,26
2015-01-25 - 2015-01-31,26
2015-02-01 - 2015-02-07,26
2015-02-08 - 2015-02-14,24
2015-02-15 - 2015-02-21,23
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,25
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,25
2015-03-22 - 2015-03-28,21
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,19
2015-04-12 - 2015-04-18,21
2015-04-19 - 2015-04-25,21
2015-04-26 - 2015-05-02,19
2015-05-03 - 2015-05-09,20
2015-05-10 - 2015-05-16,22
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,15
2015-05-31 - 2015-06-06,18
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,17
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,18
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,14
2015-07-26 - 2015-08-01,15


Top sub-regions for colbie caillat
Sub-region,colbie caillat
Hawaii,100
Utah,94
Idaho,82
South Dakota,74
Maine,73
Minnesota,71
North Dakota,70
Missouri,68
Indiana,68
Montana,67
New Hampshire,66
Wisconsin,66
Kansas,65
Washington,64
Kentucky,64
Wyoming,63
Michigan,63
Vermont,62
Ohio,62
Colorado,60
California,60
Nebraska,59
Oklahoma,59
Iowa,58
Massachusetts,58
North Carolina,58
Arkansas,58
Arizona,58
West Virginia,57
South Carolina,57
Oregon,57
Tennessee,57
Pennsylvania,56
Alaska,56
Nevada,55
Rhode Island,55
Delaware,55
Texas,55
Florida,52
Connecticut,52
Alabama,52
New Mexico,51
Illinois,50
Georgia,50
New Jersey,50
Virginia,50
Mississippi,48
Maryland,47
New York,46
District of Columbia,46
Louisiana,44


Top metros for colbie caillat
