YouTube Search interest: rick ross
United States; Jan 2008 - Jul 2015

Interest over time
Week,rick ross
2013-04-07 - 2013-04-13,35
2013-04-14 - 2013-04-20,37
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,44
2013-05-05 - 2013-05-11,51
2013-05-12 - 2013-05-18,40
2013-05-19 - 2013-05-25,33
2013-05-26 - 2013-06-01,34
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,31
2013-06-16 - 2013-06-22,29
2013-06-23 - 2013-06-29,26
2013-06-30 - 2013-07-06,28
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,28
2013-07-21 - 2013-07-27,27
2013-07-28 - 2013-08-03,31
2013-08-04 - 2013-08-10,27
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,25
2013-08-25 - 2013-08-31,23
2013-09-01 - 2013-09-07,26
2013-09-08 - 2013-09-14,27
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,24
2013-09-29 - 2013-10-05,25
2013-10-06 - 2013-10-12,25
2013-10-13 - 2013-10-19,24
2013-10-20 - 2013-10-26,24
2013-10-27 - 2013-11-02,25
2013-11-03 - 2013-11-09,26
2013-11-10 - 2013-11-16,25
2013-11-17 - 2013-11-23,26
2013-11-24 - 2013-11-30,25
2013-12-01 - 2013-12-07,25
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,30
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,27
2014-01-12 - 2014-01-18,26
2014-01-19 - 2014-01-25,27
2014-01-26 - 2014-02-01,27
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,28
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,54
2014-03-09 - 2014-03-15,47
2014-03-16 - 2014-03-22,42
2014-03-23 - 2014-03-29,36
2014-03-30 - 2014-04-05,34
2014-04-06 - 2014-04-12,34
2014-04-13 - 2014-04-19,32
2014-04-20 - 2014-04-26,32
2014-04-27 - 2014-05-03,31
2014-05-04 - 2014-05-10,33
2014-05-11 - 2014-05-17,30
2014-05-18 - 2014-05-24,30
2014-05-25 - 2014-05-31,27
2014-06-01 - 2014-06-07,24
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,21
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,21
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,18
2014-07-27 - 2014-08-02,20
2014-08-03 - 2014-08-09,20
2014-08-10 - 2014-08-16,18
2014-08-17 - 2014-08-23,18
2014-08-24 - 2014-08-30,17
2014-08-31 - 2014-09-06,18
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,19
2014-09-21 - 2014-09-27,17
2014-09-28 - 2014-10-04,19
2014-10-05 - 2014-10-11,18
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,17
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,18
2014-11-09 - 2014-11-15,19
2014-11-16 - 2014-11-22,22
2014-11-23 - 2014-11-29,24
2014-11-30 - 2014-12-06,22
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,17
2014-12-21 - 2014-12-27,17
2014-12-28 - 2015-01-03,16
2015-01-04 - 2015-01-10,16
2015-01-11 - 2015-01-17,16
2015-01-18 - 2015-01-24,15
2015-01-25 - 2015-01-31,13
2015-02-01 - 2015-02-07,14
2015-02-08 - 2015-02-14,14
2015-02-15 - 2015-02-21,11
2015-02-22 - 2015-02-28,12
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,12
2015-03-22 - 2015-03-28,12
2015-03-29 - 2015-04-04,11
2015-04-05 - 2015-04-11,12
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,12
2015-04-26 - 2015-05-02,12
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,10
2015-05-24 - 2015-05-30,10
2015-05-31 - 2015-06-06,11
2015-06-07 - 2015-06-13,9
2015-06-14 - 2015-06-20,11
2015-06-21 - 2015-06-27,11
2015-06-28 - 2015-07-04,12
2015-07-05 - 2015-07-11,10
2015-07-12 - 2015-07-18,11
2015-07-19 - 2015-07-25,11
2015-07-26 - 2015-08-01,9


Top sub-regions for rick ross
Sub-region,rick ross
Florida,100
Delaware,93
Mississippi,89
Georgia,89
South Carolina,87
Maryland,86
Louisiana,86
New York,84
North Carolina,81
Alabama,79
Pennsylvania,73
New Jersey,70
Michigan,69
District of Columbia,69
Rhode Island,66
Illinois,63
Connecticut,61
Texas,57
Ohio,57
Massachusetts,56
Tennessee,53
Kentucky,50
Indiana,50
Arkansas,49
Virginia,48
Missouri,45
West Virginia,43
Wisconsin,42
Nevada,39
Oklahoma,38
Arizona,38
Minnesota,37
Vermont,37
California,37
Kansas,35
New Mexico,35
Iowa,33
New Hampshire,32
Colorado,31
Nebraska,29
Washington,28
Maine,28
North Dakota,27
South Dakota,25
Alaska,21
Hawaii,21
Wyoming,19
Oregon,18
Montana,17
Utah,15
Idaho,15


Top metros for rick ross
Metro,rick ross
Tallahassee FL-Thomasville GA,100
Miami-Ft. Lauderdale FL,97
Albany GA,96
West Palm Beach-Ft. Pierce FL,80
Montgomery (Selma) AL,79
Columbia SC,78
Florence-Myrtle Beach SC,78
Norfolk-Portsmouth-Newport News VA,75
Macon GA,75
Jackson MS,75
Augusta GA,74
New Orleans LA,73
Raleigh-Durham (Fayetteville) NC,71
Salisbury MD,71
Dothan AL,69
Monroe LA-El Dorado AR,69
Philadelphia PA,68
Savannah GA,67
Greenville-New Bern-Washington NC,67
Jacksonville FL,67
Baltimore MD,65
Columbus GA,63
Charleston SC,63
Atlanta GA,63
Shreveport LA,63
Columbus-Tupelo-West Point MS,63
New York NY,62
Baton Rouge LA,61
Memphis TN,61
Detroit MI,60
Beaumont-Port Arthur TX,59
Birmingham AL,59
Richmond-Petersburg VA,59
Tampa-St. Petersburg (Sarasota) FL,57
Charlotte NC,56
Orlando-Daytona Beach-Melbourne FL,55
Greensboro-High Point-Winston Salem NC,55
Providence RI-New Bedford MA,54
Chicago IL,52
Houston TX,52
Gainesville FL,52
Wilmington NC,52
Lafayette LA,52
Ft. Myers-Naples FL,51
Little Rock-Pine Bluff AR,49
Mobile AL-Pensacola (Ft. Walton Beach) FL,48
Youngstown OH,48
Rochester NY,48
Dallas-Ft. Worth TX,46
Lansing MI,45
Rockford IL,45
Buffalo NY,45
Hartford & New Haven CT,45
Abilene-Sweetwater TX,45
Erie PA,45
Cleveland-Akron (Canton) OH,44
Albany-Schenectady-Troy NY,43
Greenville-Spartanburg SC-Asheville NC-Anderson SC,43
Roanoke-Lynchburg VA,43
Springfield-Holyoke MA,43
Ft. Wayne IN,43
Boston MA-Manchester NH,42
Milwaukee WI,42
Harrisburg-Lancaster-Lebanon-York PA,41
Louisville KY,41
Nashville TN,41
Pittsburgh PA,40
Waco-Temple-Bryan TX,40
Dayton OH,40
Flint-Saginaw-Bay City MI,40
Wilkes Barre-Scranton PA,40
Grand Rapids-Kalamazoo-Battle Creek MI,39
St. Louis MO,39
Cincinnati OH,39
Corpus Christi TX,39
Toledo OH,39
Indianapolis IN,39
Tyler-Longview(Lufkin & Nacogdoches) TX,38
Evansville IN,38
Syracuse NY,38
Washington DC (Hagerstown MD),38
Huntsville-Decatur (Florence) AL,38
Columbus OH,37
Chattanooga TN,36
Lubbock TX,35
Champaign & Springfield-Decatur IL,35
San Antonio TX,35
Charlottesville VA,35
Davenport IA-Rock Island-Moline IL,34
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,33
South Bend-Elkhart IN,33
Kansas City MO,33
Oklahoma City OK,32
Los Angeles CA,32
Las Vegas NV,32
Bakersfield CA,31
Peoria-Bloomington IL,31
Minneapolis-St. Paul MN,30
Johnstown-Altoona PA,30
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,30
Austin TX,30
Tucson (Sierra Vista) AZ,30
Lexington KY,29
El Paso TX,29
Burlington VT-Plattsburgh NY,29
Wichita-Hutchinson KS,28
Phoenix AZ,28
Fresno-Visalia CA,28
Albuquerque-Santa Fe NM,27
Sacramento-Stockton-Modesto CA,26
Charleston-Huntington WV,26
Fargo-Valley City ND,26
Omaha NE,26
Portland-Auburn ME,25
Tri-Cities TN-VA,24
San Diego CA,24
Denver CO,24
Madison WI,24
Tulsa OK,23
Santa Barbara-Santa Maria-San Luis Obispo CA,23
Knoxville TN,23
Des Moines-Ames IA,23
Lincoln & Hastings-Kearney NE,22
Seattle-Tacoma WA,22
Sioux Falls(Mitchell) SD,21
Green Bay-Appleton WI,21
Colorado Springs-Pueblo CO,20
Ft. Smith-Fayetteville-Springdale-Rogers AR,20
San Francisco-Oakland-San Jose CA,19
Harlingen-Weslaco-Brownsville-McAllen TX,19
Springfield MO,18
Reno NV,18
Honolulu HI,16
Spokane WA,15
Portland OR,14
Salt Lake City UT,13
Binghamton NY,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for rick ross
Town/City,rick ross
Detroit,100
Philadelphia,95
Miami,84
Baltimore,82
New Orleans,81
New York,77
Jacksonville,75
Atlanta,64
Charlotte,61
Raleigh,60
Tampa,58
Chicago,57
Houston,57
Washington,56
Orlando,55



Top searches for rick ross
lil wayne,100
drake rick ross,80
drake,80
boss rick ross,40
new rick ross,40
wale rick ross,35
wale,30
nicki minaj,30
wiz khalifa,30
john rick ross,30
meek mill,25
chris brown,25
instrumental,25
aston martin music,25
kanye west,25
young jeezy,25
jay z,20
gucci mane,20
50 cent,20
future,20
bmf,20
rick ross 2011,20
rick ross bmf,20
tyga,15
2 chainz,15
schemin rick ross,15
rick ross hustlin,15
stay schemin,15
lil wayne john,15
usher,15
french montana,15
rick ross freestyle,15
rick ross 2012,15
trey songz,10
meek millz,10
waka flocka,10
ti,10
big sean,10
tupac,10
rick ross diss,10
dj khaled,10
rick ross sophisticated,10
plies,10
yo gotti,10
rick ross 2010,10
ace hood,10
fabolous,10
j cole,10
lil boosie,10
kendrick lamar,10



Rising searches for rick ross
aston martin music,Breakout
drake,Breakout
drake rick ross,Breakout
john rick ross,Breakout
meek mill,Breakout
nicki minaj,Breakout
wale,Breakout
wale rick ross,Breakout
wiz khalifa,Breakout
boss rick ross,+1,100%



