YouTube Search interest: diddy
United States; Jan 2008 - Jul 2015

Interest over time
Week,diddy
2013-05-26 - 2013-06-01,13
2013-06-02 - 2013-06-08,12
2013-06-09 - 2013-06-15,12
2013-06-16 - 2013-06-22,10
2013-06-23 - 2013-06-29,10
2013-06-30 - 2013-07-06,10
2013-07-07 - 2013-07-13,11
2013-07-14 - 2013-07-20,10
2013-07-21 - 2013-07-27,9
2013-07-28 - 2013-08-03,9
2013-08-04 - 2013-08-10,10
2013-08-11 - 2013-08-17,10
2013-08-18 - 2013-08-24,9
2013-08-25 - 2013-08-31,9
2013-09-01 - 2013-09-07,11
2013-09-08 - 2013-09-14,10
2013-09-15 - 2013-09-21,9
2013-09-22 - 2013-09-28,9
2013-09-29 - 2013-10-05,8
2013-10-06 - 2013-10-12,10
2013-10-13 - 2013-10-19,8
2013-10-20 - 2013-10-26,12
2013-10-27 - 2013-11-02,9
2013-11-03 - 2013-11-09,10
2013-11-10 - 2013-11-16,9
2013-11-17 - 2013-11-23,9
2013-11-24 - 2013-11-30,9
2013-12-01 - 2013-12-07,9
2013-12-08 - 2013-12-14,9
2013-12-15 - 2013-12-21,8
2013-12-22 - 2013-12-28,9
2013-12-29 - 2014-01-04,8
2014-01-05 - 2014-01-11,9
2014-01-12 - 2014-01-18,10
2014-01-19 - 2014-01-25,8
2014-01-26 - 2014-02-01,9
2014-02-02 - 2014-02-08,9
2014-02-09 - 2014-02-15,8
2014-02-16 - 2014-02-22,13
2014-02-23 - 2014-03-01,11
2014-03-02 - 2014-03-08,11
2014-03-09 - 2014-03-15,11
2014-03-16 - 2014-03-22,10
2014-03-23 - 2014-03-29,10
2014-03-30 - 2014-04-05,11
2014-04-06 - 2014-04-12,10
2014-04-13 - 2014-04-19,12
2014-04-20 - 2014-04-26,11
2014-04-27 - 2014-05-03,10
2014-05-04 - 2014-05-10,10
2014-05-11 - 2014-05-17,8
2014-05-18 - 2014-05-24,9
2014-05-25 - 2014-05-31,8
2014-06-01 - 2014-06-07,10
2014-06-08 - 2014-06-14,12
2014-06-15 - 2014-06-21,10
2014-06-22 - 2014-06-28,9
