YouTube Search interest: kanye west
United States; Jan 2008 - Jul 2015

Interest over time
Week,kanye west
2009-09-13 - 2009-09-19,100
2009-09-20 - 2009-09-26,21
2009-09-27 - 2009-10-03,10
2009-10-04 - 2009-10-10,9
2009-10-11 - 2009-10-17,7
2009-10-18 - 2009-10-24,7
2009-10-25 - 2009-10-31,7
2009-11-01 - 2009-11-07,7
2009-11-08 - 2009-11-14,8
2009-11-15 - 2009-11-21,7
2009-11-22 - 2009-11-28,6
2009-11-29 - 2009-12-05,6
2009-12-06 - 2009-12-12,6
2009-12-13 - 2009-12-19,7
2009-12-20 - 2009-12-26,6
2009-12-27 - 2010-01-02,6
2010-01-03 - 2010-01-09,6
2010-01-10 - 2010-01-16,5
2010-01-17 - 2010-01-23,5
2010-01-24 - 2010-01-30,5
2010-01-31 - 2010-02-06,6
2010-02-07 - 2010-02-13,5
2010-02-14 - 2010-02-20,5
2010-02-21 - 2010-02-27,5
2010-02-28 - 2010-03-06,5
2010-03-07 - 2010-03-13,5
2010-03-14 - 2010-03-20,5
2010-03-21 - 2010-03-27,5
2010-03-28 - 2010-04-03,5
2010-04-04 - 2010-04-10,5
2010-04-11 - 2010-04-17,5
2010-04-18 - 2010-04-24,5
2010-04-25 - 2010-05-01,5
2010-05-02 - 2010-05-08,5
2010-05-09 - 2010-05-15,5
2010-05-16 - 2010-05-22,4
2010-05-23 - 2010-05-29,5
2010-05-30 - 2010-06-05,6
2010-06-06 - 2010-06-12,5
2010-06-13 - 2010-06-19,5
2010-06-20 - 2010-06-26,5
2010-06-27 - 2010-07-03,7
2010-07-04 - 2010-07-10,6
2010-07-11 - 2010-07-17,6
2010-07-18 - 2010-07-24,6
2010-07-25 - 2010-07-31,6
2010-08-01 - 2010-08-07,8
2010-08-08 - 2010-08-14,10
2010-08-15 - 2010-08-21,8
2010-08-22 - 2010-08-28,8
2010-08-29 - 2010-09-04,10
2010-09-05 - 2010-09-11,10
2010-09-12 - 2010-09-18,21
2010-09-19 - 2010-09-25,13
2010-09-26 - 2010-10-02,12
2010-10-03 - 2010-10-09,12
2010-10-10 - 2010-10-16,11
2010-10-17 - 2010-10-23,12
2010-10-24 - 2010-10-30,20
2010-10-31 - 2010-11-06,16
2010-11-07 - 2010-11-13,16
2010-11-14 - 2010-11-20,14
2010-11-21 - 2010-11-27,16
2010-11-28 - 2010-12-04,15
2010-12-05 - 2010-12-11,13
2010-12-12 - 2010-12-18,12
2010-12-19 - 2010-12-25,11
2010-12-26 - 2011-01-01,14
2011-01-02 - 2011-01-08,15
2011-01-09 - 2011-01-15,14
2011-01-16 - 2011-01-22,14
2011-01-23 - 2011-01-29,13
2011-01-30 - 2011-02-05,13
2011-02-06 - 2011-02-12,12
2011-02-13 - 2011-02-19,12
2011-02-20 - 2011-02-26,19
2011-02-27 - 2011-03-05,17
2011-03-06 - 2011-03-12,16
2011-03-13 - 2011-03-19,16
2011-03-20 - 2011-03-26,15
2011-03-27 - 2011-04-02,16
2011-04-03 - 2011-04-09,16
2011-04-10 - 2011-04-16,15
2011-04-17 - 2011-04-23,14
2011-04-24 - 2011-04-30,13
2011-05-01 - 2011-05-07,12
2011-05-08 - 2011-05-14,12
2011-05-15 - 2011-05-21,11
2011-05-22 - 2011-05-28,11
2011-05-29 - 2011-06-04,12
2011-06-05 - 2011-06-11,12
2011-06-12 - 2011-06-18,11
2011-06-19 - 2011-06-25,10
2011-06-26 - 2011-07-02,9
2011-07-03 - 2011-07-09,9
2011-07-10 - 2011-07-16,10
2011-07-17 - 2011-07-23,10
2011-07-24 - 2011-07-30,11
2011-07-31 - 2011-08-06,11
2011-08-07 - 2011-08-13,15
2011-08-14 - 2011-08-20,15
2011-08-21 - 2011-08-27,14
2011-08-28 - 2011-09-03,15
2011-09-04 - 2011-09-10,13
2011-09-11 - 2011-09-17,12
2011-09-18 - 2011-09-24,11
2011-09-25 - 2011-10-01,11
2011-10-02 - 2011-10-08,11
2011-10-09 - 2011-10-15,11
2011-10-16 - 2011-10-22,11
2011-10-23 - 2011-10-29,11
2011-10-30 - 2011-11-05,11
2011-11-06 - 2011-11-12,10
2011-11-13 - 2011-11-19,9
2011-11-20 - 2011-11-26,9
2011-11-27 - 2011-12-03,10
2011-12-04 - 2011-12-10,10
2011-12-11 - 2011-12-17,10
2011-12-18 - 2011-12-24,10
2011-12-25 - 2011-12-31,9
2012-01-01 - 2012-01-07,9
2012-01-08 - 2012-01-14,9
2012-01-15 - 2012-01-21,9
2012-01-22 - 2012-01-28,9
2012-01-29 - 2012-02-04,8
2012-02-05 - 2012-02-11,9
2012-02-12 - 2012-02-18,10
2012-02-19 - 2012-02-25,8
2012-02-26 - 2012-03-03,8
2012-03-04 - 2012-03-10,7
2012-03-11 - 2012-03-17,8
2012-03-18 - 2012-03-24,7
2012-03-25 - 2012-03-31,7
2012-04-01 - 2012-04-07,10
2012-04-08 - 2012-04-14,12
2012-04-15 - 2012-04-21,10
2012-04-22 - 2012-04-28,11
2012-04-29 - 2012-05-05,11
2012-05-06 - 2012-05-12,11
2012-05-13 - 2012-05-19,12
2012-05-20 - 2012-05-26,12
2012-05-27 - 2012-06-02,12
2012-06-03 - 2012-06-09,14
2012-06-10 - 2012-06-16,14
2012-06-17 - 2012-06-23,12
2012-06-24 - 2012-06-30,12
2012-07-01 - 2012-07-07,15
2012-07-08 - 2012-07-14,14
2012-07-15 - 2012-07-21,13
2012-07-22 - 2012-07-28,12
2012-07-29 - 2012-08-04,11
2012-08-05 - 2012-08-11,12
2012-08-12 - 2012-08-18,12
2012-08-19 - 2012-08-25,11
2012-08-26 - 2012-09-01,11
2012-09-02 - 2012-09-08,13
2012-09-09 - 2012-09-15,14
2012-09-16 - 2012-09-22,14
2012-09-23 - 2012-09-29,14
2012-09-30 - 2012-10-06,13
2012-10-07 - 2012-10-13,12
2012-10-14 - 2012-10-20,11
2012-10-21 - 2012-10-27,11
2012-10-28 - 2012-11-03,11
2012-11-04 - 2012-11-10,11
2012-11-11 - 2012-11-17,10
2012-11-18 - 2012-11-24,10
2012-11-25 - 2012-12-01,9
2012-12-02 - 2012-12-08,9
2012-12-09 - 2012-12-15,9
2012-12-16 - 2012-12-22,8
2012-12-23 - 2012-12-29,8
2012-12-30 - 2013-01-05,8
2013-01-06 - 2013-01-12,8
2013-01-13 - 2013-01-19,7
2013-01-20 - 2013-01-26,7
2013-01-27 - 2013-02-02,7
2013-02-03 - 2013-02-09,6
2013-02-10 - 2013-02-16,6
2013-02-17 - 2013-02-23,6
2013-02-24 - 2013-03-02,6
2013-03-03 - 2013-03-09,6
2013-03-10 - 2013-03-16,6
2013-03-17 - 2013-03-23,5
2013-03-24 - 2013-03-30,5
2013-03-31 - 2013-04-06,5
2013-04-07 - 2013-04-13,5
2013-04-14 - 2013-04-20,5
2013-04-21 - 2013-04-27,5
2013-04-28 - 2013-05-04,5
2013-05-05 - 2013-05-11,5
2013-05-12 - 2013-05-18,7
2013-05-19 - 2013-05-25,9
2013-05-26 - 2013-06-01,6
2013-06-02 - 2013-06-08,6
2013-06-09 - 2013-06-15,8
2013-06-16 - 2013-06-22,12
2013-06-23 - 2013-06-29,8
2013-06-30 - 2013-07-06,7
2013-07-07 - 2013-07-13,7
2013-07-14 - 2013-07-20,6
2013-07-21 - 2013-07-27,6
2013-07-28 - 2013-08-03,6
2013-08-04 - 2013-08-10,5
2013-08-11 - 2013-08-17,6
2013-08-18 - 2013-08-24,7
2013-08-25 - 2013-08-31,8
2013-09-01 - 2013-09-07,6
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,6
2013-09-22 - 2013-09-28,8
2013-09-29 - 2013-10-05,7
2013-10-06 - 2013-10-12,8
2013-10-13 - 2013-10-19,6
2013-10-20 - 2013-10-26,7
2013-10-27 - 2013-11-02,6
2013-11-03 - 2013-11-09,6
2013-11-10 - 2013-11-16,6
2013-11-17 - 2013-11-23,14
2013-11-24 - 2013-11-30,21
2013-12-01 - 2013-12-07,11
2013-12-08 - 2013-12-14,9
2013-12-15 - 2013-12-21,8
2013-12-22 - 2013-12-28,7
2013-12-29 - 2014-01-04,6
2014-01-05 - 2014-01-11,6
2014-01-12 - 2014-01-18,6
2014-01-19 - 2014-01-25,5
2014-01-26 - 2014-02-01,5
2014-02-02 - 2014-02-08,5
2014-02-09 - 2014-02-15,6
2014-02-16 - 2014-02-22,7
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,5
2014-03-09 - 2014-03-15,5
2014-03-16 - 2014-03-22,5
2014-03-23 - 2014-03-29,5
2014-03-30 - 2014-04-05,4
2014-04-06 - 2014-04-12,5
2014-04-13 - 2014-04-19,5
2014-04-20 - 2014-04-26,5
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,5
2014-05-11 - 2014-05-17,5
2014-05-18 - 2014-05-24,5
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,5
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,5
2014-06-22 - 2014-06-28,4
2014-06-29 - 2014-07-05,4
2014-07-06 - 2014-07-12,4
2014-07-13 - 2014-07-19,4
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,4
2014-08-03 - 2014-08-09,4
2014-08-10 - 2014-08-16,4
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,4
2014-08-31 - 2014-09-06,5
2014-09-07 - 2014-09-13,5
2014-09-14 - 2014-09-20,5
2014-09-21 - 2014-09-27,4
2014-09-28 - 2014-10-04,4
2014-10-05 - 2014-10-11,4
2014-10-12 - 2014-10-18,4
2014-10-19 - 2014-10-25,4
2014-10-26 - 2014-11-01,4
2014-11-02 - 2014-11-08,4
2014-11-09 - 2014-11-15,4
2014-11-16 - 2014-11-22,4
2014-11-23 - 2014-11-29,4
2014-11-30 - 2014-12-06,4
2014-12-07 - 2014-12-13,4
2014-12-14 - 2014-12-20,4
2014-12-21 - 2014-12-27,3
2014-12-28 - 2015-01-03,5
2015-01-04 - 2015-01-10,6
2015-01-11 - 2015-01-17,4
2015-01-18 - 2015-01-24,4
2015-01-25 - 2015-01-31,5
2015-02-01 - 2015-02-07,5
2015-02-08 - 2015-02-14,14
2015-02-15 - 2015-02-21,8
2015-02-22 - 2015-02-28,8
2015-03-01 - 2015-03-07,8
2015-03-08 - 2015-03-14,7
2015-03-15 - 2015-03-21,6
2015-03-22 - 2015-03-28,5
2015-03-29 - 2015-04-04,5
2015-04-05 - 2015-04-11,5
2015-04-12 - 2015-04-18,5
2015-04-19 - 2015-04-25,5
2015-04-26 - 2015-05-02,5
2015-05-03 - 2015-05-09,5
2015-05-10 - 2015-05-16,5
2015-05-17 - 2015-05-23,6
2015-05-24 - 2015-05-30,4
2015-05-31 - 2015-06-06,4
2015-06-07 - 2015-06-13,4
2015-06-14 - 2015-06-20,4
2015-06-21 - 2015-06-27,4
2015-06-28 - 2015-07-04,4
2015-07-05 - 2015-07-11,4
2015-07-12 - 2015-07-18,3
2015-07-19 - 2015-07-25,3
2015-07-26 - 2015-08-01,4


Top sub-regions for kanye west
Sub-region,kanye west
New York,100
District of Columbia,87
Maryland,86
Rhode Island,86
New Jersey,83
Illinois,82
Connecticut,81
Massachusetts,81
Delaware,80
Pennsylvania,79
Georgia,78
Florida,75
Michigan,74
North Carolina,74
Ohio,73
Louisiana,72
South Carolina,71
Texas,69
Mississippi,68
California,68
Wisconsin,67
Arizona,66
Missouri,65
Indiana,65
New Hampshire,61
Minnesota,60
Nevada,60
Kentucky,60
Virginia,60
South Dakota,59
Alabama,59
Tennessee,58
Maine,57
New Mexico,57
Vermont,56
Iowa,56
Arkansas,56
Colorado,56
Kansas,54
Nebraska,54
Oklahoma,53
West Virginia,53
North Dakota,52
Hawaii,51
Washington,51
Wyoming,45
Oregon,45
Montana,45
Utah,44
Idaho,43
Alaska,41


Top metros for kanye west
Metro,kanye west
New York NY,100
Miami-Ft. Lauderdale FL,87
Philadelphia PA,86
Providence RI-New Bedford MA,86
Tallahassee FL-Thomasville GA,81
Norfolk-Portsmouth-Newport News VA,81
Chicago IL,81
Richmond-Petersburg VA,80
Boston MA-Manchester NH,79
Springfield-Holyoke MA,79
Hartford & New Haven CT,79
Baltimore MD,78
Atlanta GA,78
Los Angeles CA,76
New Orleans LA,76
Raleigh-Durham (Fayetteville) NC,75
Montgomery (Selma) AL,75
Rochester NY,74
Albany-Schenectady-Troy NY,74
Laredo TX,74
Columbia SC,73
Jackson MS,73
Detroit MI,73
Florence-Myrtle Beach SC,73
Milwaukee WI,73
Lansing MI,73
Columbia-Jefferson City MO,73
Syracuse NY,73
Columbus GA,72
Tucson (Sierra Vista) AZ,71
Binghamton NY,71
Beaumont-Port Arthur TX,71
Augusta GA,70
Baton Rouge LA,70
Mankato MN,70
Utica NY,70
Champaign & Springfield-Decatur IL,69
Buffalo NY,69
Houston TX,68
Wilmington NC,68
Columbus OH,68
Greenville-New Bern-Washington NC,68
Dayton OH,68
Greensboro-High Point-Winston Salem NC,68
Macon GA,67
Santa Barbara-Santa Maria-San Luis Obispo CA,67
Cleveland-Akron (Canton) OH,67
Charlotte NC,67
Salisbury MD,67
Savannah GA,67
Peoria-Bloomington IL,67
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,66
Gainesville FL,66
Memphis TN,66
St. Louis MO,66
San Diego CA,66
Youngstown OH,66
Palm Springs CA,66
Orlando-Daytona Beach-Melbourne FL,66
Watertown NY,65
Charleston SC,65
Phoenix AZ,65
Harrisburg-Lancaster-Lebanon-York PA,65
Grand Rapids-Kalamazoo-Battle Creek MI,65
Rockford IL,65
Wilkes Barre-Scranton PA,65
Pittsburgh PA,65
San Antonio TX,64
El Paso TX,64
Washington DC (Hagerstown MD),64
Cincinnati OH,63
Indianapolis IN,63
Johnstown-Altoona PA,63
Bakersfield CA,63
Madison WI,63
Dallas-Ft. Worth TX,63
Louisville KY,63
Albany GA,62
Shreveport LA,62
Sioux Falls(Mitchell) SD,62
Austin TX,62
Cheyenne WY-Scottsbluff NE,62
Fresno-Visalia CA,62
Tampa-St. Petersburg (Sarasota) FL,62
Minneapolis-St. Paul MN,62
Toledo OH,61
Charlottesville VA,61
Topeka KS,60
Waco-Temple-Bryan TX,60
Corpus Christi TX,60
West Palm Beach-Ft. Pierce FL,60
Lubbock TX,60
Birmingham AL,60
Lafayette IN,60
Marquette MI,59
Las Vegas NV,59
Burlington VT-Plattsburgh NY,59
Sacramento-Stockton-Modesto CA,59
Kansas City MO,59
Jacksonville FL,59
Terre Haute IN,58
Little Rock-Pine Bluff AR,58
Rapid City SD,58
Roanoke-Lynchburg VA,58
Bangor ME,58
Flint-Saginaw-Bay City MI,58
Biloxi-Gulfport MS,57
Panama City FL,57
Portland-Auburn ME,57
La Crosse-Eau Claire WI,56
Ft. Wayne IN,56
Oklahoma City OK,56
Monroe LA-El Dorado AR,56
Green Bay-Appleton WI,56
Davenport IA-Rock Island-Moline IL,55
Columbus-Tupelo-West Point MS,55
Mobile AL-Pensacola (Ft. Walton Beach) FL,55
Harrisonburg VA,55
Denver CO,55
Ft. Myers-Naples FL,54
Odessa-Midland TX,54
Monterey-Salinas CA,54
Tyler-Longview(Lufkin & Nacogdoches) TX,54
Huntsville-Decatur (Florence) AL,54
Lafayette LA,54
Omaha NE,54
Rochester MN-Mason City IA-Austin MN,54
Seattle-Tacoma WA,53
Albuquerque-Santa Fe NM,53
Abilene-Sweetwater TX,53
Nashville TN,53
South Bend-Elkhart IN,53
Greenville-Spartanburg SC-Asheville NC-Anderson SC,53
Duluth MN-Superior WI,53
Colorado Springs-Pueblo CO,52
Lexington KY,52
Chattanooga TN,52
Wichita-Hutchinson KS,52
Fargo-Valley City ND,52
Des Moines-Ames IA,52
Tri-Cities TN-VA,51
Honolulu HI,51
Ft. Smith-Fayetteville-Springdale-Rogers AR,51
Lincoln & Hastings-Kearney NE,50
Charleston-Huntington WV,50
Jackson TN,50
Sioux City IA,50
Erie PA,49
Reno NV,49
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,49
Amarillo TX,49
Medford-Klamath Falls OR,49
Harlingen-Weslaco-Brownsville-McAllen TX,49
Eugene OR,48
Traverse City-Cadillac MI,48
Yakima-Pasco-Richland-Kennewick WA,48
Wichita Falls TX & Lawton OK,48
Missoula MT,47
Bowling Green KY,47
Boise ID,46
Evansville IN,46
Salt Lake City UT,45
Knoxville TN,45
Spokane WA,45
Portland OR,44
Wausau-Rhinelander WI,44
Chico-Redding CA,44
Minot-Bismarck-Dickinson(Williston) ND,43
Springfield MO,42
San Francisco-Oakland-San Jose CA,41
Tulsa OK,40
Anchorage AK,37
Presque Isle ME,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Sherman TX-Ada OK,0
San Angelo TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for kanye west
Town/City,kanye west
New York,100
Philadelphia,89
Washington,79
Chicago,77
Los Angeles,76
Miami,74
Atlanta,73
Boston,70
Columbus,67
Houston,66
Charlotte,65
Irvine,65
San Antonio,64
St. Louis,64
Louisville,62



Top searches for kanye west
kanye west love,100
jay z,100
kanye west lights,95
lil wayne,95
drake,80
kanye west mercy,75
mercy,75
power kanye west,55
power,55
new kanye west,55
kanye west heartless,55
heartless,55
stronger kanye west,50
stronger,50
monster kanye west,50
monster,45
eminem,45
runaway kanye west,45
runaway,45
taylor swift,40
chris brown,40
rihanna,35
nicki minaj,35
kanye west otis,35
otis,30
beyonce,30
wiz khalifa,30
clique kanye west,30
kid cudi,30
clique,25
big sean,25
katy perry,25
kanye west live,25
kanye west amazing,25
amazing,25
rick ross,20
forever,20
kanye west vma,20
flashing lights,15
love lockdown,15
2 chainz,15
watch the throne,15
ham kanye west,15
ham,15
kanye west freestyle,15
homecoming kanye west,15
et kanye west,15
et,15
dark fantasy kanye,15
young jeezy,15



Rising searches for kanye west
drake,Breakout
heartless,Breakout
kanye west heartless,Breakout
kanye west mercy,Breakout
mercy,Breakout
power kanye west,+4,550%
monster kanye west,+4,150%
monster,+4,100%
power,+4,100%
jay z,+400%



