YouTube Search interest: daft punk
United States; Jan 2008 - Jul 2015

Interest over time
Week,daft punk
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,14
2014-06-01 - 2014-06-07,15
2014-06-08 - 2014-06-14,15
2014-06-15 - 2014-06-21,15
2014-06-22 - 2014-06-28,13
2014-06-29 - 2014-07-05,14
2014-07-06 - 2014-07-12,15
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,13
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,13
2014-08-31 - 2014-09-06,13
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,13
2014-09-21 - 2014-09-27,13
2014-09-28 - 2014-10-04,13
2014-10-05 - 2014-10-11,14
2014-10-12 - 2014-10-18,12
2014-10-19 - 2014-10-25,13
2014-10-26 - 2014-11-01,11
2014-11-02 - 2014-11-08,11
2014-11-09 - 2014-11-15,11
2014-11-16 - 2014-11-22,13
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,11
2014-12-07 - 2014-12-13,12
2014-12-14 - 2014-12-20,12
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,12
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,11
2015-01-18 - 2015-01-24,11
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,9
2015-02-08 - 2015-02-14,13
2015-02-15 - 2015-02-21,12
2015-02-22 - 2015-02-28,12
2015-03-01 - 2015-03-07,12
2015-03-08 - 2015-03-14,12
2015-03-15 - 2015-03-21,10
2015-03-22 - 2015-03-28,11
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,11
2015-04-12 - 2015-04-18,11
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,10
2015-05-03 - 2015-05-09,10
2015-05-10 - 2015-05-16,10
2015-05-17 - 2015-05-23,9
2015-05-24 - 2015-05-30,11
2015-05-31 - 2015-06-06,10
2015-06-07 - 2015-06-13,10
2015-06-14 - 2015-06-20,10
2015-06-21 - 2015-06-27,10
2015-06-28 - 2015-07-04,10
2015-07-05 - 2015-07-11,9
2015-07-12 - 2015-07-18,9
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,9


Top sub-regions for daft punk
Sub-region,daft punk
California,100
Colorado,99
Washington,90
New Mexico,89
Wyoming,86
Arizona,84
Oregon,84
Utah,83
Texas,83
Illinois,80
Nevada,79
Montana,78
New York,78
New Hampshire,78
Wisconsin,77
Idaho,77
Minnesota,77
Massachusetts,77
Florida,76
Alaska,75
Michigan,74
Vermont,74
Iowa,71
Oklahoma,71
Maine,70
North Dakota,70
Kansas,70
Indiana,70
Rhode Island,69
Connecticut,69
Ohio,69
South Dakota,69
Missouri,69
New Jersey,69
Pennsylvania,69
Maryland,68
Nebraska,66
District of Columbia,65
Hawaii,65
Tennessee,63
Delaware,62
Virginia,62
North Carolina,61
Kentucky,59
Arkansas,58
West Virginia,57
Georgia,57
South Carolina,57
Louisiana,53
Alabama,53
Mississippi,47


Top metros for daft punk
Metro,daft punk
El Paso TX,100
San Diego CA,77
Santa Barbara-Santa Maria-San Luis Obispo CA,75
Denver CO,75
Austin TX,72
Monterey-Salinas CA,72
Madison WI,68
Los Angeles CA,68
Albuquerque-Santa Fe NM,66
Salt Lake City UT,65
Harlingen-Weslaco-Brownsville-McAllen TX,63
Seattle-Tacoma WA,63
Reno NV,60
Eugene OR,59
Phoenix AZ,58
Sacramento-Stockton-Modesto CA,57
Tucson (Sierra Vista) AZ,57
San Antonio TX,56
Las Vegas NV,55
Champaign & Springfield-Decatur IL,55
Syracuse NY,54
Boston MA-Manchester NH,54
Portland OR,53
Burlington VT-Plattsburgh NY,53
Boise ID,53
San Francisco-Oakland-San Jose CA,53
Orlando-Daytona Beach-Melbourne FL,53
Spokane WA,53
Chicago IL,52
Dallas-Ft. Worth TX,52
New York NY,52
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,51
Miami-Ft. Lauderdale FL,51
Dayton OH,51
Johnstown-Altoona PA,50
Milwaukee WI,50
Grand Rapids-Kalamazoo-Battle Creek MI,50
Springfield-Holyoke MA,49
Detroit MI,49
Pittsburgh PA,49
Roanoke-Lynchburg VA,48
Fresno-Visalia CA,48
Colorado Springs-Pueblo CO,48
Des Moines-Ames IA,48
Minneapolis-St. Paul MN,48
Portland-Auburn ME,47
Honolulu HI,47
Rochester NY,47
Savannah GA,47
Green Bay-Appleton WI,47
Albany-Schenectady-Troy NY,47
Nashville TN,47
Houston TX,47
Kansas City MO,46
Oklahoma City OK,46
Mobile AL-Pensacola (Ft. Walton Beach) FL,46
Omaha NE,46
Columbus OH,46
Baltimore MD,46
Wichita-Hutchinson KS,45
Cincinnati OH,45
Buffalo NY,45
St. Louis MO,45
Hartford & New Haven CT,45
Tampa-St. Petersburg (Sarasota) FL,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,45
Indianapolis IN,45
Waco-Temple-Bryan TX,44
Providence RI-New Bedford MA,44
Philadelphia PA,44
Jacksonville FL,43
Cleveland-Akron (Canton) OH,43
Norfolk-Portsmouth-Newport News VA,43
Washington DC (Hagerstown MD),43
Flint-Saginaw-Bay City MI,42
Lexington KY,42
Tulsa OK,42
Raleigh-Durham (Fayetteville) NC,41
Columbia SC,41
Atlanta GA,41
Wilkes Barre-Scranton PA,41
Charlotte NC,41
Harrisburg-Lancaster-Lebanon-York PA,41
Knoxville TN,41
West Palm Beach-Ft. Pierce FL,40
Richmond-Petersburg VA,40
Little Rock-Pine Bluff AR,39
Memphis TN,39
Louisville KY,37
New Orleans LA,37
Greensboro-High Point-Winston Salem NC,34
Birmingham AL,34
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for daft punk
Town/City,daft punk
El Paso,100
Los Angeles,90
San Diego,80
Austin,80
Denver,78
Irvine,70
Portland,70
Seattle,68
New York,67
San Antonio,65
San Francisco,63
San Jose,60
Minneapolis,59
Phoenix,59
Boston,58



Top searches for daft punk
daft punk lucky,100
get lucky,95
daft punk stronger,65
stronger,65
daft punk harder,55
around the world,45
one more time,35
daft punk remix,30
daft punk technologic,25
technologic,25
daft punk dance,25
daft punk live,20
derezzed daft punk,15
daft punk pentatonix,15
tron,15
derezzed,15
tron daft punk,15
pentatonix,15
random access memories,10
digital love,10
robot rock,10
daft punk alive,10
daft punk album,10
deadmau5,10
pharrell,10
pharrell daft punk,10
aerodynamic daft punk,10
aerodynamic,10
new daft punk,10
daft punk dubstep,10
something about us,10
stronger kanye west,5
blurred lines,5
daft punk cover,5
robin thicke,5
da funk,5
daft punk grammys,5
face to face,5
daft hands,5
daft punk hands,5
tron soundtrack,5
daft punk touch,5
daft punk girls,5
daft punk movie,5
human after all,5
dj hero,5
daft punk interview,5



Rising searches for daft punk
daft punk lucky,Breakout
daft punk pentatonix,Breakout
derezzed,Breakout
derezzed daft punk,Breakout
get lucky,Breakout
pentatonix,Breakout
random access memories,Breakout
tron,Breakout
tron daft punk,Breakout
daft punk remix,+190%



