YouTube Search interest: gwen stefani
United States; Jan 2008 - Jul 2015

Interest over time
Week,gwen stefani
2009-05-10 - 2009-05-16,90
2009-05-17 - 2009-05-23,85
2009-05-24 - 2009-05-30,74
2009-05-31 - 2009-06-06,82
2009-06-07 - 2009-06-13,81
2009-06-14 - 2009-06-20,74
2009-06-21 - 2009-06-27,63
2009-06-28 - 2009-07-04,63
2009-07-05 - 2009-07-11,73
2009-07-12 - 2009-07-18,66
2009-07-19 - 2009-07-25,64
2009-07-26 - 2009-08-01,65
2009-08-02 - 2009-08-08,71
2009-08-09 - 2009-08-15,67
2009-08-16 - 2009-08-22,70
2009-08-23 - 2009-08-29,65
2009-08-30 - 2009-09-05,61
2009-09-06 - 2009-09-12,72
2009-09-13 - 2009-09-19,66
2009-09-20 - 2009-09-26,66
2009-09-27 - 2009-10-03,63
2009-10-04 - 2009-10-10,65
2009-10-11 - 2009-10-17,64
2009-10-18 - 2009-10-24,71
2009-10-25 - 2009-10-31,70
2009-11-01 - 2009-11-07,63
2009-11-08 - 2009-11-14,68
2009-11-15 - 2009-11-21,61
2009-11-22 - 2009-11-28,62
2009-11-29 - 2009-12-05,66
2009-12-06 - 2009-12-12,63
2009-12-13 - 2009-12-19,62
2009-12-20 - 2009-12-26,68
2009-12-27 - 2010-01-02,66
2010-01-03 - 2010-01-09,57
2010-01-10 - 2010-01-16,58
2010-01-17 - 2010-01-23,61
2010-01-24 - 2010-01-30,61
2010-01-31 - 2010-02-06,68
2010-02-07 - 2010-02-13,76
2010-02-14 - 2010-02-20,67
2010-02-21 - 2010-02-27,62
2010-02-28 - 2010-03-06,72
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,69
2010-03-21 - 2010-03-27,56
2010-03-28 - 2010-04-03,61
2010-04-04 - 2010-04-10,52
2010-04-11 - 2010-04-17,66
2010-04-18 - 2010-04-24,73
2010-04-25 - 2010-05-01,65
2010-05-02 - 2010-05-08,78
2010-05-09 - 2010-05-15,67
2010-05-16 - 2010-05-22,65
2010-05-23 - 2010-05-29,57
2010-05-30 - 2010-06-05,62
2010-06-06 - 2010-06-12,55
2010-06-13 - 2010-06-19,69
2010-06-20 - 2010-06-26,60
2010-06-27 - 2010-07-03,58
2010-07-04 - 2010-07-10,60
2010-07-11 - 2010-07-17,62
2010-07-18 - 2010-07-24,58
2010-07-25 - 2010-07-31,68
2010-08-01 - 2010-08-07,60
2010-08-08 - 2010-08-14,57
2010-08-15 - 2010-08-21,54
2010-08-22 - 2010-08-28,52
2010-08-29 - 2010-09-04,58
2010-09-05 - 2010-09-11,56
2010-09-12 - 2010-09-18,57
2010-09-19 - 2010-09-25,54
2010-09-26 - 2010-10-02,55
2010-10-03 - 2010-10-09,53
2010-10-10 - 2010-10-16,58
2010-10-17 - 2010-10-23,59
2010-10-24 - 2010-10-30,56
2010-10-31 - 2010-11-06,63
2010-11-07 - 2010-11-13,62
2010-11-14 - 2010-11-20,50
2010-11-21 - 2010-11-27,55
2010-11-28 - 2010-12-04,52
2010-12-05 - 2010-12-11,53
2010-12-12 - 2010-12-18,53
2010-12-19 - 2010-12-25,51
2010-12-26 - 2011-01-01,56
2011-01-02 - 2011-01-08,58
2011-01-09 - 2011-01-15,58
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,59
2011-01-30 - 2011-02-05,64
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,70
2011-02-20 - 2011-02-26,70
2011-02-27 - 2011-03-05,63
2011-03-06 - 2011-03-12,69
2011-03-13 - 2011-03-19,74
2011-03-20 - 2011-03-26,71
2011-03-27 - 2011-04-02,68
2011-04-03 - 2011-04-09,65
2011-04-10 - 2011-04-16,62
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,71
2011-05-01 - 2011-05-07,69
2011-05-08 - 2011-05-14,66
2011-05-15 - 2011-05-21,62
2011-05-22 - 2011-05-28,60
2011-05-29 - 2011-06-04,63
2011-06-05 - 2011-06-11,67
2011-06-12 - 2011-06-18,66
2011-06-19 - 2011-06-25,61
2011-06-26 - 2011-07-02,57
2011-07-03 - 2011-07-09,57
2011-07-10 - 2011-07-16,50
2011-07-17 - 2011-07-23,59
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,63
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,55
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,55
2011-09-04 - 2011-09-10,50
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,53
2011-09-25 - 2011-10-01,49
2011-10-02 - 2011-10-08,64
2011-10-09 - 2011-10-15,65
2011-10-16 - 2011-10-22,57
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,56
2011-11-06 - 2011-11-12,62
2011-11-13 - 2011-11-19,58
2011-11-20 - 2011-11-26,56
2011-11-27 - 2011-12-03,52
2011-12-04 - 2011-12-10,51
2011-12-11 - 2011-12-17,50
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,49
2012-01-01 - 2012-01-07,52
2012-01-08 - 2012-01-14,56
2012-01-15 - 2012-01-21,56
2012-01-22 - 2012-01-28,55
2012-01-29 - 2012-02-04,51
2012-02-05 - 2012-02-11,53
2012-02-12 - 2012-02-18,57
2012-02-19 - 2012-02-25,52
2012-02-26 - 2012-03-03,52
2012-03-04 - 2012-03-10,52
2012-03-11 - 2012-03-17,49
2012-03-18 - 2012-03-24,47
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,51
2012-04-08 - 2012-04-14,49
2012-04-15 - 2012-04-21,51
2012-04-22 - 2012-04-28,46
2012-04-29 - 2012-05-05,47
2012-05-06 - 2012-05-12,48
2012-05-13 - 2012-05-19,47
2012-05-20 - 2012-05-26,40
2012-05-27 - 2012-06-02,44
2012-06-03 - 2012-06-09,39
2012-06-10 - 2012-06-16,42
2012-06-17 - 2012-06-23,41
2012-06-24 - 2012-06-30,44
2012-07-01 - 2012-07-07,42
2012-07-08 - 2012-07-14,47
2012-07-15 - 2012-07-21,63
2012-07-22 - 2012-07-28,61
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,51
2012-08-19 - 2012-08-25,49
2012-08-26 - 2012-09-01,42
2012-09-02 - 2012-09-08,42
2012-09-09 - 2012-09-15,42
2012-09-16 - 2012-09-22,43
2012-09-23 - 2012-09-29,67
2012-09-30 - 2012-10-06,52
2012-10-07 - 2012-10-13,50
2012-10-14 - 2012-10-20,40
2012-10-21 - 2012-10-27,38
2012-10-28 - 2012-11-03,44
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,38
2012-11-25 - 2012-12-01,36
2012-12-02 - 2012-12-08,34
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,33
2012-12-23 - 2012-12-29,39
2012-12-30 - 2013-01-05,35
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,37
2013-01-27 - 2013-02-02,35
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,36
2013-02-17 - 2013-02-23,38
2013-02-24 - 2013-03-02,35
2013-03-03 - 2013-03-09,33
2013-03-10 - 2013-03-16,33
2013-03-17 - 2013-03-23,30
2013-03-24 - 2013-03-30,29
2013-03-31 - 2013-04-06,31
2013-04-07 - 2013-04-13,32
2013-04-14 - 2013-04-20,27
2013-04-21 - 2013-04-27,33
2013-04-28 - 2013-05-04,32
2013-05-05 - 2013-05-11,35
2013-05-12 - 2013-05-18,36
2013-05-19 - 2013-05-25,29
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,30
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,34
2013-06-23 - 2013-06-29,32
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,32
2013-07-14 - 2013-07-20,30
2013-07-21 - 2013-07-27,30
2013-07-28 - 2013-08-03,29
2013-08-04 - 2013-08-10,29
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,28
2013-09-01 - 2013-09-07,29
2013-09-08 - 2013-09-14,26
2013-09-15 - 2013-09-21,28
2013-09-22 - 2013-09-28,33
2013-09-29 - 2013-10-05,27
2013-10-06 - 2013-10-12,30
2013-10-13 - 2013-10-19,25
2013-10-20 - 2013-10-26,33
2013-10-27 - 2013-11-02,30
2013-11-03 - 2013-11-09,32
2013-11-10 - 2013-11-16,29
2013-11-17 - 2013-11-23,31
2013-11-24 - 2013-11-30,30
2013-12-01 - 2013-12-07,30
2013-12-08 - 2013-12-14,30
2013-12-15 - 2013-12-21,24
2013-12-22 - 2013-12-28,22
2013-12-29 - 2014-01-04,24
2014-01-05 - 2014-01-11,29
2014-01-12 - 2014-01-18,27
2014-01-19 - 2014-01-25,30
2014-01-26 - 2014-02-01,30
2014-02-02 - 2014-02-08,27
2014-02-09 - 2014-02-15,30
2014-02-16 - 2014-02-22,29
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,28
2014-03-09 - 2014-03-15,29
2014-03-16 - 2014-03-22,31
2014-03-23 - 2014-03-29,31
2014-03-30 - 2014-04-05,24
2014-04-06 - 2014-04-12,24
2014-04-13 - 2014-04-19,39
2014-04-20 - 2014-04-26,44
2014-04-27 - 2014-05-03,35
2014-05-04 - 2014-05-10,42
2014-05-11 - 2014-05-17,33
2014-05-18 - 2014-05-24,28
2014-05-25 - 2014-05-31,27
2014-06-01 - 2014-06-07,34
2014-06-08 - 2014-06-14,28
2014-06-15 - 2014-06-21,31
2014-06-22 - 2014-06-28,33
2014-06-29 - 2014-07-05,36
2014-07-06 - 2014-07-12,40
2014-07-13 - 2014-07-19,32
2014-07-20 - 2014-07-26,32
2014-07-27 - 2014-08-02,36
2014-08-03 - 2014-08-09,36
2014-08-10 - 2014-08-16,32
2014-08-17 - 2014-08-23,39
2014-08-24 - 2014-08-30,50
2014-08-31 - 2014-09-06,59
2014-09-07 - 2014-09-13,41
2014-09-14 - 2014-09-20,89
2014-09-21 - 2014-09-27,88
2014-09-28 - 2014-10-04,76
2014-10-05 - 2014-10-11,80
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,86
2014-10-26 - 2014-11-01,62
2014-11-02 - 2014-11-08,70
2014-11-09 - 2014-11-15,57
2014-11-16 - 2014-11-22,52
2014-11-23 - 2014-11-29,54
2014-11-30 - 2014-12-06,74
2014-12-07 - 2014-12-13,66
2014-12-14 - 2014-12-20,64
2014-12-21 - 2014-12-27,56
2014-12-28 - 2015-01-03,48
2015-01-04 - 2015-01-10,41
2015-01-11 - 2015-01-17,40
2015-01-18 - 2015-01-24,33
2015-01-25 - 2015-01-31,41
2015-02-01 - 2015-02-07,54
2015-02-08 - 2015-02-14,70
2015-02-15 - 2015-02-21,42
2015-02-22 - 2015-02-28,37
2015-03-01 - 2015-03-07,40
2015-03-08 - 2015-03-14,29
2015-03-15 - 2015-03-21,35
2015-03-22 - 2015-03-28,33
2015-03-29 - 2015-04-04,35
2015-04-05 - 2015-04-11,33
2015-04-12 - 2015-04-18,30
2015-04-19 - 2015-04-25,28
2015-04-26 - 2015-05-02,29
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,29
2015-05-24 - 2015-05-30,26
2015-05-31 - 2015-06-06,25
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,24
2015-06-21 - 2015-06-27,26
2015-06-28 - 2015-07-04,24
2015-07-05 - 2015-07-11,33
2015-07-12 - 2015-07-18,26
2015-07-19 - 2015-07-25,31
2015-07-26 - 2015-08-01,26


Top sub-regions for gwen stefani
Sub-region,gwen stefani
New Mexico,100
California,98
Arizona,89
Nevada,83
Hawaii,82
Texas,78
Colorado,76
Wyoming,76
Utah,76
District of Columbia,73
New York,73
Virginia,72
Ohio,71
South Dakota,71
Idaho,70
Montana,69
Washington,69
Florida,68
Oklahoma,68
Missouri,67
Wisconsin,67
North Dakota,66
North Carolina,65
South Carolina,65
Connecticut,65
Maryland,65
Pennsylvania,64
Kansas,64
Kentucky,64
Nebraska,64
Michigan,63
Arkansas,63
New Jersey,63
Minnesota,62
Massachusetts,62
Illinois,62
Alaska,62
Georgia,61
Rhode Island,61
Indiana,61
Oregon,60
Delaware,59
Iowa,59
Tennessee,58
Maine,58
Louisiana,58
New Hampshire,58
Alabama,58
Mississippi,56
West Virginia,55
Vermont,54


Top metros for gwen stefani
Metro,gwen stefani
Los Angeles CA,100
Phoenix AZ,82
San Antonio TX,79
Las Vegas NV,77
Denver CO,76
San Diego CA,73
San Francisco-Oakland-San Jose CA,72
Austin TX,70
Salt Lake City UT,66
Washington DC (Hagerstown MD),66
Dallas-Ft. Worth TX,66
Houston TX,65
Seattle-Tacoma WA,64
Sacramento-Stockton-Modesto CA,64
Philadelphia PA,63
New York NY,63
Baltimore MD,63
Pittsburgh PA,62
Cleveland-Akron (Canton) OH,62
Columbus OH,60
Detroit MI,60
Tampa-St. Petersburg (Sarasota) FL,59
Hartford & New Haven CT,58
Miami-Ft. Lauderdale FL,58
Chicago IL,56
Boston MA-Manchester NH,55
Kansas City MO,55
St. Louis MO,55
Minneapolis-St. Paul MN,54
Atlanta GA,54
Raleigh-Durham (Fayetteville) NC,54
Charlotte NC,51
Orlando-Daytona Beach-Melbourne FL,47
Portland OR,47
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for gwen stefani
Town/City,gwen stefani
Irvine,100
Los Angeles,95
Phoenix,77
Albuquerque,77
San Antonio,73
Richardson,72
Las Vegas,71
San Diego,70
Milpitas,68
Sterling,65
San Francisco,64
Houston,64
Pleasanton,64
Miami,62
Denver,61



Top searches for gwen stefani
gwen stefani lyrics,100
gwen stefani hollaback,80
gwen stefani cool,70
cool,65
sweet escape,60
no doubt,40
luxurious gwen stefani,40
wind it up,30
eve gwen stefani,25
eve,25
bananas,20
gwen stefani bananas,20
the sweet escape,20
gwen stefani live,20
rich girl,15
hollaback girl,15
gwen stefani akon,10
gwen stefani harajuku,10
moby,10
gwen stefani yummy,5
hollaback girl-gwen stefani,5
gwen stefani winter,5
underneath it all,5
banana gwen stefani,5
crash gwen stefani,5
gwen stefani interview,5



Rising searches for gwen stefani
gwen stefani lyrics,+950%
luxurious gwen stefani,+750%
gwen stefani bananas,+400%
gwen stefani hollaback,+400%
bananas,+350%
gwen stefani cool,+350%
cool,+300%
eve gwen stefani,+200%
eve,+160%
sweet escape,+140%



