id,type,title,short_title,score,url,time_tbd,date_tbd,datetime_local,datetime_utc,created_at,query_performer,num_performers,performer_ids,performer_slugs,venue_id,venue_slug,listing_count,average_price,lowest_price_good_deals,lowest_price,highest_price
2613215,music_festival,"Barrels and Boots Music Festival with Montgomery Gentry, John Michael Montgomery, Craig Campbell","Barrels and Boots Music Festival with Montgomery Gentry, John Michael Montgomery, Craig Campbell",0.6276,https://seatgeek.com/barrels-and-boots-music-festival-with-montgomery-gentry-john-michael-montgomery-craig-campbell-tickets/louisville-kentucky-freedom-hall-2015-08-21-5-pm/music-festival/2613215/,False,False,2015-08-21T17:00:00,2015-08-21T21:00:00,2015-05-16T00:00:00,61260,6,"[106, 979, 16119, 16364, 61260, 310534]","[106, 979, 16119, 16364, 61260, 310534]",109,freedom-hall,169,80.0,,55.0,567.0
2499786,concert,Country Megaticket: Rascal Flatts with Ashley Monroe and RaeLynn and Scotty McCreery,Country Megaticket: Rascal Flatts with Ashley Monroe and RaeLynn and Scotty McCreery,0.70624,https://seatgeek.com/country-megaticket-rascal-flatts-with-ashley-monroe-and-raelynn-and-scotty-mccreery-tickets/toronto-molson-canadian-amphitheatre-2015-08-27-7-30-pm/concert/2499786/,False,False,2015-08-27T19:30:00,2015-08-27T23:30:00,2015-01-31T00:00:00,61260,5,"[1498, 4286, 10439, 61260, 111567]","[1498, 4286, 10439, 61260, 111567]",138,molson-canadian-amphitheatre,454,139.0,52.0,52.0,1105.0
2596439,music_festival,"Riot Fest (3 Day Pass) with Modest Mouse, Snoop Dogg, Pixies","Riot Fest (3 Day Pass) with Modest Mouse, Snoop Dogg, Pixies",0.56897,https://seatgeek.com/riot-fest-3-day-pass-with-modest-mouse-snoop-dogg-pixies-tickets/denver-colorado-national-western-complex-2015-08-28-3-30-am/music-festival/2596439/,True,False,2015-08-28T03:30:00,2015-08-28T09:30:00,2015-04-25T00:00:00,1364,63,"[80, 150, 176, 264, 311, 480, 485, 488, 526, 567, 665, 714, 741, 826, 872, 1103, 1256, 1262, 1272, 1288, 1311, 1364, 1491, 1528, 1753, 1759, 1790, 1794, 1810, 1872, 2560, 2692, 4150, 4335, 4523, 4663, 4746, 6256, 7014, 7729, 10199, 11221, 12844, 12925, 16228, 16299, 16712, 16943, 17153, 19242, 21313, 23983, 34131, 93822, 93993, 162537, 250287, 262356, 266022, 270324, 289663, 296749, 297601]","[80, 150, 176, 264, 311, 480, 485, 488, 526, 567, 665, 714, 741, 826, 872, 1103, 1256, 1262, 1272, 1288, 1311, 1364, 1491, 1528, 1753, 1759, 1790, 1794, 1810, 1872, 2560, 2692, 4150, 4335, 4523, 4663, 4746, 6256, 7014, 7729, 10199, 11221, 12844, 12925, 16228, 16299, 16712, 16943, 17153, 19242, 21313, 23983, 34131, 93822, 93993, 162537, 250287, 262356, 266022, 270324, 289663, 296749, 297601]",5865,national-western-complex,30,177.0,,147.0,299.0
2417829,music_festival,"Riot Fest (3 Day Pass) with Modest Mouse, Snoop Dogg, No Doubt","Riot Fest (3 Day Pass) with Modest Mouse, Snoop Dogg, No Doubt",0.62494,https://seatgeek.com/riot-fest-3-day-pass-with-modest-mouse-snoop-dogg-no-doubt-tickets/chicago-illinois-douglas-park-1-2015-09-11-1-pm/music-festival/2417829/,False,False,2015-09-11T13:00:00,2015-09-11T18:00:00,2014-11-28T00:00:00,1364,84,"[59, 80, 90, 111, 112, 147, 150, 171, 176, 264, 485, 526, 567, 665, 710, 741, 826, 872, 1050, 1103, 1126, 1179, 1230, 1233, 1262, 1272, 1288, 1364, 1418, 1491, 1555, 1753, 1762, 1790, 1794, 1797, 1803, 1901, 2254, 2265, 2356, 2368, 2375, 2507, 2692, 4150, 4270, 4335, 4368, 4523, 4663, 4685, 4767, 5982, 6092, 6256, 7014, 7285, 7729, 9391, 9985, 10199, 10693, 10818, 12844, 12925, 15113, 15176, 16299, 16712, 16943, 17504, 19242, 27227, 28040, 35046, 37840, 93993, 106527, 262036, 265339, 276657, 296749, 297601]","[59, 80, 90, 111, 112, 147, 150, 171, 176, 264, 485, 526, 567, 665, 710, 741, 826, 872, 1050, 1103, 1126, 1179, 1230, 1233, 1262, 1272, 1288, 1364, 1418, 1491, 1555, 1753, 1762, 1790, 1794, 1797, 1803, 1901, 2254, 2265, 2356, 2368, 2375, 2507, 2692, 4150, 4270, 4335, 4368, 4523, 4663, 4685, 4767, 5982, 6092, 6256, 7014, 7285, 7729, 9391, 9985, 10199, 10693, 10818, 12844, 12925, 15113, 15176, 16299, 16712, 16943, 17504, 19242, 27227, 28040, 35046, 37840, 93993, 106527, 262036, 265339, 276657, 296749, 297601]",54728,douglas-park-1,117,209.0,,158.0,1263.0
2508023,music_festival,"KAABOO Music Festival (3 Day Pass) with The Killers, Snoop Dogg, No Doubt","KAABOO Music Festival (3 Day Pass) with The Killers, Snoop Dogg, No Doubt",0.52789,https://seatgeek.com/kaaboo-music-festival-3-day-pass-with-the-killers-snoop-dogg-no-doubt-tickets/del-mar-california-del-mar-fairgrounds-2015-09-18-3-30-am/music-festival/2508023/,True,False,2015-09-18T03:30:00,2015-09-18T10:30:00,2015-02-10T00:00:00,1364,82,"[46, 58, 59, 61, 76, 80, 100, 111, 113, 275, 363, 612, 630, 791, 810, 958, 1154, 1244, 1355, 1364, 1383, 1555, 1557, 1669, 1858, 1948, 2047, 2541, 2741, 4117, 4360, 4368, 4712, 5414, 6023, 7035, 7104, 7316, 7723, 8741, 8947, 9051, 9941, 10022, 11855, 12021, 12483, 13899, 14129, 14147, 14374, 14496, 16187, 16200, 16539, 16754, 17001, 17819, 19513, 19721, 20491, 20576, 26654, 31939, 33089, 34067, 47824, 62195, 77625, 87273, 106990, 113692, 168401, 187417, 249722, 255685, 268095, 287518, 293014, 304022, 305376, 305913]","[46, 58, 59, 61, 76, 80, 100, 111, 113, 275, 363, 612, 630, 791, 810, 958, 1154, 1244, 1355, 1364, 1383, 1555, 1557, 1669, 1858, 1948, 2047, 2541, 2741, 4117, 4360, 4368, 4712, 5414, 6023, 7035, 7104, 7316, 7723, 8741, 8947, 9051, 9941, 10022, 11855, 12021, 12483, 13899, 14129, 14147, 14374, 14496, 16187, 16200, 16539, 16754, 17001, 17819, 19513, 19721, 20491, 20576, 26654, 31939, 33089, 34067, 47824, 62195, 77625, 87273, 106990, 113692, 168401, 187417, 249722, 255685, 268095, 287518, 293014, 304022, 305376, 305913]",4065,del-mar-fairgrounds,12,447.0,404.0,404.0,511.0
2544337,concert,No Doubt with The Revivalists and Zac Brown Band and Los Lobos and Tribal Seeds,No Doubt with The Revivalists and Zac Brown Band and Los Lobos and Tribal Seeds,0.63695,https://seatgeek.com/no-doubt-with-the-revivalists-and-zac-brown-band-and-los-lobos-and-tribal-seeds-tickets/del-mar-california-del-mar-fairgrounds-2015-09-18-10-am/concert/2544337/,False,False,2015-09-18T10:00:00,2015-09-18T17:00:00,2015-03-06T00:00:00,1364,60,"[46, 58, 59, 61, 76, 80, 100, 111, 363, 630, 791, 958, 1154, 1244, 1355, 1364, 1383, 1555, 1557, 1669, 1858, 2047, 2541, 2741, 4117, 4360, 4368, 4712, 6023, 7035, 7104, 7316, 7723, 8741, 8947, 9051, 9941, 10022, 11855, 12021, 12483, 13899, 14147, 14374, 16200, 16754, 19513, 20491, 20576, 22306, 22427, 26654, 31939, 33089, 34067, 77625, 113692, 168401, 187417, 246296]","[46, 58, 59, 61, 76, 80, 100, 111, 363, 630, 791, 958, 1154, 1244, 1355, 1364, 1383, 1555, 1557, 1669, 1858, 2047, 2541, 2741, 4117, 4360, 4368, 4712, 6023, 7035, 7104, 7316, 7723, 8741, 8947, 9051, 9941, 10022, 11855, 12021, 12483, 13899, 14147, 14374, 16200, 16754, 19513, 20491, 20576, 22306, 22427, 26654, 31939, 33089, 34067, 77625, 113692, 168401, 187417, 246296]",4065,del-mar-fairgrounds,,,,,
2669014,concert,Matt McAndrew,Matt McAndrew,0.38908,https://seatgeek.com/matt-mcandrew-tickets/new-york-new-york-mercury-lounge-2015-08-03-6-30-pm/concert/2669014/,False,False,2015-08-03T18:30:00,2015-08-03T22:30:00,2015-06-27T00:00:00,298980,1,[298980],[298980],327,mercury-lounge,0,,,,
2673932,concert,Matt McAndrew,Matt McAndrew,0.46811,https://seatgeek.com/matt-mcandrew-tickets/philadelphia-pennsylvania-world-cafe-live-2015-08-06-8-pm/concert/2673932/,False,False,2015-08-06T20:00:00,2015-08-07T00:00:00,2015-06-29T00:00:00,298980,1,[298980],[298980],1459,world-cafe-live,8,218.0,,55.0,550.0
2685178,concert,Matt McAndrew,Matt McAndrew,0.43332,https://seatgeek.com/matt-mcandrew-tickets/west-hollywood-california-the-roxy-theatre-2015-08-25-8-pm/concert/2685178/,False,False,2015-08-25T20:00:00,2015-08-26T03:00:00,2015-07-11T00:00:00,298980,1,[298980],[298980],973,the-roxy-theatre,0,,,,
2572149,concert,Josh Turner with Craig Wayne Boyd and Dustin Lynch,Josh Turner with Craig Wayne Boyd and Dustin Lynch,0.54531,https://seatgeek.com/josh-turner-with-craig-wayne-boyd-and-dustin-lynch-tickets/harrington-delaware-delaware-state-fair-2015-07-29-7-30-pm/concert/2572149/,False,False,2015-07-29T19:30:00,2015-07-29T23:30:00,2015-03-28T00:00:00,115067,3,"[1003, 18379, 115067]","[1003, 18379, 115067]",675,delaware-state-fair,48,142.85,68,68,427
