id,name,country,city,state,extended_address,url,display_location,score,postal_code,address,timezone,slug,event_count,lat,lon
992,Soaring Eagle Casino & Resort,US,Mount Pleasant,MI,"Mount Pleasant, MI 48858",https://seatgeek.com/venues/soaring-eagle-casino-resort/tickets/,"Mount Pleasant, MI",0.58657,48858,6800 Soaring Eagle Boulevard,America/Detroit,soaring-eagle-casino-resort,8,43.608,-84.7122
68,Blossom Music Center,US,Cuyahoga Falls,OH,"Cuyahoga Falls, OH 44223",https://seatgeek.com/venues/blossom-music-center/tickets/,"Cuyahoga Falls, OH",0.74572,44223,1145 West Steels Corners Road,America/New_York,blossom-music-center,16,41.1913,-81.5608
86,Riverbend Music Center,US,Cincinnati,OH,"Cincinnati, OH 45230",https://seatgeek.com/venues/riverbend-music-center/tickets/,"Cincinnati, OH",0.74419,45230,6295 Kellogg Avenue,America/New_York,riverbend-music-center,19,39.0546,-84.414
67,DTE Energy Music Theatre,US,Clarkston,MI,"Clarkston, MI 48348",https://seatgeek.com/venues/dte-energy-music-theatre/tickets/,"Clarkston, MI",0.74992,48348,7774 Sashabaw Road,America/Detroit,dte-energy-music-theatre,31,42.7468,-83.3801
69,Klipsch Music Center,US,Noblesville,IN,"Noblesville, IN 46060",https://seatgeek.com/venues/klipsch-music-center/tickets/,"Noblesville, IN",0.74437,46060,12880 E 146th St,America/Indiana/Indianapolis,klipsch-music-center,21,40.0014,-85.9365
82,Hollywood Casino Amphitheatre,US,Tinley Park,IL,"Tinley Park, IL 60477",https://seatgeek.com/venues/hollywood-casino-amphitheatre-1/tickets/,"Tinley Park, IL",0.80434,60477,19100 RIDGELAND AVE,America/Chicago,hollywood-casino-amphitheatre-1,21,41.5439,-87.7758
56,Hollywood Casino Amphitheatre,US,Maryland Heights,MO,"Maryland Heights, MO 63043",https://seatgeek.com/venues/hollywood-casino-amphitheatre/tickets/,"Maryland Heights, MO",0.73875,63043,14141 Riverport Dr,America/Chicago,hollywood-casino-amphitheatre,25,38.7456,-90.47
432,Croke Park,Ireland,Dublin,Dublin,"Dublin, Ireland",https://seatgeek.com/venues/croke-park/tickets/,"Dublin, Ireland",0.69092,3,3 Jones's Road,Europe/Dublin,croke-park,2,53.3607,-6.25121
7392,BBVA Compass Stadium,US,Houston,TX,"Houston, TX 77003",https://seatgeek.com/venues/bbva-compass-stadium/tickets/,"Houston, TX",0.68555,77003,2200 Texas St.,America/Chicago,bbva-compass-stadium,19,29.7536,-95.3518
3576,Toyota Stadium,US,Frisco,TX,"Frisco, TX 75034",https://seatgeek.com/venues/toyota-stadium-1/tickets/,"Frisco, TX",0.70569,75034,9200 World Cup Way,America/Chicago,toyota-stadium-1,9,33.1541,-96.8377
2652,Amway Center,US,Orlando,FL,"Orlando, FL 32801",https://seatgeek.com/venues/amway-center/tickets/,"Orlando, FL",0.76232,32801,400 West Church Street,America/New_York,amway-center,17,28.5402,-81.3839
183,American Airlines Arena,US,Miami,FL,"Miami, FL 33132",https://seatgeek.com/venues/american-airlines-arena/tickets/,"Miami, FL",0.85972,33132,601 Biscayne Blvd,America/New_York,american-airlines-arena,39,25.7812,-80.1878
182,Amalie Arena,US,Tampa,FL,"Tampa, FL 33602",https://seatgeek.com/venues/amalie-arena/tickets/,"Tampa, FL",0.7785,33602,401 Channelside Dr.,America/New_York,amalie-arena,56,27.9426,-82.452
30633,St. Pete Times Forum,US,Tampa,FL,"Tampa, FL 33602",https://seatgeek.com/venues/st-pete-times-forum-1/tickets/,"Tampa, FL",0.0,33602,401 Channelside Dr.,America/New_York,st-pete-times-forum-1,1,27.9426,-82.452
127,Philips Arena,US,Atlanta,GA,"Atlanta, GA 30303",https://seatgeek.com/venues/philips-arena/tickets/,"Atlanta, GA",0.77235,30303,1 Philips Dr,America/New_York,philips-arena,43,33.7572,-84.3964
2195,Bridgestone Arena,US,Nashville,TN,"Nashville, TN 37203",https://seatgeek.com/venues/bridgestone-arena/tickets/,"Nashville, TN",0.7792,37203,501 Broadway,America/Chicago,bridgestone-arena,88,36.1601,-86.7791
3076,State Theatre,US,Portland,ME,"Portland, ME 04101",https://seatgeek.com/venues/state-theatre-15/tickets/,"Portland, ME",0.51494,04101,609 Congress St,America/New_York,state-theatre-15,25,43.6541,-70.2623
186,Scottrade Center,US,St. Louis,MO,"St. Louis, MO 63103",https://seatgeek.com/venues/scottrade-center/tickets/,"St. Louis, MO",0.78873,63103,1401 Clark Avenue,America/Chicago,scottrade-center,66,38.6262,-90.2021
670,The Intersection,US,Grand Rapids,MI,"Grand Rapids, MI 49503",https://seatgeek.com/venues/the-intersection/tickets/,"Grand Rapids, MI",0.4789,49503,133 Grandville Sw,America/Detroit,the-intersection,24,42.9599,-85.6741
3785,Fairplex At Pomona,US,Pomona,CA,"Pomona, CA 91768",https://seatgeek.com/venues/fairplex-at-pomona/tickets/,"Pomona, CA",0.57797,91768,1101 West McKinley Ave.,America/Los_Angeles,fairplex-at-pomona,9,34.0674,-117.788
60309,Drais Rooftop Beachclub,US,Las Vegas,NV,"Las Vegas, NV 89109",https://seatgeek.com/venues/drais-rooftop-beachclub/tickets/,"Las Vegas, NV",0.50157,89109,3595 S Las Vegas Blvd.,America/Los_Angeles,drais-rooftop-beachclub,41,36.1149,-115.172
64,Nikon at Jones Beach Theater,US,Wantagh,NY,"Wantagh, NY 11793",https://seatgeek.com/venues/nikon-at-jones-beach-theater/tickets/,"Wantagh, NY",0.79817,11793,1000 Ocean Parkway,America/New_York,nikon-at-jones-beach-theater,23,40.5951,-73.521
2563,Seattle Center,US,Seattle,WA,"Seattle, WA 98109",https://seatgeek.com/venues/seattle-center/tickets/,"Seattle, WA",0.59221,98109,305 Harrison Street,America/Los_Angeles,seattle-center,5,47.6213,-122.349
2437,Porter County Fairgrounds,US,Valparaiso,IN,"Valparaiso, IN 46383",https://seatgeek.com/venues/porter-county-fairgrounds/tickets/,"Valparaiso, IN",0.55672,46383,215 East Division Road,America/Chicago,porter-county-fairgrounds,1,41.436,-87.0245
1052,Four Seasons Arena,US,Great Falls,MT,"Great Falls, MT 59403",https://seatgeek.com/venues/four-seasons-arena/tickets/,"Great Falls, MT",0.4166,59403,400 3rd Street NW,America/Denver,four-seasons-arena,3,47.5116,-111.317
53696,Cowichan Exhibition Society Fairgrounds,Canada,Duncan,BC,"Duncan, Canada",https://seatgeek.com/venues/cowichan-exhibition-society-fairgrounds/tickets/,"Duncan, Canada",0.41771,V9L 5Z7,7380 Trans Canada Hwy,America/Vancouver,cowichan-exhibition-society-fairgrounds,1,48.8363,-123.719
38912,Oregon Jamboree,US,Sweet Home,OR,"Sweet Home, OR 97386",https://seatgeek.com/venues/oregon-jamboree/tickets/,"Sweet Home, OR",0.51967,97386,860 18th Avenue,America/Los_Angeles,oregon-jamboree,2,44.3937,-122.723
16543,The State Fairgrounds,US,West Allis,WI,"West Allis, WI 53214",https://seatgeek.com/venues/the-state-fairgrounds/tickets/,"West Allis, WI",0.0,53214,640 South 84th Street,America/Chicago,the-state-fairgrounds,5,43.0241,-88.0158
11071,Mercer County Park Festival Grounds,US,West Windsor,NJ,"West Windsor, NJ 08550",https://seatgeek.com/venues/mercer-county-park-festival-grounds/tickets/,"West Windsor, NJ",0.53207,08550,1638 Old Trenton Road,America/New_York,mercer-county-park-festival-grounds,1,40.2553,-74.6292
579,Hampton Beach Casino Ballroom,US,Hampton Beach,NH,"Hampton Beach, NH 03842",https://seatgeek.com/venues/hampton-beach-casino-ballroom/tickets/,"Hampton Beach, NH",0.53117,03842,169 Ocean Blvd,America/New_York,hampton-beach-casino-ballroom,34,42.9096,-70.811
58,Saratoga Performing Arts Center,US,Saratoga Springs,NY,"Saratoga Springs, NY 12866",https://seatgeek.com/venues/saratoga-performing-arts-center/tickets/,"Saratoga Springs, NY",0.75385,12866,108 Avenue of the Pines,America/New_York,saratoga-performing-arts-center,17,43.0865,-73.8655
910,Deer Valley Resort,US,Park City,UT,"Park City, UT 84060",https://seatgeek.com/venues/deer-valley-resort/tickets/,"Park City, UT",0.43492,84060,2250 Deer Valley Dr. South,America/Denver,deer-valley-resort,10,40.6384,-111.48
77894,Omnia,US,Las Vegas,NV,"Las Vegas, NV 89109",https://seatgeek.com/venues/omnia/tickets/,"Las Vegas, NV",0.38271,89109,3570 S Las Vegas Blvd,America/Los_Angeles,omnia,34,36.1196,-115.173
30818,Wet Republic Ultra Pool,US,Las Vegas,NV,"Las Vegas, NV 89109",https://seatgeek.com/venues/wet-republic-ultra-pool/tickets/,"Las Vegas, NV",0.482,89109,3799 Las Vegas Blvd,America/Los_Angeles,wet-republic-ultra-pool,27,36.2289,-115.074
7255,Oslo Spektrum,Norway,Oslo,03,"Oslo, Norway",https://seatgeek.com/venues/oslo-spektrum/tickets/,"Oslo, Norway",0.0,0185,Sonja Henies Plass 2,Europe/Oslo,oslo-spektrum,10,59.9126,10.7548
10286,Weston Park,UK,Shifnal,Tfw,"Shifnal, UK",https://seatgeek.com/venues/weston-park/tickets/,"Shifnal, UK",0.69346,TF11 8LE,Weston-under-Lizard,Europe/London,weston-park,3,52.6954,-2.28983
4331,Hylands Park,UK,Chelmsford,London,"Chelmsford, UK",https://seatgeek.com/venues/hylands-park/tickets/,"Chelmsford, UK",0.6839,CM2 8WQ,London Road,Europe/London,hylands-park,3,51.7125,0.44528
10163,Boucher Playing Fields,Europe,Belfast,Ant,"Belfast, Europe",https://seatgeek.com/venues/boucher-playing-fields/tickets/,"Belfast, Europe",0.40826,BT126HR,Boucher Road,Europe/London,boucher-playing-fields,2,54.5769,-5.96358
42265,Bellahouston Park,Europe,Glasgow,Glg,"Glasgow, Europe",https://seatgeek.com/venues/bellahouston-park/tickets/,"Glasgow, Europe",0.61412,G41 5BW,16 Dumbreck Road,Europe/London,bellahouston-park,2,55.8472,-4.30784
49698,Hakkasan Las Vegas,US,Las Vegas,NV,"Las Vegas, NV 89109",https://seatgeek.com/venues/hakkasan-las-vegas-1/tickets/,"Las Vegas, NV",0.46676,89109,3799 S Las Vegas Blvd,America/Los_Angeles,hakkasan-las-vegas-1,21,36.1034,-115.169
3804,Fantasy Springs Resort Casino,US,Indio,CA,"Indio, CA 92203",https://seatgeek.com/venues/fantasy-springs-resort-casino/tickets/,"Indio, CA",0.53624,92203,84245 Indio Springs Parkway,America/Los_Angeles,fantasy-springs-resort-casino,13,33.7215,-116.193
2176,Country Jam USA,US,Eau Claire,WI,"Eau Claire, WI 54701",https://seatgeek.com/venues/country-jam-usa/tickets/,"Eau Claire, WI",0.38654,54701,3633 Crescent Ave.,America/Chicago,country-jam-usa,4,44.7853,-91.5929
78512,Ascend Amphitheater,US,Nashville,TN,"Nashville, TN 37203",https://seatgeek.com/venues/ascend-amphitheater/tickets/,"Nashville, TN",0.0,37203,First Street and Demonbreun,America/Chicago,ascend-amphitheater,28,36.1602,-86.7731
346,Ford Field,US,Detroit,MI,"Detroit, MI 48226",https://seatgeek.com/venues/ford-field/tickets/,"Detroit, MI",0.92129,48226,2000 Brush St.,America/Detroit,ford-field,17,42.34,-83.0459
7853,Legend Valley,US,Thornville,OH,"Thornville, OH 43076",https://seatgeek.com/venues/legend-valley/tickets/,"Thornville, OH",0.52387,43076,7585 Kindle Road,America/New_York,legend-valley,5,39.9366,-82.4037
260,Allentown Fairgrounds,US,Allentown,PA,"Allentown, PA 18104",https://seatgeek.com/venues/allentown-fairgrounds/tickets/,"Allentown, PA",0.72291,18104,302 N. 17th St.,America/New_York,allentown-fairgrounds,12,40.5733,-75.4564
4317,Valley View Casino Center,US,San Diego,CA,"San Diego, CA 92110",https://seatgeek.com/venues/valley-view-casino-center/tickets/,"San Diego, CA",0.7118,92110,3500 Sports Arena Blvd,America/Los_Angeles,valley-view-casino-center,34,33.2189,-116.973
76,Save Mart Center,US,Fresno,CA,"Fresno, CA 93710",https://seatgeek.com/venues/save-mart-center/tickets/,"Fresno, CA",0.69681,93710,2650 East Shaw Avenue,America/Los_Angeles,save-mart-center,7,36.8097,-119.738
770,Puyallup Fairgrounds,US,Puyallup,WA,"Puyallup, WA 98371",https://seatgeek.com/venues/puyallup-fairgrounds/tickets/,"Puyallup, WA",0.63205,98371,110 9th Ave SW,America/Los_Angeles,puyallup-fairgrounds,16,47.1904,-122.296
137,The Palace of Auburn Hills,US,Auburn Hills,MI,"Auburn Hills, MI 48326",https://seatgeek.com/venues/the-palace-of-auburn-hills/tickets/,"Auburn Hills, MI",0.75259,48326,6 Championship Drive,America/Detroit,the-palace-of-auburn-hills,40,42.6968,-83.2455
3148,Wells Fargo Center,US,Philadelphia,PA,"Philadelphia, PA 19148",https://seatgeek.com/venues/wells-fargo-center/tickets/,"Philadelphia, PA",0.81678,19148,3601 South Broad Street,America/New_York,wells-fargo-center,87,39.9012,-75.1721
117,American Airlines Center,US,Dallas,TX,"Dallas, TX 75219",https://seatgeek.com/venues/american-airlines-center/tickets/,"Dallas, TX",0.80599,75219,2500 Victory Ave,America/Chicago,american-airlines-center,77,32.7904,-96.8102
33,Gillette Stadium,US,Foxborough,MA,"Foxborough, MA 02035",https://seatgeek.com/venues/gillette-stadium/tickets/,"Foxborough, MA",0.89528,02035,1 Patriot Place,America/New_York,gillette-stadium,27,42.0906,-71.2674
46,BC Place Stadium,Canada,Vancouver,BC,"Vancouver, Canada",https://seatgeek.com/venues/bc-place-stadium/tickets/,"Vancouver, Canada",0.74344,V6B 4Y8,777 Pacific Boulevard,America/Vancouver,bc-place-stadium,21,49.2767,-123.112
163,Rexall Place,Canada,Edmonton,AB,"Edmonton, Canada",https://seatgeek.com/venues/rexall-place/tickets/,"Edmonton, Canada",0.74698,T5B 4M9,7424 118 Ave NW,America/Edmonton,rexall-place,65,53.5704,-113.456
339,CenturyLink Field,US,Seattle,WA,"Seattle, WA 98134",https://seatgeek.com/venues/centurylink-field/tickets/,"Seattle, WA",0.88084,98134,800 Occidental Avenue South,America/Los_Angeles,centurylink-field,19,47.5951,-122.332
58670,Levi's Stadium,US,Santa Clara,CA,"Santa Clara, CA 95054",https://seatgeek.com/venues/levi-s-stadium/tickets/,"Santa Clara, CA",0.97121,95054,4900 Centennial Blvd,America/Los_Angeles,levi-s-stadium,20,37.4032,-121.97
258,Gila River Arena,US,Glendale,AZ,"Glendale, AZ 85305",https://seatgeek.com/venues/gila-river-arena/tickets/,"Glendale, AZ",0.77171,85305,9400 W. Maryland Ave.,America/Phoenix,gila-river-arena,51,33.5315,-112.261
10431,Royal Norfolk Showground,UK,Norwich,Nfk,"Norwich, UK",https://seatgeek.com/venues/royal-norfolk-showground/tickets/,"Norwich, UK",0.41628,NR5 0TT,Dereham Road,Europe/London,royal-norfolk-showground,7,52.6012,1.05061
10945,Rhyl Pavilion Theatre,UK,Rhyl,Cwy,"Rhyl, UK",https://seatgeek.com/venues/rhyl-pavilion-theatre/tickets/,"Rhyl, UK",0.38031,LL18 3AQ,Promenade,Europe/London,rhyl-pavilion-theatre,5,53.3116,-3.47238
9525,O2 Academy Birmingham,UK,Birmingham,W Mids,"Birmingham, UK",https://seatgeek.com/venues/o2-academy-birmingham/tickets/,"Birmingham, UK",0.45181,B1 1DB,16 Horsefair,Europe/London,o2-academy-birmingham,76,52.4743,-1.89964
4896,O2 Academy Bournemouth,UK,Bournemouth,Dor,"Bournemouth, UK",https://seatgeek.com/venues/o2-academy-bournemouth/tickets/,"Bournemouth, UK",0.45856,BH1 4BH,570 Christchurch Road,Europe/London,o2-academy-bournemouth,11,50.7449,-1.85669
4329,Colston Hall,UK,Bristol,Bst,"Bristol, UK",https://seatgeek.com/venues/colston-hall/tickets/,"Bristol, UK",0.44169,BS1 5AR,13 Colston Street Harbourside,Europe/London,colston-hall,61,51.4502,-2.60261
4870,O2 Academy Glasgow,UK,Glasgow,Glg,"Glasgow, UK",https://seatgeek.com/venues/o2-academy-glasgow/tickets/,"Glasgow, UK",0.46464,G5 9NT,121 Eglinton Street,Europe/London,o2-academy-glasgow,27,55.8513,-4.16257
4724,O2 Academy Newcastle,UK,Newcastle upon Tyne,T & W,"Newcastle upon Tyne, UK",https://seatgeek.com/venues/o2-academy-newcastle/tickets/,"Newcastle upon Tyne, UK",0.43637,NE1 1SW,Westgate Road,Europe/London,o2-academy-newcastle,85,54.9764,-1.65908
