,id,artist,artist_standardized,featured,album,track,time,explicit,year,yearly_rank,source,ch,x40,x10,pk,high,date_entered,date_peaked,latency_to_peak,yearly_rank_percentile,yearly_rank_categorical,ch_categorical,song_x,slope_list,date,song_y,before,after,percent_change,raw_change,breakthrough_10year,breakthrough_5year,artist_underscore,b4,b3,b2,b1,a0,a1,a2,a3,a4,youtube_slope,x1st_week,train
3559,16200,Glee Cast,Glee Cast,,"Glee: The Music, Vol. 4",Teenage Dream,220,0,2010,49,h,3,2,1,1,8,11/27/2010,11/27/2010 0:00,0,0.101449275,0,0,Teenage Dream,-1.857142857,11/28/2010,Teenage Dream,1659,2289,1.379746835,630,0,1,glee_cast,46,45,61,92,93,91,96,80,63,14.1,8,TRUE
3561,13924,Flo Rida,Flo Rida,Featuring David Guetta,s,Club Can't Handle Me,232,0,2010,51,h,29,24,7,5,9,7/17/2010,9/25/2010 0:00,70,0.105590062,0,3,Club Can't Handle Me,3.428571429,7/18/2010,Club Can't Handle Me,13751,19140,1.391898771,5389,0,1,flo_rida,10,12,12,12,14,19,21,25,28,0.8,65,TRUE
3563,19991,Jason DeRulo,Jason DeRulo,,Jason Derulo,Ridin' Solo,215,0,2010,53,h,28,19,7,1,9,3/20/2010,7/17/2010 0:00,119,0.109730849,0,3,Ridin' Solo,4.714285714,3/21/2010,Ridin' Solo,10618,11224,1.057072895,606,0,0,jason_derulo,63,64,68,62,62,63,60,63,65,-0.4,33,FALSE
3565,147,3OH!3,3OH!3,Featuring Ke$ha,s,My First Kiss,192,0,2010,55,h,18,13,1,1,9,5/22/2010,5/22/2010 0:00,0,0.113871636,0,2,My First Kiss,1.714285714,5/23/2010,My First Kiss,26468,35460,1.339730996,8992,1,1,3oh!3,15,16,27,27,33,33,39,41,36,4.7,9,TRUE
3568,20057,Jay-Z,Jay-Z,Featuring Mr. Hudson,The Blueprint 3,Young Forever,253,0,2010,58,h,20,16,1,1,10,3/6/2010,5/15/2010 0:00,70,0.120082816,0,2,Young Forever,-2.714285714,3/7/2010,Young Forever,131210,124245,0.946917156,-6965,1,1,jay-z,28,27,24,24,24,22,23,26,22,-1.1,75,FALSE
3569,20057,Jay-Z,Jay-Z,Featuring Mr. Hudson,The Blueprint 3,Young Forever,253,0,2010,58,h,20,16,1,1,10,3/6/2010,5/15/2010 0:00,70,0.120082816,0,2,Young Forever,-2.714285714,3/7/2010,Young Forever,131210,124245,0.946917156,-6965,1,1,jay-z,28,27,24,24,24,22,23,26,22,-1.1,97,FALSE
3574,25388,Ludacris,Ludacris,Featuring Nicki Minaj,Battle Of The Sexes (Deluxe Edition),My Chick Bad,216,0,2010,61,h,20,14,0,2,11,3/13/2010,5/8/2010 0:00,56,0.126293996,0,2,My Chick Bad,-0.285714286,3/14/2010,My Chick Bad,65636,102165,1.556539094,36529,1,1,ludacris,64,72,89,90,97,95,98,100,83,8.4,46,FALSE
3575,39482,Willow,Willow,,s,Whip My Hair,193,0,2010,62,h,17,10,0,1,11,11/6/2010,11/13/2010 0:00,7,0.128364389,0,2,Whip My Hair,-9.571428571,11/7/2010,Whip My Hair,14158,15689,1.108136742,1531,0,1,willow,11,14,100,76,74,57,46,47,32,18.8,78,TRUE
3580,34497,Shontelle,Shontelle,,s,Impossible,226,0,2010,67,h,20,13,0,2,13,5/8/2010,7/31/2010 0:00,84,0.138716356,0,2,Impossible,-2.428571429,5/9/2010,Impossible,4653,6872,1.476896626,2219,1,1,shontelle,21,26,32,39,45,52,60,76,80,6.1,88,TRUE
3581,28226,Neon Trees,Neon Trees,,Habits (Bonus Track Version),Animal,212,0,2010,68,h,36,22,0,1,13,6/19/2010,11/13/2010 0:00,147,0.140786749,0,3,Animal,-1,6/20/2010,Animal,6377,5013,0.78610632,-1364,1,1,neon_trees,21,18,17,19,21,22,24,26,30,0.1,100,TRUE
