artist_name,artist_name_clean,artist_name_underscore,artist_name_query,artist_name_dash
Gyptian,Gyptian,gyptian,gyptian,gyptian
My Chemical Romance,My Chemical Romance,my_chemical_romance,my+chemical+romance,my-chemical-romance
Muse,Muse,muse,muse,muse
Pearl Jam,Pearl Jam,pearl_jam,pearl+jam,pearl-jam
Three 6 Mafia,Three 6 Mafia,three_6_mafia,three+6+mafia,three-6-mafia
"Killers, The",The Killers,the_killers,the+killers,the-killers
Asher Roth,Asher Roth,asher_roth,asher+roth,asher-roth
Yo Gotti,Yo Gotti,yo_gotti,yo+gotti,yo-gotti
Disturbed,Disturbed,disturbed,disturbed,disturbed
Will Young,Will Young,will_young,will+young,will-young
K'Naan,K'Naan,k'naan,k'naan,k'naan
Danny Gokey,Danny Gokey,danny_gokey,danny+gokey,danny-gokey
Craig Morgan,Craig Morgan,craig_morgan,craig+morgan,craig-morgan
Phoenix,Phoenix,phoenix,phoenix,phoenix
Disney's Friends For Change,Disney's Friends For Change,disney's_friends_for_change,disney's+friends+for+change,disney's-friends-for-change
Josh Thompson,Josh Thompson,josh_thompson,josh+thompson,josh-thompson
Matisyahu,Matisyahu,matisyahu,matisyahu,matisyahu
New Hollow,New Hollow,new_hollow,new+hollow,new-hollow
Trace Adkins,Trace Adkins,trace_adkins,trace+adkins,trace-adkins
Marsha Ambrosius,Marsha Ambrosius,marsha_ambrosius,marsha+ambrosius,marsha-ambrosius
Antoine Dodson,Antoine Dodson,antoine_dodson,antoine+dodson,antoine-dodson
My Darkest Days,My Darkest Days,my_darkest_days,my+darkest+days,my-darkest-days
Chiddy Bang,Chiddy Bang,chiddy_bang,chiddy+bang,chiddy-bang
Sammy Adams,Sammy Adams,sammy_adams,sammy+adams,sammy-adams
Natasha Bedingfield,Natasha Bedingfield,natasha_bedingfield,natasha+bedingfield,natasha-bedingfield
A Rocket To The Moon,A Rocket To The Moon,a_rocket_to_the_moon,a+rocket+to+the+moon,a-rocket-to-the-moon
The-Dream,The-Dream,the-dream,the-dream,the-dream
Nick Jonas,Nick Jonas,nick_jonas,nick+jonas,nick-jonas
Eddie Vedder,Eddie Vedder,eddie_vedder,eddie+vedder,eddie-vedder
"Dirty Heads, The",The Dirty Heads,the_dirty_heads,the+dirty+heads,the-dirty-heads
Jaheim,Jaheim,jaheim,jaheim,jaheim
Big Time Rush,Big Time Rush,big_time_rush,big+time+rush,big-time-rush
J. Cole,J. Cole,j._cole,j.+cole,j.-cole
Maxwell,Maxwell,maxwell,maxwell,maxwell
Erykah Badu,Erykah Badu,erykah_badu,erykah+badu,erykah-badu
Mario,Mario,mario,mario,mario
Kelly Clarkson,Kelly Clarkson,kelly_clarkson,kelly+clarkson,kelly-clarkson
Soundgarden,Soundgarden,soundgarden,soundgarden,soundgarden
Breaking Benjamin,Breaking Benjamin,breaking_benjamin,breaking+benjamin,breaking-benjamin
Kellie Pickler,Kellie Pickler,kellie_pickler,kellie+pickler,kellie-pickler
Shiny Toy Guns,Shiny Toy Guns,shiny_toy_guns,shiny+toy+guns,shiny-toy-guns
Shinedown,Shinedown,shinedown,shinedown,shinedown
Jennifer Hudson,Jennifer Hudson,jennifer_hudson,jennifer+hudson,jennifer-hudson
RockMafia,RockMafia,rockmafia,rockmafia,rockmafia
Theory Of A Deadman,Theory Of A Deadman,theory_of_a_deadman,theory+of+a+deadman,theory-of-a-deadman
Jason Michael Carroll,Jason Michael Carroll,jason_michael_carroll,jason+michael+carroll,jason-michael-carroll
Dierks Bentley,Dierks Bentley,dierks_bentley,dierks+bentley,dierks-bentley
Alpha Rev,Alpha Rev,alpha_rev,alpha+rev,alpha-rev
Mariah Carey,Mariah Carey,mariah_carey,mariah+carey,mariah-carey
Adele,Adele,adele,adele,adele
Wiz Khalifa,Wiz Khalifa,wiz_khalifa,wiz+khalifa,wiz-khalifa
Britney Spears,Britney Spears,britney_spears,britney+spears,britney-spears
Cee-Lo Green,Cee-Lo Green,cee-lo_green,cee-lo+green,cee-lo-green
Foster The People,Foster The People,foster_the_people,foster+the+people,foster-the-people
