Rae Sremmurd Featuring Nicki Minaj &amp; Young Thug ,Rae Sremmurd ,Nicki Minaj ,Young Thug ,,,Throw Sum Mo,34,30,33,30,33,36,44,,,,,,,,
Dustin Lynch ,Dustin Lynch ,,,,,Hell Of A Night,,,,,,,,,,99,89,82,78,75,72
Ed Sheeran ,Ed Sheeran ,,,,,Photograph,,,,,,,92,58,52,42,41,34,30,25,24
Meghan Trainor ,Meghan Trainor ,,,,,All About That Bass,37,36,35,43,43,43,49,47,49,,,,,,
Jason Derulo ,Jason Derulo ,,,,,Want To Want Me,14,12,11,10,8,8,6,7,7,5,5,7,12,13,16
Kelsea Ballerini ,Kelsea Ballerini ,,,,,Love Me Like You Mean It,97,94,92,82,80,73,69,62,57,53,45,46,49,55,62
Meghan Trainor ,Meghan Trainor ,,,,,Dear Future Husband,39,26,24,20,18,16,17,14,21,26,30,35,46,,
One Direction ,One Direction ,,,,,Night Changes,50,,,,,,,,,,,,,,
Big Sean Featuring Drake ,Big Sean ,Drake ,,,,Blessings,30,28,28,29,28,32,35,45,43,46,46,48,,,
A Thousand Horses ,A Thousand Horses ,,,,,Smoke,75,69,66,58,55,49,47,53,48,59,63,75,84,92,94
Jeremih Featuring J. Cole ,Jeremih ,J. Cole ,,,,Planes,,,,,,,,,95,88,78,71,66,67,64
Kendrick Lamar ,Kendrick Lamar ,,,,,Alright,,,,,,,,,,,,,,82,86
Rae Sremmurd ,Rae Sremmurd ,,,,,This Could Be Us,,,,,,,,,,,94,90,85,78,70
Nicki Minaj ,Nicki Minaj ,,,,,The Night Is Still Young,,,,,,93,66,51,38,36,35,31,33,41,44
X Ambassadors ,X Ambassadors ,,,,,Renegades,,,99,93,69,76,95,98,97,94,87,74,65,69,59
Chris Young ,Chris Young ,,,,,Im Comin Over,,,,,,,57,,,,,,,,100
Frankie Ballard ,Frankie Ballard ,,,,,Young &amp; Crazy,,,,,,,,,91,90,85,80,80,76,76
Lillywood &amp; Robin Schulz ,Lillywood ,Robin Schulz ,,,,Prayer In C,70,74,81,,,,,,,,,,,,
Flo Rida Featuring Robin Thicke &amp; Verdine White ,Flo Rida ,Robin Thicke ,Verdine White ,,,"I Dont Like It, I Love It",,,,,,,,,,,,,74,63,56
Travi$ Scott Featuring Future &amp; 2 Chainz ,Travi$ Scott ,Future ,2 Chainz ,,,3500,,,,,,,,,,,82,,,,
Drake ,Drake ,,,,,Energy,68,60,67,68,67,71,78,82,86,86,83,79,82,,
Tyler Farr ,Tyler Farr ,,,,,A Guy Walks Into A Bar,65,62,59,56,52,51,52,,,,,,,,
Meek Mill Featuring Future ,Meek Mill ,Future ,,,,Jump Out The Face,,,,,,,,,,,,,,,91
Fifth Harmony Featuring Kid Ink ,Fifth Harmony ,Kid Ink ,,,,Worth It,41,39,34,32,21,21,19,17,18,18,15,14,15,14,14
Britney Spears &amp; Iggy Azalea ,Britney Spears ,Iggy Azalea ,,,,Pretty Girls,,,,,,29,30,38,45,52,70,81,97,,
Beyonce ,Beyonce ,,,,,11-Jul,,51,,,,,,,,,,,,,
OMI ,OMI ,,,,,Cheerleader,,,,95,63,47,31,27,16,11,7,4,3,2,1
Shawn Mendes ,Shawn Mendes ,,,,,Stitches,,,,,,,,,89,78,79,69,56,62,55
A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson ,A$AP Rocky ,Rod Stewart,Miguel,Mark Ronson ,,Everyday,,,,,,,,,,92,99,,,,
Jessie J ,Jessie J ,,,,,Flashlight,,,,,,,,68,61,74,76,88,88,95,
