artist_name	id
Black Joe Lewis & the Honeybears	114244882
Cordis	114329313
Gene Kelly	120014860
Buddy Rich	120014863
Screen Vinyl Image	120017285
Akademie für Alte Musik, Berlin	120023492
The Dead C	120024312
Group Doueh	120024315
Rain Machine	120024318
Diane Cluck	120024321
Roc Raida	120032811
The Ettes	120056185
Chris Brown	120092784
Train	120098750
Kristina Train	120117543
La Roux	120126509
Gary Jules	120127839
Aaron Diehl	120141907
Jill Hennessy	120181470
Carol Noonan	120208574
Jimmy Eat World	120291600
Tito Rodriguez	120310629
Egberto Gismonti	120317701
7 Worlds Collide	120324093
James "Stiff" Maddock	120352513
Alex Cuba	120397673
Shahram Nazeri	120398055
Polk Miller	120398747
Mastodon	120409565
thenewno2	120421929
Squirrel Nut Zippers	120456492
Jaki Byard	120460033
The Coal Men	120507930
Glee Cast	120533305
Joey Calderazzo	120570119
Stacey Kent	120629471
Converge	120793552
Corb Lund	120822657
Bobby Long	120952253
Iannis Xenakis	120995810
John Luther Adams	120995813
David Lang	120995816
Phil Kline	120995822
Alfred Schnittke	120995825
Alarm Will Sound	120996548
Marshall Crenshaw	121025123
Harper Simon	121091946
Gerard Schwarz	121170064
Jason Lindner	121200938
Cadillac Sky	121214462
Fred Anderson	121241375
Viv Albertine	121254962
Darcy James Argue's Secret Society	121298310
Garth Brooks	121341224
Har Mar Superstar	121422761
My Bloody Valentine	121485338
Ivan Fischer	121524080
Angela Hewitt	121524083
Grand Hallway	121668640
2D Tune	121668985
Fool's Gold	121712136
Slo Leak	121767779
Susan Boyle	121776884
Etienne Charles	121784833
The Very Best	121881519
Rick Ross	122029829
Pharrell Williams	122029835
Them Crooked Vultures	122053782
Buck Owens	122073273
Jim Keller	122224929
Lissie	122224978
Somi	122252881
Yonder Mountain String Band	122279590
Willie Mitchell	122286478
Lord Cobra	122545516
Hiromi Uehara	122613901
Killian Mansfield	122658033
The Reigning Sound	122724639
Kate McGarrigle	122740050
Hacienda	122765738
Buffy Sainte-Marie	122805557
Freelance Whales	122824183
Danny Barnes	122824189
Yuja Wang	122868506
Valentin Silvestrov	122870820
Gabriel Prokofiev	122870823
The Hotrats	122954595
Burkina Electric	122980025
Phantogram	123105978
Rjd2	123415697
Grant Hart	123786490
The Soft Pack	123811544
Ignace Jan Paderewski	123972078
Archie Bronson Outfit	123975684
Richard Skelton	123975687
Maurizio Pollini	123978547
Dinu Lipatti	123978550
Bonerama	124200836
Pantha du Prince	124207021
Nneka	124276875
Omara Portuondo	124284233
El Chicano	124328298
Holly Miranda	124487729
Admiral Radley	124498573
The Strange Boys	124498576
Ivan & Alyosha	124498588
Grass Widow	124498591
Dana Hall	124567594
Ted Leo & the Pharmacists	124577786
Bobby Long	124590728
The Morning Benders	124660539
Four Tet	124664065
Dum Dum Girls	124769130
Woven Bones	124769136
The Fresh & Onlys	124769139
Title Tracks	124833069
MC5	124958625
Johnny Mandel	125024282
Jim Campilongo	125187971
Michael Wolff	125452454
Peter Wolf	125500242
The Plimsouls	125584284
The Fugs	125636967
Johnny Gimble	125673150
Gary Lucas/Dean Bowman	125769205
The Blasters	125907344
Alfred Newman	126016157
Gandalf Murphy & the Slambovian Circus of Dreams	126025725
Jozef Van Wissem	126147311
Melanie Fiona	126222868
Nicki Minaj	126317980
Carol Welsman	126391687
Jimmy Donley	126422529
Kate Miller-Heidke	126556532
Radmilla Cody	126638082
A Broken Consort	126782611
Elephant Micah	126904483
Sally Seltmann	126978081
ALO	127014190
Cate Le Bon	127092030
The Fox Hunt	127136383
Kelley Ryan	127136622
The Dimes	127237658
Lonelady	127315782
Stephanie Finch & the Company Men	127401952
Eric Whitacre	127405177
Graham Parker	127483213
Nathalie Stutzmann	127540428
Gonjasufi	127560357
The Dodos	127772611
Dave Matthews Band	127821297
The Books	127832406
Maggio Musicale Fiorentino	127904947
John Dankworth	127929866
Beach Fossils	127986825
Susanne Sundfør	128164339
Groove Armada	128177890
Tobacco	128177977
Black Tambourine	128178537
Georgia A. Muldrow/Declaime	128179419
Lauren Hoffman	128189403
Twin Sister	128189904
Steve Tibbetts	128408723
Lil Jon	128417476
Carmen Souza	128486351
Villagers	128514497
Measha Brueggergosman	128514625
Romain Collin	128547724
Neel Murgai	128548572
Lower Dens	128651329
Michael Leonhart	128692128
Les Talens Lyriques	128696413
Mark Bates	128823748
Let's Wrestle	128855192
Baths	128855854
Wendy Carlos	128954989
The Swingle Singers	128954992
Orchestra Del Maggio Musicale Fiorentino	129002419
Eden Brent	129003862
Richard Galliano	129036732
Woods	129045729
The Knife	129128111
Hey Marseilles	129155209
Joyce Collins	129176267
Benita Valente	129281994
Kele	129299666
Carissa's Wierd	129377380
Paul Metzger	129557268
Magic Kids	129856175
Vienna State Opera Chorus and Orchestra	129886440
Lloyd Miller & the Heliocentrics	129909733
Joan Stiles	129933141
Court Yard Hounds	129995305
Happy Birthday	130018628
J Roddy Walston & the Business	130051576
Girl in a Comma	130077821
London Philharmonic Orchestra	130078903
Atlanta Symphony	130161214
Fran Healy	130348736
Curtis Plum	130377140
Megan McCormick	130440046
Kenge Kenge	130492795
Yundi	15380205
*NSYNC	120239634
1958-2009	132312514
The 1975	175948113
The 2 Bears	162810939
40 Watt Sun	142890354
A Camp	112082520
A Filial	99741045
A Pregnant Light	360076844
The A-Sides	15047982
A3	94285414
Aaliyah	15121547
Abba	15394846
Claudio Abbado	16046066
Rez Abbasi	129054385
John Abercrombie	15121704
Rabih Abou-Khalil	15122307
Abyssinia Infinite	16268473
AC/DC	125562075
The Accidental	90653036
Acid Pauli	166015060
Acrania	146484254
Acrassicauda	125472159
Active Child	129230554
Alberta Adams	15122854
John Adams	14996733
Justin Adams	15810520
Ryan Adams	14953534
Terry Adams	112173020
Yolanda Adams	15403075
