show_id,artist,artist_id,title,show,storyDate,pubDate,lastModifiedDate,link
129782654,John Legend,15838633,"First Listen: John Legend And The Roots, 'Wake Up!'",First Listen,2010-09-13 01:35:00,2010-09-29 12:41:00,2010-09-29 12:41:32,http://www.npr.org/templates/story/story.php?storyId=129782654&ft=nprml&f=15838633
99155269,John Legend,15838633,John Legend: The Evolution Of Soul,World Cafe,2009-01-09 16:02:00,2012-12-12 17:01:00,2012-12-12 17:01:01,http://www.npr.org/templates/story/story.php?storyId=99155269&ft=nprml&f=15838633
15961841,John Legend,15838633,The Grammys 2006,All Songs Considered,2006-02-02 17:00:00,2012-12-12 16:23:00,2012-12-12 16:23:49,http://www.npr.org/templates/story/story.php?storyId=15961841&ft=nprml&f=15838633
230520404,Pusha T,230743010,"Pusha T, Live In Concert",Live in Concert,2013-10-17 21:00:00,2014-07-09 14:51:00,2014-07-09 14:51:30,http://www.npr.org/event/music/230520404/pusha-t-live-in-concert?ft=nprml&f=230743010
230525876,Pusha T,230743010,"So Pusha T, Omar Souleyman And Cults Walk Into A Bar...",All Songs Considered,2013-10-09 16:00:00,2013-10-10 22:01:00,2013-10-10 22:01:09,http://www.npr.org/sections/allsongs/2013/10/08/230525876/so-pusha-t-omar-souleyman-and-cults-walk-into-a-bar?ft=nprml&f=230743010
228803955,Pusha T,230743010,"Video: Pusha T Feat. Kendrick Lamar, 'Nosetalgia'",Microphone Check ,2013-10-04 01:00:00,2013-10-09 15:54:00,2014-01-20 20:54:18,http://www.npr.org/sections/microphonecheck/2013/10/03/228803955/video-pusha-t-feat-kendrick-lamar-nosetalgia?ft=nprml&f=230743010
202714040,Pusha T,230743010,Pusha T's New York Doubleheader,The Record,2013-07-17 16:00:00,2013-10-09 15:55:00,2013-10-09 15:55:02,http://www.npr.org/sections/therecord/2013/07/17/202714040/pusha-ts-new-york-doubleheader?ft=nprml&f=230743010
189331497,Pusha T,230743010,NPR Music's 50 Favorite Songs Of 2013 (So Far),Music Lists,2013-06-11 14:30:00,2013-10-09 15:56:00,2013-07-08 19:42:02,http://www.npr.org/2013/06/11/189331497/npr-musics-50-favorite-songs-of-2013-so-far?ft=nprml&f=230743010
389569706,Lana Del Rey,145913023,Sympathy For The Devils,The Record,2015-02-28 15:20:00,2015-02-28 21:17:00,2015-02-28 21:17:53,http://www.npr.org/sections/therecord/2015/02/28/389569706/sympathy-for-the-devils?ft=nprml&f=145913023
371233761,Lana Del Rey,145913023,Poll Results: Listeners Pick Their Favorite Albums Of 2014,All Songs Considered,2014-12-17 18:25:00,2014-12-22 19:55:00,2014-12-22 19:55:31,http://www.npr.org/sections/allsongs/2014/12/17/371233761/poll-results-listeners-pick-their-favorite-albums-of-2014?ft=nprml&f=145913023
323943849,Lana Del Rey,145913023,Darkness Comes Alive: The Paradox Of Lana Del Rey,The Record,2014-06-20 14:50:00,2014-06-21 14:41:00,2014-06-21 14:41:14,http://www.npr.org/sections/therecord/2014/06/20/323943849/darkness-comes-alive-the-paradox-of-lana-del-rey?ft=nprml&f=145913023
322585989,Lana Del Rey,145913023,"New Mix: Tom Petty, Lana Del Rey, Adult Jazz, More",All Songs Considered,2014-06-17 16:44:00,2014-08-22 15:02:00,2014-08-22 15:02:59,http://www.npr.org/sections/allsongs/2014/06/17/322585989/new-mix-tom-petty-lana-del-rey-adult-jazz-more?ft=nprml&f=145913023
154096159,Lana Del Rey,145913023,Lana Del Rey On World Cafe,World Cafe,2012-08-13 15:07:00,2012-08-13 15:19:00,2012-08-13 15:20:04,http://www.npr.org/2012/08/13/154096159/lana-del-rey-on-world-cafe?ft=nprml&f=145913023
