track_id,artist,artist_id,track,track_id,peak,span,span_peak,span10,span40,week_entered,week_peaked
6463,Bruno Mars,8130.0,It Will Rain,6463,3,29,5,13,25,2011-10-16 00:00:00,2011-12-11 00:00:00
36240,Taylor Swift,7850.0,Superman,36240,26,1,1,0,1,2011-11-27 00:00:00,2011-11-27 00:00:00
6051,Brantley Gilbert,8187.0,Bottoms Up,6051,20,25,1,0,15,2014-01-05 00:00:00,2014-04-27 00:00:00
27705,My Chemical Romance,7187.0,Sing,27705,58,17,1,0,0,2011-02-27 00:00:00,2011-03-06 00:00:00
16239,Glee Cast,8043.0,Bad Romance,16239,54,2,1,0,0,2010-06-06 00:00:00,2010-06-13 00:00:00
20057,Jay-Z,6705.0,Young Forever,20057,10,19,1,1,15,2010-03-07 00:00:00,2010-05-16 00:00:00
5448,Bobby Brackins,8111.0,143,5448,76,11,1,0,0,2010-07-04 00:00:00,2010-08-29 00:00:00
18722,Imagine Dragons,8221.0,Demons,18722,6,44,4,12,31,2013-01-27 00:00:00,2013-12-08 00:00:00
11341,Drake,8036.0,Hate Sleeping Alone,11341,67,1,1,0,0,2011-12-04 00:00:00,2011-12-04 00:00:00
13958,Florida Georgia Line,8214.0,Stay,13958,28,20,1,0,10,2013-11-03 00:00:00,2013-12-22 00:00:00
5033,Blake Shelton,7303.0,God Gave Me You,5033,22,25,1,0,16,2011-07-31 00:00:00,2011-10-30 00:00:00
28859,One Direction,8241.0,Live While We're Young,28859,3,16,1,1,5,2012-10-21 00:00:00,2012-10-21 00:00:00
9595,David Guetta,7965.0,Play Hard,9595,64,9,1,0,0,2013-06-09 00:00:00,2013-06-16 00:00:00
20482,Jessie J,8125.0,Bang Bang,20482,3,11,1,11,11,2014-08-17 00:00:00,2014-10-05 00:00:00
3932,Big Sean,8108.0,I Don't F**k With You,3932,68,3,1,0,0,2014-10-12 00:00:00,2014-10-26 00:00:00
20048,Jay-Z,6705.0,Part II (On The Run),20048,77,16,1,0,0,2013-07-28 00:00:00,2014-03-30 00:00:00
12718,Eminem,6716.0,Love The Way You Lie,12718,1,29,7,16,27,2010-07-11 00:00:00,2010-08-01 00:00:00
3869,Beyonce,1963.0,1+1,3869,57,2,1,0,0,2011-06-12 00:00:00,2011-06-12 00:00:00
39817,Young Money,8037.0,Trophies,39817,50,20,1,0,0,2014-03-23 00:00:00,2014-04-27 00:00:00
16254,Glee Cast,8043.0,Good Vibrations,16254,69,1,1,0,0,2010-06-20 00:00:00,2010-06-20 00:00:00
1085,Alicia Keys,7452.0,Girl On Fire,1085,11,30,1,0,25,2012-09-23 00:00:00,2012-12-16 00:00:00
23003,Kelly Clarkson,7665.0,Mr. Know It All,23003,10,19,1,1,19,2011-09-25 00:00:00,2011-11-13 00:00:00
19157,J. Cole,8114.0,No Role Modelz,19157,95,1,1,0,0,2014-12-28 00:00:00,2014-12-28 00:00:00
37955,Trey Songz,7745.0,Dive In,37955,77,12,1,0,0,2012-09-09 00:00:00,2012-10-14 00:00:00
7902,Chris Brown,7750.0,Fine China,7902,31,16,1,0,4,2013-04-21 00:00:00,2013-06-09 00:00:00
23647,Lady Antebellum,7945.0,Compass,23647,46,19,1,0,0,2013-11-24 00:00:00,2014-03-09 00:00:00
38281,Usher,6258.0,More,38281,15,22,1,0,16,2010-04-04 00:00:00,2011-03-06 00:00:00
15187,Future,8216.0,Honest,15187,55,17,1,0,0,2013-09-29 00:00:00,2013-11-03 00:00:00
5984,Brad Paisley,7261.0,River Bank,5984,54,18,1,0,0,2014-05-25 00:00:00,2014-08-24 00:00:00
33902,Sara Evans,6738.0,A Little Bit Stronger,33902,34,21,1,0,4,2011-01-16 00:00:00,2011-05-22 00:00:00
16225,Glee Cast,8043.0,Listen,16225,38,1,1,0,1,2010-10-10 00:00:00,2010-10-10 00:00:00
19742,Jamie N Commons,8393.0,Jungle,19742,87,2,1,0,0,2014-06-29 00:00:00,2014-07-13 00:00:00
85,2 Chainz,8202.0,Birthday Song,85,47,20,1,0,0,2012-08-12 00:00:00,2012-11-11 00:00:00
